profile_label,case_id,family,intervention_kind,from_tool,from_arguments,to_tool,to_arguments,prompt_state_label,value_bearing_label,value_suffix,matched_phrase,display_value,surface_label,surface_text,surface_region_id,reason
h2q_h2e_route_arbitration,h2q_owner_field_amina_archived_owner_decoy,h2q_value_bearing_stale_decoy,visual_stale_selection_gate,refine_selection,"{""filter_query"":""latest"",""selection_id"":""amina""}",extract_layout,"{""image_id"":""img-h2q-owner-field-amina"",""target_query"":""owner field""}",,,,,,,,,
h2q_h2n_scoped_target_query_normalization,h2q_result_tile_blocked_value_badge_decoy,h2q_surface_alias_value_decoy,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2q-result-tile-blocked"",""target_query"":""Blocked badge""}",extract_layout,"{""image_id"":""img-h2q-result-tile-blocked"",""target_query"":""result comment""}",result comment,,,,,,,,
h2q_h2n_scoped_target_query_normalization,h2q_owner_field_amina_archived_owner_decoy,h2q_value_bearing_stale_decoy,visual_stale_selection_gate,refine_selection,"{""filter_query"":""latest"",""selection_id"":""amina""}",extract_layout,"{""image_id"":""img-h2q-owner-field-amina"",""target_query"":""owner field""}",,,,,,,,,
h2q_h2n_scoped_target_query_normalization,h2q_archive_panel_error_notice_banner_decoy,h2q_contextual_alias_decoy_overlap,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2q-error-notice"",""target_query"":""archived exception panel""}",extract_layout,"{""image_id"":""img-h2q-error-notice"",""target_query"":""error banner""}",error banner,,,,,,,,
h2q_h2n_scoped_target_query_normalization,h2q_mode_field_manual_switch_decoy,h2q_contextual_alias_decoy_overlap,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2q-mode-field"",""target_query"":""mode field""}",extract_layout,"{""image_id"":""img-h2q-mode-field"",""target_query"":""mode switch""}",mode switch,,,,,,,,
h2q_h2o_value_bearing_target_query_synthesis,h2q_result_tile_blocked_value_badge_decoy,h2q_surface_alias_value_decoy,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2q-result-tile-blocked"",""target_query"":""Blocked badge""}",extract_layout,"{""image_id"":""img-h2q-result-tile-blocked"",""target_query"":""result comment""}",result comment,,,,,,,,
h2q_h2o_value_bearing_target_query_synthesis,h2q_priority_badge_critical_stale_status_decoy,h2q_value_bearing_stale_decoy,visual_value_bearing_target_query_synthesis,extract_layout,"{""image_id"":""img-h2q-priority-badge-critical"",""target_query"":""Critical priority badge""}",extract_layout,"{""image_id"":""img-h2q-priority-badge-critical"",""target_query"":""priority badge Critical""}",priority badge,priority badge Critical,critical,critical priority badge,,,,,value_bearing_label_recoverable
h2q_h2o_value_bearing_target_query_synthesis,h2q_owner_field_amina_archived_owner_decoy,h2q_value_bearing_stale_decoy,visual_value_bearing_target_query_synthesis,extract_layout,"{""image_id"":""img-h2q-owner-field-amina"",""target_query"":""owner field""}",extract_layout,"{""image_id"":""img-h2q-owner-field-amina"",""target_query"":""owner field Amina""}",owner field,owner field Amina,amina,amina owner field,,,,,value_bearing_label_recoverable
h2q_h2o_value_bearing_target_query_synthesis,h2q_owner_field_amina_archived_owner_decoy,h2q_value_bearing_stale_decoy,visual_stale_selection_gate,refine_selection,"{""filter_query"":""latest"",""selection_id"":""amina""}",extract_layout,"{""image_id"":""img-h2q-owner-field-amina"",""target_query"":""owner field""}",,,,,,,,,
h2q_h2o_value_bearing_target_query_synthesis,h2q_archive_panel_error_notice_banner_decoy,h2q_contextual_alias_decoy_overlap,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2q-error-notice"",""target_query"":""archived exception panel""}",extract_layout,"{""image_id"":""img-h2q-error-notice"",""target_query"":""error banner""}",error banner,,,,,,,,
