case_id,family,source_failure_mode,baseline_exact_match,expected_call_count,source_actual_call_count,status,replay_failure_mode,replay_exact_match,replay_executable_match,replay_executor_equivalence_match
h2y_action_banner_quoted_not_banner_note,h2y_quoted_stale_negation_context,argument_alias_or_decoy_risk,,1,,exact,exact,True,True,True
h2y_decision_panel_caption_says_not_panel,h2y_quoted_stale_negation_context,argument_alias_or_decoy_risk,,1,,exact,exact,True,True,True
h2y_resolution_marker_old_quote_not_marker,h2y_quoted_stale_negation_context,argument_alias_or_decoy_risk,,1,,exact,exact,True,True,True
h2y_escalation_lane_stale_selection_not_lane,h2y_stale_selection_negation_context,wrong_tool_or_stale_selection_risk,,1,,non_exact,wrong_tool,False,False,False
h2y_exception_panel_stale_selection_not_panel,h2y_stale_selection_negation_context,wrong_tool_or_stale_selection_risk,,1,,non_exact,wrong_tool,False,False,False
h2y_approval_field_stale_selection_not_field,h2y_stale_selection_negation_context,wrong_tool_or_stale_selection_risk,,1,,non_exact,wrong_tool,False,False,False
h2y_reviewer_tag_do_not_use_memo,h2y_instructional_negation_context,argument_alias_or_decoy_risk,,1,,exact,exact,True,True,True
h2y_due_date_field_do_not_use_note,h2y_instructional_negation_context,argument_alias_or_decoy_risk,,1,,exact,exact,True,True,True
h2y_vendor_chip_do_not_use_table,h2y_instructional_negation_context,argument_alias_or_decoy_risk,,1,,exact,exact,True,True,True
h2y_not_replied_status_pill_value_before_component,h2y_genuine_negated_target_value,argument_alias_or_decoy_risk,,1,,exact,exact,True,True,True
h2y_not_sent_delivery_tag_value_before_component,h2y_genuine_negated_target_value,argument_alias_or_decoy_risk,,1,,exact,exact,True,True,True
h2y_not_required_approval_marker_value_before_component,h2y_genuine_negated_target_value,argument_alias_or_decoy_risk,,1,,exact,exact,True,True,True
h2y_not_active_alert_banner_value_before_component,h2y_genuine_negated_target_value,argument_alias_or_decoy_risk,,1,,non_exact,argument_mismatch,False,False,False
h2y_not_escalated_risk_chip_value_before_component,h2y_genuine_negated_target_value,argument_alias_or_decoy_risk,,1,,exact,exact,True,True,True
h2y_not_available_owner_field_value_before_component,h2y_genuine_negated_target_value,argument_alias_or_decoy_risk,,1,,exact,exact,True,True,True
h2y_not_started_phase_tile_value_before_component,h2y_genuine_negated_target_value,argument_alias_or_decoy_risk,,1,,exact,exact,True,True,True
