run_id,episode_id,role_family,lane,workspace_id,benchmark_tags,artifact_quality_score,browser_workflow_score,strict_interface_score,recovered_execution_score,revision_responsiveness,memory_retention_score,escalation_correctness,collateral_damage_free,human_time_ratio,controller_repair_count,argument_repair_count,controller_fallback_count,intent_override_count,raw_planning_clean_rate,role_readiness_score
20260413T000822278178Z_episode_kwa_exec_live_visual_dashboard_revision_hold_v2,kwa_exec_live_visual_dashboard_revision_hold_v2,executive_assistant,live_web_stress,exec-live-visual-dashboard-revision-hold-v2,"knowledge_work_arena,live_web_stress,executive_assistant,visual_ui_ops,visual_kwa,revision_pressure",0.875,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,0.16,0.0,0.0,0.0,0.0,1.0,0.9687
20260413T000825059007Z_episode_kwa_exec_live_visual_dashboard_referent_hold_v3,kwa_exec_live_visual_dashboard_referent_hold_v3,executive_assistant,live_web_stress,exec-live-visual-dashboard-referent-hold-v3,"knowledge_work_arena,live_web_stress,executive_assistant,visual_ui_ops,visual_kwa,revision_pressure,latest_filter",0.8421,1.0,1.0,1.0,0.7292,0.6667,1.0,1.0,0.16,0.0,0.0,0.0,0.0,1.0,0.9181
20260413T000828196340Z_episode_kwa_exec_live_calendar_policy,kwa_exec_live_calendar_policy,executive_assistant,live_web_stress,exec-live-calendar-policy,"knowledge_work_arena,live_web_stress,executive_assistant",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.08,0.0,0.0,0.0,0.0,1.0,0.9074
20260413T000830369734Z_episode_kwa_exec_live_send_hold,kwa_exec_live_send_hold,executive_assistant,live_web_stress,exec-live-send-hold,"knowledge_work_arena,live_web_stress,executive_assistant",1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.16,0.0,0.0,0.0,0.0,1.0,0.9769
20260413T000832334754Z_episode_kwa_jobs_live_requirements_extract,kwa_jobs_live_requirements_extract,job_application_ops,live_web_stress,jobs-live-requirements,"knowledge_work_arena,live_web_stress,job_application_ops",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.0,0.0,0.0,0.0,1.0,1.0
20260413T000833411727Z_episode_kwa_jobs_live_visual_constraint_override_hold_v2,kwa_jobs_live_visual_constraint_override_hold_v2,job_application_ops,live_web_stress,jobs-live-visual-constraint-override-hold-v2,"knowledge_work_arena,live_web_stress,job_application_ops,visual_ui_ops,visual_kwa,latest_constraint",0.9,1.0,1.0,1.0,0.8125,1.0,1.0,1.0,0.16,0.0,0.0,0.0,0.0,1.0,0.9623
20260413T000836910396Z_episode_kwa_jobs_live_visual_latest_issue_hold_v3,kwa_jobs_live_visual_latest_issue_hold_v3,job_application_ops,live_web_stress,jobs-live-visual-latest-issue-hold-v3,"knowledge_work_arena,live_web_stress,job_application_ops,visual_ui_ops,visual_kwa,referent_carryover",0.9,1.0,1.0,1.0,0.8125,1.0,1.0,1.0,0.16,0.0,0.0,0.0,0.0,1.0,0.9623
20260413T000840446298Z_episode_kwa_jobs_live_submission_hold,kwa_jobs_live_submission_hold,job_application_ops,live_web_stress,jobs-live-submission-hold,"knowledge_work_arena,live_web_stress,job_application_ops",1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.16,0.0,0.0,0.0,0.0,1.0,0.9769
20260413T000843005640Z_episode_kwa_finance_live_visual_invoice_revision_hold_v2,kwa_finance_live_visual_invoice_revision_hold_v2,finance,live_web_stress,finance-live-visual-invoice-revision-hold-v2,"knowledge_work_arena,live_web_stress,finance,visual_document,visual_kwa,revision_pressure",0.875,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,0.0889,0.0,0.0,0.0,0.0,1.0,0.9687
20260413T000846694720Z_episode_kwa_finance_live_comps_revision,kwa_finance_live_comps_revision,finance,live_web_stress,finance-live-comps,"knowledge_work_arena,live_web_stress,finance",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0444,0.0,0.0,0.0,0.0,1.0,1.0
20260413T000847555987Z_episode_kwa_finance_live_committee_hold,kwa_finance_live_committee_hold,finance,live_web_stress,finance-live-committee-hold,"knowledge_work_arena,live_web_stress,finance",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0889,0.0,0.0,0.0,0.0,1.0,1.0
20260413T000849641255Z_episode_kwa_exec_live_vendor_access_hold,kwa_exec_live_vendor_access_hold,executive_assistant,live_web_stress,exec-live-vendor-access-hold,"knowledge_work_arena,live_web_stress,executive_assistant",1.0,1.0,1.0,1.0,0.75,1.0,0.5,1.0,0.16,0.0,0.0,0.0,0.0,1.0,0.9306
20260413T000853073995Z_episode_kwa_jobs_live_screening_hold,kwa_jobs_live_screening_hold,job_application_ops,live_web_stress,jobs-live-screening-hold,"knowledge_work_arena,live_web_stress,job_application_ops",1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.16,0.0,0.0,0.0,0.0,1.0,0.9769
20260413T000855619803Z_episode_kwa_finance_live_billing_patch_hold,kwa_finance_live_billing_patch_hold,finance,live_web_stress,finance-live-billing-patch-hold,"knowledge_work_arena,live_web_stress,finance",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0889,0.0,0.0,0.0,0.0,1.0,1.0
20260413T000857389102Z_episode_kwa_exec_live_stale_brief_hold,kwa_exec_live_stale_brief_hold,executive_assistant,live_web_stress,exec-live-stale-brief-hold,"knowledge_work_arena,live_web_stress,executive_assistant",1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.16,0.0,0.0,0.0,0.0,1.0,0.9769
20260413T000859323873Z_episode_kwa_jobs_live_constraint_hold,kwa_jobs_live_constraint_hold,job_application_ops,live_web_stress,jobs-live-constraint-hold,"knowledge_work_arena,live_web_stress,job_application_ops",1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.16,0.0,0.0,0.0,0.0,1.0,0.9769
20260413T000901884690Z_episode_kwa_finance_live_stale_assumption_hold,kwa_finance_live_stale_assumption_hold,finance,live_web_stress,finance-live-stale-assumption-hold,"knowledge_work_arena,live_web_stress,finance",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0889,0.0,0.0,0.0,0.0,1.0,1.0
20260413T000903982182Z_episode_kwa_exec_live_visual_dashboard_brief,kwa_exec_live_visual_dashboard_brief,executive_assistant,live_web_stress,exec-live-visual-dashboard-brief,"knowledge_work_arena,live_web_stress,executive_assistant,visual_ui_ops,visual_kwa",1.0,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,0.16,0.0,0.0,0.0,0.0,1.0,0.9942
20260413T000906715747Z_episode_kwa_jobs_live_visual_form_hold,kwa_jobs_live_visual_form_hold,job_application_ops,live_web_stress,jobs-live-visual-form-hold,"knowledge_work_arena,live_web_stress,job_application_ops,visual_ui_ops,visual_kwa",1.0,1.0,1.0,1.0,0.8125,1.0,1.0,1.0,0.16,0.0,0.0,0.0,0.0,1.0,0.9826
20260413T000910185207Z_episode_kwa_finance_live_visual_invoice_hold,kwa_finance_live_visual_invoice_hold,finance,live_web_stress,finance-live-visual-invoice-hold,"knowledge_work_arena,live_web_stress,finance,visual_document,visual_kwa",1.0,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,0.0889,0.0,0.0,0.0,0.0,1.0,0.9942
20260413T000913828557Z_episode_kwa_exec_live_latest_action_resume_hold_v4,kwa_exec_live_latest_action_resume_hold_v4,executive_assistant,live_web_stress,exec-live-latest-action-resume-hold-v4,"knowledge_work_arena,live_web_stress,executive_assistant,visual_ui_ops,visual_kwa,harnessability_resume,harnessability_project_memory,direction_following_latest_instruction,tool_api",0.8889,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,0.16,0.0,0.0,0.0,0.0,1.0,0.9716
20260413T000917210988Z_episode_kwa_jobs_live_phone_patch_resume_hold_v4,kwa_jobs_live_phone_patch_resume_hold_v4,job_application_ops,live_web_stress,jobs-live-phone-patch-resume-hold-v4,"knowledge_work_arena,live_web_stress,job_application_ops,visual_ui_ops,visual_kwa,harnessability_resume,harnessability_project_memory,direction_following_latest_instruction,tool_api",1.0,1.0,1.0,1.0,0.8125,1.0,1.0,1.0,0.16,0.0,0.0,0.0,0.0,1.0,0.9826
20260413T000920059147Z_episode_kwa_finance_live_invoice_lock_direction_hold_v4,kwa_finance_live_invoice_lock_direction_hold_v4,finance,live_web_stress,finance-live-invoice-lock-direction-hold-v4,"knowledge_work_arena,live_web_stress,finance,visual_document,visual_kwa,harnessability_approval_resume,direction_following_stale_override,tool_cli",0.875,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,0.0889,0.0,0.0,0.0,0.0,1.0,0.9687
20260413T000923009226Z_episode_kwa_exec_live_backlog_resume_hold_v5,kwa_exec_live_backlog_resume_hold_v5,executive_assistant,live_web_stress,exec-live-backlog-resume-hold-v5,"knowledge_work_arena,live_web_stress,executive_assistant,visual_ui_ops,visual_kwa,harnessability_resume,harnessability_project_memory,direction_following_latest_instruction,tool_api,tool_function_call",0.8889,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,0.16,0.0,0.0,0.0,0.0,1.0,0.9716
20260413T000926293957Z_episode_kwa_jobs_live_email_block_resume_hold_v5,kwa_jobs_live_email_block_resume_hold_v5,job_application_ops,live_web_stress,jobs-live-email-block-resume-hold-v5,"knowledge_work_arena,live_web_stress,job_application_ops,visual_ui_ops,visual_kwa,harnessability_resume,harnessability_project_memory,direction_following_conflict,tool_cli,tool_function_call",1.0,1.0,1.0,1.0,0.8125,1.0,1.0,1.0,0.16,0.0,0.0,0.0,0.0,1.0,0.9826
20260413T000929353288Z_episode_kwa_finance_live_diff_review_hold_v5,kwa_finance_live_diff_review_hold_v5,finance,live_web_stress,finance-live-diff-review-hold-v5,"knowledge_work_arena,live_web_stress,finance,visual_document,harnessability_approval_resume,direction_following_stale_override,tool_cli,tool_api",0.875,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,0.0889,0.0,0.0,0.0,0.0,1.0,0.9687
