label,case_id,family,baseline_failure_mode,candidate_failure_mode,delta_exact_match,delta_executor_equivalence_match,transition
contracted,transfer_error_banner_note_decoy,visual_argument_transfer,exact,argument_mismatch,-1,-1,regression
contracted,transfer_form_error_old_selection_chip_decoy,visual_tool_routing_transfer,argument_mismatch,exact,1,1,strict_gain
contracted,transfer_queue_badge_person_decoy,visual_argument_transfer,exact,wrong_tool,-1,-1,regression
contracted,transfer_review_tile_notice_table_decoy,visual_argument_transfer,no_tool_call,argument_mismatch,0,0,unchanged
contracted,transfer_signature_warning_checkbox_decoy,visual_tool_routing_transfer,argument_mismatch,wrong_tool,0,0,unchanged
contracted,transfer_status_pill_chart_decoy,visual_argument_transfer,no_tool_call,argument_mismatch,0,0,unchanged
role_catalog_v1,transfer_error_banner_note_decoy,visual_argument_transfer,exact,exact,0,0,unchanged
role_catalog_v1,transfer_form_error_old_selection_chip_decoy,visual_tool_routing_transfer,argument_mismatch,exact,1,1,strict_gain
role_catalog_v1,transfer_queue_badge_person_decoy,visual_argument_transfer,exact,exact,0,0,unchanged
role_catalog_v1,transfer_review_tile_notice_table_decoy,visual_argument_transfer,no_tool_call,argument_mismatch,0,0,unchanged
role_catalog_v1,transfer_signature_warning_checkbox_decoy,visual_tool_routing_transfer,argument_mismatch,argument_mismatch,0,0,unchanged
role_catalog_v1,transfer_status_pill_chart_decoy,visual_argument_transfer,no_tool_call,no_tool_call,0,0,unchanged
argument_hints_v2,transfer_error_banner_note_decoy,visual_argument_transfer,exact,exact,0,0,unchanged
argument_hints_v2,transfer_form_error_old_selection_chip_decoy,visual_tool_routing_transfer,argument_mismatch,exact,1,1,strict_gain
argument_hints_v2,transfer_queue_badge_person_decoy,visual_argument_transfer,exact,exact,0,0,unchanged
argument_hints_v2,transfer_review_tile_notice_table_decoy,visual_argument_transfer,no_tool_call,exact,1,1,strict_gain
argument_hints_v2,transfer_signature_warning_checkbox_decoy,visual_tool_routing_transfer,argument_mismatch,exact,1,1,strict_gain
argument_hints_v2,transfer_status_pill_chart_decoy,visual_argument_transfer,no_tool_call,executable_paraphrase,0,1,executor_gain_without_strict
schema_field_hints_v4,transfer_error_banner_note_decoy,visual_argument_transfer,exact,exact,0,0,unchanged
schema_field_hints_v4,transfer_form_error_old_selection_chip_decoy,visual_tool_routing_transfer,argument_mismatch,exact,1,1,strict_gain
schema_field_hints_v4,transfer_queue_badge_person_decoy,visual_argument_transfer,exact,argument_mismatch,-1,-1,regression
schema_field_hints_v4,transfer_review_tile_notice_table_decoy,visual_argument_transfer,no_tool_call,argument_mismatch,0,0,unchanged
schema_field_hints_v4,transfer_signature_warning_checkbox_decoy,visual_tool_routing_transfer,argument_mismatch,no_tool_call,0,0,unchanged
schema_field_hints_v4,transfer_status_pill_chart_decoy,visual_argument_transfer,no_tool_call,argument_mismatch,0,0,unchanged
schema_literal_targets_v5,transfer_error_banner_note_decoy,visual_argument_transfer,exact,exact,0,0,unchanged
schema_literal_targets_v5,transfer_form_error_old_selection_chip_decoy,visual_tool_routing_transfer,argument_mismatch,exact,1,1,strict_gain
schema_literal_targets_v5,transfer_queue_badge_person_decoy,visual_argument_transfer,exact,argument_mismatch,-1,-1,regression
schema_literal_targets_v5,transfer_review_tile_notice_table_decoy,visual_argument_transfer,no_tool_call,argument_mismatch,0,0,unchanged
schema_literal_targets_v5,transfer_signature_warning_checkbox_decoy,visual_tool_routing_transfer,argument_mismatch,exact,1,1,strict_gain
schema_literal_targets_v5,transfer_status_pill_chart_decoy,visual_argument_transfer,no_tool_call,exact,1,1,strict_gain
