case_id,family,source_failure_mode,baseline_replay_exact_match,candidate_replay_exact_match,delta_exact_match,baseline_replay_executable_match,candidate_replay_executable_match,delta_executable_match,baseline_replay_executor_equivalence_match,candidate_replay_executor_equivalence_match,delta_executor_equivalence_match,baseline_replay_failure_mode,candidate_replay_failure_mode,baseline_actual_call_count,candidate_actual_call_count,delta_actual_call_count
h2t_current_selection_review_tile_refine_guard,h2t_current_selection_guard,wrong_tool_or_stale_selection_risk,True,True,0,True,True,0,True,True,0,exact,exact,1,1,0
h2t_current_selection_status_panel_refine_guard,h2t_current_selection_guard,wrong_tool_or_stale_selection_risk,True,True,0,True,True,0,True,True,0,exact,exact,1,1,0
h2t_escalated_value_not_badge_component,h2t_value_is_target_guard,argument_alias_or_decoy_risk,True,True,0,True,True,0,True,True,0,exact,exact,1,1,0
h2t_metric_panel_negation_scope_note,h2t_negation_scope_guard,argument_alias_or_decoy_risk,False,True,1,False,True,1,False,True,1,argument_mismatch,exact,1,1,0
h2t_owner_field_clean_control,h2t_clean_route_control,argument_alias_or_decoy_risk,True,True,0,True,True,0,True,True,0,exact,exact,1,1,0
h2t_result_badge_live_clean_control,h2t_clean_route_control,argument_alias_or_decoy_risk,True,True,0,True,True,0,True,True,0,exact,exact,1,1,0
h2t_result_drawer_low_score_badge_decoy,h2t_low_score_surface_request,argument_alias_or_decoy_risk,True,True,0,True,True,0,True,True,0,exact,exact,1,1,0
h2t_risk_lane_high_chip_decoy,h2t_low_score_surface_request,argument_alias_or_decoy_risk,True,True,0,True,True,0,True,True,0,exact,exact,1,1,0
h2t_stage_column_review_tag_decoy,h2t_low_score_surface_request,argument_alias_or_decoy_risk,True,True,0,True,True,0,True,True,0,exact,exact,1,1,0
h2t_summary_tile_negation_scope_caption,h2t_negation_scope_guard,argument_alias_or_decoy_risk,False,True,1,False,True,1,False,True,1,argument_mismatch,exact,1,1,0
