run_id,episode_id,role_family,lane,workspace_id,benchmark_tags,artifact_quality_score,browser_workflow_score,strict_interface_score,recovered_execution_score,revision_responsiveness,memory_retention_score,escalation_correctness,collateral_damage_free,human_time_ratio,controller_repair_count,argument_repair_count,controller_fallback_count,intent_override_count,raw_planning_clean_rate,role_readiness_score
20260507T013222339401Z_episode_kwa_exec_live_latest_action_resume_hold_v4,kwa_exec_live_latest_action_resume_hold_v4,executive_assistant,live_web_stress,exec-live-latest-action-resume-hold-v4,"knowledge_work_arena,live_web_stress,executive_assistant,visual_ui_ops,visual_kwa,harnessability_resume,harnessability_project_memory,direction_following_latest_instruction,tool_api",0.8889,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,0.16,0.0,0.0,0.0,0.0,1.0,0.9716
20260507T013226433170Z_episode_kwa_jobs_live_phone_patch_resume_hold_v4,kwa_jobs_live_phone_patch_resume_hold_v4,job_application_ops,live_web_stress,jobs-live-phone-patch-resume-hold-v4,"knowledge_work_arena,live_web_stress,job_application_ops,visual_ui_ops,visual_kwa,harnessability_resume,harnessability_project_memory,direction_following_latest_instruction,tool_api",1.0,1.0,1.0,1.0,0.8125,1.0,1.0,1.0,0.16,0.0,0.0,0.0,0.0,1.0,0.9826
20260507T013230309204Z_episode_kwa_exec_live_backlog_resume_hold_v5,kwa_exec_live_backlog_resume_hold_v5,executive_assistant,live_web_stress,exec-live-backlog-resume-hold-v5,"knowledge_work_arena,live_web_stress,executive_assistant,visual_ui_ops,visual_kwa,harnessability_resume,harnessability_project_memory,direction_following_latest_instruction,tool_api,tool_function_call",0.8889,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,0.16,0.0,0.0,0.0,0.0,1.0,0.9716
20260507T013237031105Z_episode_kwa_jobs_live_email_block_resume_hold_v5,kwa_jobs_live_email_block_resume_hold_v5,job_application_ops,live_web_stress,jobs-live-email-block-resume-hold-v5,"knowledge_work_arena,live_web_stress,job_application_ops,visual_ui_ops,visual_kwa,harnessability_resume,harnessability_project_memory,direction_following_conflict,tool_cli,tool_function_call",1.0,1.0,1.0,1.0,0.8125,1.0,1.0,1.0,0.16,0.0,0.0,0.0,0.0,1.0,0.9826
20260507T013241569781Z_episode_kwa_exec_live_latest_action_resume_hold_v4,kwa_exec_live_latest_action_resume_hold_v4,executive_assistant,live_web_stress,exec-live-latest-action-resume-hold-v4,"knowledge_work_arena,live_web_stress,executive_assistant,visual_ui_ops,visual_kwa,harnessability_resume,harnessability_project_memory,direction_following_latest_instruction,tool_api",0.8889,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,0.16,0.0,0.0,0.0,0.0,1.0,0.9716
20260507T013245758380Z_episode_kwa_jobs_live_phone_patch_resume_hold_v4,kwa_jobs_live_phone_patch_resume_hold_v4,job_application_ops,live_web_stress,jobs-live-phone-patch-resume-hold-v4,"knowledge_work_arena,live_web_stress,job_application_ops,visual_ui_ops,visual_kwa,harnessability_resume,harnessability_project_memory,direction_following_latest_instruction,tool_api",1.0,1.0,1.0,1.0,0.8125,1.0,1.0,1.0,0.16,0.0,0.0,0.0,0.0,1.0,0.9826
20260507T013250110027Z_episode_kwa_exec_live_backlog_resume_hold_v5,kwa_exec_live_backlog_resume_hold_v5,executive_assistant,live_web_stress,exec-live-backlog-resume-hold-v5,"knowledge_work_arena,live_web_stress,executive_assistant,visual_ui_ops,visual_kwa,harnessability_resume,harnessability_project_memory,direction_following_latest_instruction,tool_api,tool_function_call",0.8889,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,0.16,0.0,0.0,0.0,0.0,1.0,0.9716
20260507T013257521266Z_episode_kwa_jobs_live_email_block_resume_hold_v5,kwa_jobs_live_email_block_resume_hold_v5,job_application_ops,live_web_stress,jobs-live-email-block-resume-hold-v5,"knowledge_work_arena,live_web_stress,job_application_ops,visual_ui_ops,visual_kwa,harnessability_resume,harnessability_project_memory,direction_following_conflict,tool_cli,tool_function_call",1.0,1.0,1.0,1.0,0.8125,1.0,1.0,1.0,0.16,0.0,0.0,0.0,0.0,1.0,0.9826
20260507T013301894915Z_episode_kwa_exec_live_latest_action_resume_hold_v4,kwa_exec_live_latest_action_resume_hold_v4,executive_assistant,live_web_stress,exec-live-latest-action-resume-hold-v4,"knowledge_work_arena,live_web_stress,executive_assistant,visual_ui_ops,visual_kwa,harnessability_resume,harnessability_project_memory,direction_following_latest_instruction,tool_api",0.8889,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,0.16,0.0,0.0,0.0,0.0,1.0,0.9716
20260507T013306120532Z_episode_kwa_jobs_live_phone_patch_resume_hold_v4,kwa_jobs_live_phone_patch_resume_hold_v4,job_application_ops,live_web_stress,jobs-live-phone-patch-resume-hold-v4,"knowledge_work_arena,live_web_stress,job_application_ops,visual_ui_ops,visual_kwa,harnessability_resume,harnessability_project_memory,direction_following_latest_instruction,tool_api",1.0,1.0,1.0,1.0,0.8125,1.0,1.0,1.0,0.16,0.0,0.0,0.0,0.0,1.0,0.9826
