run_id,task_id,variant_id,track,architecture,backend,thinking_enabled,language_stressor,schema_stressor,context_stressor,efficiency_stressor,failure_summary,answer_match,avoidable_retries,completion_tokens,controller_repair_count,exact_match,hallucinated_tool_rate,latency_ms,malformed_call_rate,prompt_tokens,steps_taken,success
20260409T133044Z_monolith_think_003_policy_reasoning_think_003_policy_reasoning_clean,think_003_policy_reasoning,think_003_policy_reasoning_clean,thinking,monolith,mlx,False,,,,,none,1.0,0,4,0,1.0,0.0,19173,0.0,225,0,1.0
20260409T133045Z_monolith_think_003_policy_reasoning_think_003_policy_reasoning_language_fr,think_003_policy_reasoning,think_003_policy_reasoning_language_fr,thinking,monolith,mlx,False,fr,,,,none,1.0,0,4,0,1.0,0.0,454,0.0,228,0,1.0
20260409T133045Z_monolith_think_003_policy_reasoning_think_003_policy_reasoning_context_stale_preference,think_003_policy_reasoning,think_003_policy_reasoning_context_stale_preference,thinking,monolith,mlx,False,,,stale_preference,,none,1.0,0,4,0,1.0,0.0,467,0.0,239,0,1.0
20260409T133046Z_monolith_think_003_policy_reasoning_think_003_policy_reasoning_efficiency_dim_256,think_003_policy_reasoning,think_003_policy_reasoning_efficiency_dim_256,thinking,monolith,mlx,False,,,,dim_256,none,1.0,0,4,0,1.0,0.0,453,0.0,225,0,1.0
20260409T133047Z_monolith_think_006_screenshot_security_think_006_screenshot_security_clean,think_006_screenshot_security,think_006_screenshot_security_clean,thinking,monolith,mlx,False,,,,,none,1.0,0,26,0,1.0,0.0,1393,0.0,382,0,1.0
20260409T133048Z_monolith_think_006_screenshot_security_think_006_screenshot_security_language_fr,think_006_screenshot_security,think_006_screenshot_security_language_fr,thinking,monolith,mlx,False,fr,,,,"failed, answer_mismatch, image_grounding_miss",0.0,0,5,0,0.0,0.0,1125,0.0,385,0,0.0
20260409T133050Z_monolith_think_006_screenshot_security_think_006_screenshot_security_context_stale_preference,think_006_screenshot_security,think_006_screenshot_security_context_stale_preference,thinking,monolith,mlx,False,,,stale_preference,,none,1.0,0,6,0,1.0,0.0,1135,0.0,396,0,1.0
20260409T133051Z_monolith_think_006_screenshot_security_think_006_screenshot_security_efficiency_dim_256,think_006_screenshot_security,think_006_screenshot_security_efficiency_dim_256,thinking,monolith,mlx,False,,,,dim_256,none,1.0,0,26,0,1.0,0.0,1351,0.0,382,0,1.0
20260409T133052Z_monolith_think_007_doc_image_summary_think_007_doc_image_summary_clean,think_007_doc_image_summary,think_007_doc_image_summary_clean,thinking,monolith,mlx,False,,,,,none,1.0,0,3,0,1.0,0.0,1050,0.0,379,0,1.0
20260409T133053Z_monolith_think_007_doc_image_summary_think_007_doc_image_summary_language_fr,think_007_doc_image_summary,think_007_doc_image_summary_language_fr,thinking,monolith,mlx,False,fr,,,,none,1.0,0,3,0,1.0,0.0,1081,0.0,382,0,1.0
20260409T133054Z_monolith_think_007_doc_image_summary_think_007_doc_image_summary_context_stale_preference,think_007_doc_image_summary,think_007_doc_image_summary_context_stale_preference,thinking,monolith,mlx,False,,,stale_preference,,none,1.0,0,4,0,1.0,0.0,1124,0.0,393,0,1.0
20260409T133055Z_monolith_think_007_doc_image_summary_think_007_doc_image_summary_efficiency_dim_256,think_007_doc_image_summary,think_007_doc_image_summary_efficiency_dim_256,thinking,monolith,mlx,False,,,,dim_256,none,1.0,0,3,0,1.0,0.0,1050,0.0,379,0,1.0
