case_id,family,source_failure_mode,baseline_replay_exact_match,candidate_replay_exact_match,delta_exact_match,baseline_replay_executable_match,candidate_replay_executable_match,delta_executable_match,baseline_replay_executor_equivalence_match,candidate_replay_executor_equivalence_match,delta_executor_equivalence_match,baseline_replay_failure_mode,candidate_replay_failure_mode,baseline_actual_call_count,candidate_actual_call_count,delta_actual_call_count
h1p_compact_queue_badge_table_value_decoy,h1p_component_value_compact,argument_alias_or_decoy_risk,True,True,0,True,True,0,True,True,0,exact,exact,1,1,0
h1p_compact_stage_chip_email_value_decoy,h1p_component_value_compact,argument_alias_or_decoy_risk,True,True,0,True,True,0,True,True,0,exact,exact,1,1,0
h1p_compact_state_tag_log_value_decoy,h1p_component_value_compact,argument_alias_or_decoy_risk,False,False,0,False,False,0,False,False,0,argument_mismatch,argument_mismatch,1,1,0
h1p_compact_status_pill_summary_value_decoy,h1p_component_value_compact,argument_alias_or_decoy_risk,True,True,0,True,True,0,True,True,0,exact,exact,1,1,0
h1p_stale_phase_tile_archive_decoy,h1p_component_value_stale_selection,wrong_tool_or_stale_selection_risk,True,True,0,True,True,0,True,True,0,exact,exact,1,1,0
h1p_stale_priority_chip_old_selection_decoy,h1p_component_value_stale_selection,wrong_tool_or_stale_selection_risk,True,True,0,True,True,0,True,True,0,exact,exact,1,1,0
h1p_stale_risk_badge_old_selection_decoy,h1p_component_value_stale_selection,wrong_tool_or_stale_selection_risk,True,True,0,True,True,0,True,True,0,exact,exact,1,1,0
h1p_stale_severity_pill_previous_region_decoy,h1p_component_value_stale_selection,wrong_tool_or_stale_selection_risk,True,True,0,True,True,0,True,True,0,exact,exact,1,1,0
h1p_surface_lane_tile_board_value_decoy,h1p_component_value_surface,argument_alias_or_decoy_risk,True,True,0,True,True,0,True,True,0,exact,exact,1,1,0
h1p_surface_mode_toggle_note_value_decoy,h1p_component_value_surface,argument_alias_or_decoy_risk,False,False,0,False,False,0,False,False,0,argument_mismatch,argument_mismatch,1,1,0
h1p_surface_owner_field_note_value_decoy,h1p_component_value_surface,argument_alias_or_decoy_risk,True,True,0,True,True,0,True,True,0,exact,exact,1,1,0
h1p_surface_result_badge_comment_value_decoy,h1p_component_value_surface,argument_alias_or_decoy_risk,True,True,0,True,True,0,True,True,0,exact,exact,1,1,0
