profile_label,case_id,family,intervention_kind,from_tool,from_arguments,to_tool,to_arguments,prompt_state_label,preserved_target_query,value_bearing_label,value_suffix,reason
h2m_h2n_scoped_target_query_normalization,h2m_result_badge_blocked_contextual_value,h2m_less_direct_value_bearing_target,visual_target_query_normalization_blocked,extract_layout,"{""image_id"":""img-h2m-result-badge-blocked"",""target_query"":""result chip""}",,{},result badge,result chip,result badge Blocked,blocked,value_bearing_label_requested
h2m_h2n_scoped_target_query_normalization,h2m_state_tag_closed_contextual_value,h2m_less_direct_value_bearing_target,visual_target_query_normalization_blocked,extract_layout,"{""image_id"":""img-h2m-state-tag-closed"",""target_query"":""Closed state tag""}",,{},state tag,Closed state tag,state tag Closed,closed,value_bearing_label_requested
h2m_h2n_scoped_target_query_normalization,h2m_priority_badge_critical_contextual_value,h2m_less_direct_value_bearing_target,visual_target_query_normalization_blocked,extract_layout,"{""image_id"":""img-h2m-priority-badge-critical"",""target_query"":""priority badge critical""}",,{},priority badge,priority badge critical,priority badge Critical,critical,value_bearing_label_requested
h2m_h2n_scoped_target_query_normalization,h2m_error_notice_contextual_alias,h2m_contextual_alias_is_target,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2m-error-notice"",""target_query"":""archive panel""}",extract_layout,"{""image_id"":""img-h2m-error-notice"",""target_query"":""error notice""}",error notice,,,,
h2m_h2n_scoped_target_query_normalization,h2m_mode_field_contextual_regression_guard,h2m_h2k_regression_guard_less_direct,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2m-mode-field-short"",""target_query"":""mode switch""}",extract_layout,"{""image_id"":""img-h2m-mode-field-short"",""target_query"":""mode field""}",mode field,,,,
h2k_h2n_scoped_target_query_normalization,h2k_mode_toggle_negated_consent_toggle_decoy,h2k_negated_same_component_decoy,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2k-mode-toggle"",""target_query"":""mode toggle Manual""}",extract_layout,"{""image_id"":""img-h2k-mode-toggle"",""target_query"":""mode toggle""}",mode toggle,,,,
h2k_h2n_scoped_target_query_normalization,h2k_result_badge_negated_result_tile_decoy,h2k_negated_same_component_decoy,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2k-result-badge"",""target_query"":""result badge Blocked""}",extract_layout,"{""image_id"":""img-h2k-result-badge"",""target_query"":""result badge""}",result badge,,,,
h2k_h2n_scoped_target_query_normalization,h2k_error_banner_archived_error_notice_decoy,h2k_transfer_regression_guard,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2k-error-banner"",""target_query"":""error notice""}",extract_layout,"{""image_id"":""img-h2k-error-banner"",""target_query"":""error banner""}",error banner,,,,
h2k_h2n_scoped_target_query_normalization,h2k_state_tag_before_reading_state_marker_decoy,h2k_before_reading_decoy,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2k-state-tag"",""target_query"":""state tag Closed""}",extract_layout,"{""image_id"":""img-h2k-state-tag"",""target_query"":""state tag""}",state tag,,,,
h2k_h2n_scoped_target_query_normalization,h2k_mode_field_before_reading_mode_switch_decoy,h2k_before_reading_decoy,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2k-mode-field"",""target_query"":""mode toggle""}",extract_layout,"{""image_id"":""img-h2k-mode-field"",""target_query"":""mode field""}",mode field,,,,
h2l_h2n_scoped_target_query_normalization,h2l_status_badge_short_label_regression_guard,h2l_h2k_regression_guard,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2l-status-badge-short"",""target_query"":""critical chip""}",extract_layout,"{""image_id"":""img-h2l-status-badge-short"",""target_query"":""status badge""}",status badge,,,,
h2f_h2n_scoped_target_query_normalization,h2f_result_tile_comment_value_decoy,h2f_route_component_class_transfer,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2f-result-tile"",""target_query"":""Blocked""}",extract_layout,"{""image_id"":""img-h2f-result-tile"",""target_query"":""result tile""}",result tile,,,,
h2f_h2n_scoped_target_query_normalization,h2f_resolution_badge_log_result_decoy,h2f_route_component_class_transfer,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2f-resolution-badge"",""target_query"":""Deferred""}",extract_layout,"{""image_id"":""img-h2f-resolution-badge"",""target_query"":""resolution badge""}",resolution badge,,,,
h2f_h2n_scoped_target_query_normalization,h2f_state_marker_history_value_decoy,h2f_route_nonstandard_class,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2f-state-marker"",""target_query"":""lifecycle state marker""}",extract_layout,"{""image_id"":""img-h2f-state-marker"",""target_query"":""state marker""}",state marker,,,,
h2f_h2n_scoped_target_query_normalization,h2f_mode_switch_note_value_decoy,h2f_route_nonstandard_class,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2f-mode-switch"",""target_query"":""mode toggle""}",extract_layout,"{""image_id"":""img-h2f-mode-switch"",""target_query"":""mode switch""}",mode switch,,,,
h2f_h2n_scoped_target_query_normalization,h2f_owner_field_previous_memo_decoy,h2f_route_stale_field,visual_stale_selection_gate,refine_selection,"{""filter_query"":""owner field"",""selection_id"":""sel-h2f-owner-memo""}",extract_layout,"{""image_id"":""img-h2f-owner-field"",""target_query"":""owner field""}",,,,,
