profile_label,case_id,family,intervention_kind,from_tool,from_arguments,to_tool,to_arguments,preserved_target_query,requested_label,requested_region_id,prompt_state_label,blocked_label,reason
h2x_h2u_negation_guard,h2x_status_badge_quoted_not_badge_note,h2x_quoted_stale_negation_context,visual_target_query_normalization_blocked,extract_layout,"{""image_id"":""img-h2x-status-badge-quote"",""target_query"":""status badge""}",,{},status badge,,,review note,review note,negation_scope_exact_layout_label
h2x_h2u_negation_guard,h2x_status_badge_quoted_not_badge_note,h2x_quoted_stale_negation_context,visual_composed_route_gating_blocked,extract_layout,"{""image_id"":""img-h2x-status-badge-quote"",""target_query"":""status badge""}",,{},status badge,,,,review note,negation_scope_exact_layout_label
h2x_h2u_negation_guard,h2x_owner_field_do_not_use_memo,h2x_instructional_negation_context,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2x-owner-field-memo"",""target_query"":""owner Nia""}",extract_layout,"{""image_id"":""img-h2x-owner-field-memo"",""target_query"":""owner field""}",,,,owner field,,
h2x_h2u_no_controller_fallback,h2x_status_badge_quoted_not_badge_note,h2x_quoted_stale_negation_context,visual_target_query_normalization_blocked,extract_layout,"{""image_id"":""img-h2x-status-badge-quote"",""target_query"":""status badge""}",,{},status badge,,,review note,review note,negation_scope_exact_layout_label
h2x_h2u_no_controller_fallback,h2x_status_badge_quoted_not_badge_note,h2x_quoted_stale_negation_context,visual_composed_route_gating_blocked,extract_layout,"{""image_id"":""img-h2x-status-badge-quote"",""target_query"":""status badge""}",,{},status badge,,,,review note,negation_scope_exact_layout_label
h2x_h2u_no_controller_fallback,h2x_owner_field_do_not_use_memo,h2x_instructional_negation_context,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2x-owner-field-memo"",""target_query"":""owner Nia""}",extract_layout,"{""image_id"":""img-h2x-owner-field-memo"",""target_query"":""owner field""}",,,,owner field,,
h2x_h2w_semantic_target_preservation,h2x_status_badge_quoted_not_badge_note,h2x_quoted_stale_negation_context,visual_semantic_target_preservation,extract_layout,"{""image_id"":""img-h2x-status-badge-quote"",""target_query"":""status badge""}",extract_layout,"{""image_id"":""img-h2x-status-badge-quote"",""target_query"":""status badge""}",status badge,,,status badge,review note,semantic_label_preserved_over_stale_context
h2x_h2w_semantic_target_preservation,h2x_status_badge_quoted_not_badge_note,h2x_quoted_stale_negation_context,visual_composed_route_gating_blocked,extract_layout,"{""image_id"":""img-h2x-status-badge-quote"",""target_query"":""status badge""}",,{},status badge,,,,review note,negation_scope_exact_layout_label
h2x_h2w_semantic_target_preservation,h2x_risk_lane_stale_selection_not_lane,h2x_stale_selection_negation_context,visual_composed_route_gating,refine_selection,"{""filter_query"":""High"",""selection_id"":""sel-stale""}",extract_layout,"{""image_id"":""img-h2x-risk-lane-stale-selection"",""target_query"":""risk lane""}",,risk lane,h2x-risk-lane-17022,,,stale_selection_to_requested_surface
h2x_h2w_semantic_target_preservation,h2x_owner_field_do_not_use_memo,h2x_instructional_negation_context,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2x-owner-field-memo"",""target_query"":""owner Nia""}",extract_layout,"{""image_id"":""img-h2x-owner-field-memo"",""target_query"":""owner field""}",,,,owner field,,
h2x_h2w_semantic_target_preservation,h2x_not_ready_status_badge_value_before_component,h2x_genuine_negated_target_value,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2x-not-ready-status-badge"",""target_query"":""not ready""}",extract_layout,"{""image_id"":""img-h2x-not-ready-status-badge"",""target_query"":""status badge not ready""}",,,,status badge not ready,,
h2x_h2w_semantic_target_preservation,h2x_not_applicable_reason_chip_value_before_component,h2x_genuine_negated_target_value,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2x-not-applicable-reason-chip"",""target_query"":""not Applicable""}",extract_layout,"{""image_id"":""img-h2x-not-applicable-reason-chip"",""target_query"":""reason chip not applicable""}",,,,reason chip not applicable,,
h2x_h2w_semantic_target_preservation,h2x_not_approved_approval_toggle_value_before_component,h2x_genuine_negated_target_value,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2x-not-approved-toggle"",""target_query"":""not approved""}",extract_layout,"{""image_id"":""img-h2x-not-approved-toggle"",""target_query"":""approval toggle not approved""}",,,,approval toggle not approved,,
h2x_h2w_semantic_target_preservation,h2x_not_blocked_result_tile_value_before_component,h2x_genuine_negated_target_value,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2x-not-blocked-result-tile"",""target_query"":""not blocked""}",extract_layout,"{""image_id"":""img-h2x-not-blocked-result-tile"",""target_query"":""result tile not blocked""}",,,,result tile not blocked,,
h2x_h2w_no_controller_fallback,h2x_status_badge_quoted_not_badge_note,h2x_quoted_stale_negation_context,visual_semantic_target_preservation,extract_layout,"{""image_id"":""img-h2x-status-badge-quote"",""target_query"":""status badge""}",extract_layout,"{""image_id"":""img-h2x-status-badge-quote"",""target_query"":""status badge""}",status badge,,,status badge,review note,semantic_label_preserved_over_stale_context
h2x_h2w_no_controller_fallback,h2x_status_badge_quoted_not_badge_note,h2x_quoted_stale_negation_context,visual_composed_route_gating_blocked,extract_layout,"{""image_id"":""img-h2x-status-badge-quote"",""target_query"":""status badge""}",,{},status badge,,,,review note,negation_scope_exact_layout_label
h2x_h2w_no_controller_fallback,h2x_risk_lane_stale_selection_not_lane,h2x_stale_selection_negation_context,visual_composed_route_gating,refine_selection,"{""filter_query"":""High"",""selection_id"":""sel-stale""}",extract_layout,"{""image_id"":""img-h2x-risk-lane-stale-selection"",""target_query"":""risk lane""}",,risk lane,h2x-risk-lane-17022,,,stale_selection_to_requested_surface
h2x_h2w_no_controller_fallback,h2x_owner_field_do_not_use_memo,h2x_instructional_negation_context,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2x-owner-field-memo"",""target_query"":""owner Nia""}",extract_layout,"{""image_id"":""img-h2x-owner-field-memo"",""target_query"":""owner field""}",,,,owner field,,
h2x_h2w_no_controller_fallback,h2x_not_ready_status_badge_value_before_component,h2x_genuine_negated_target_value,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2x-not-ready-status-badge"",""target_query"":""not ready""}",extract_layout,"{""image_id"":""img-h2x-not-ready-status-badge"",""target_query"":""status badge not ready""}",,,,status badge not ready,,
h2x_h2w_no_controller_fallback,h2x_not_applicable_reason_chip_value_before_component,h2x_genuine_negated_target_value,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2x-not-applicable-reason-chip"",""target_query"":""not Applicable""}",extract_layout,"{""image_id"":""img-h2x-not-applicable-reason-chip"",""target_query"":""reason chip not applicable""}",,,,reason chip not applicable,,
