label,case_id,family,baseline_failure_mode,candidate_failure_mode,delta_exact_match,delta_executor_equivalence_match,transition
contracted,post_repair_alert_c77_toggle_decoy,visual_tool_routing_transfer_post_repair,argument_mismatch,argument_mismatch,0,0,unchanged
contracted,post_repair_badge_t64_notice_decoy,visual_argument_transfer_post_repair_code,argument_mismatch,exact,1,1,strict_gain
contracted,post_repair_chip_l90_person_decoy,visual_argument_transfer_post_repair_code,argument_mismatch,wrong_tool,0,0,unchanged
contracted,post_repair_field_b12_stale_selection_decoy,visual_tool_routing_transfer_post_repair,no_tool_call,exact,1,1,strict_gain
contracted,post_repair_node_k21_chart_decoy,visual_argument_transfer_post_repair_code,exact,wrong_tool,-1,-1,regression
contracted,post_repair_review_tile_table_decoy,visual_argument_transfer_post_repair_noncode,exact,exact,0,0,unchanged
contracted,post_repair_status_pill_note_decoy,visual_argument_transfer_post_repair_noncode,no_tool_call,wrong_tool,0,0,unchanged
contracted,post_repair_warning_toast_email_decoy,visual_argument_transfer_post_repair_noncode,no_tool_call,wrong_tool,0,0,unchanged
argument_hints_v2,post_repair_alert_c77_toggle_decoy,visual_tool_routing_transfer_post_repair,argument_mismatch,argument_mismatch,0,0,unchanged
argument_hints_v2,post_repair_badge_t64_notice_decoy,visual_argument_transfer_post_repair_code,argument_mismatch,argument_mismatch,0,0,unchanged
argument_hints_v2,post_repair_chip_l90_person_decoy,visual_argument_transfer_post_repair_code,argument_mismatch,argument_mismatch,0,0,unchanged
argument_hints_v2,post_repair_field_b12_stale_selection_decoy,visual_tool_routing_transfer_post_repair,no_tool_call,exact,1,1,strict_gain
argument_hints_v2,post_repair_node_k21_chart_decoy,visual_argument_transfer_post_repair_code,exact,exact,0,0,unchanged
argument_hints_v2,post_repair_review_tile_table_decoy,visual_argument_transfer_post_repair_noncode,exact,exact,0,0,unchanged
argument_hints_v2,post_repair_status_pill_note_decoy,visual_argument_transfer_post_repair_noncode,no_tool_call,exact,1,1,strict_gain
argument_hints_v2,post_repair_warning_toast_email_decoy,visual_argument_transfer_post_repair_noncode,no_tool_call,exact,1,1,strict_gain
oblique_code_hints_v6,post_repair_alert_c77_toggle_decoy,visual_tool_routing_transfer_post_repair,argument_mismatch,exact,1,1,strict_gain
oblique_code_hints_v6,post_repair_badge_t64_notice_decoy,visual_argument_transfer_post_repair_code,argument_mismatch,exact,1,1,strict_gain
oblique_code_hints_v6,post_repair_chip_l90_person_decoy,visual_argument_transfer_post_repair_code,argument_mismatch,argument_mismatch,0,0,unchanged
oblique_code_hints_v6,post_repair_field_b12_stale_selection_decoy,visual_tool_routing_transfer_post_repair,no_tool_call,exact,1,1,strict_gain
oblique_code_hints_v6,post_repair_node_k21_chart_decoy,visual_argument_transfer_post_repair_code,exact,exact,0,0,unchanged
oblique_code_hints_v6,post_repair_review_tile_table_decoy,visual_argument_transfer_post_repair_noncode,exact,no_tool_call,-1,-1,regression
oblique_code_hints_v6,post_repair_status_pill_note_decoy,visual_argument_transfer_post_repair_noncode,no_tool_call,no_tool_call,0,0,unchanged
oblique_code_hints_v6,post_repair_warning_toast_email_decoy,visual_argument_transfer_post_repair_noncode,no_tool_call,exact,1,1,strict_gain
oblique_code_guard_v7,post_repair_alert_c77_toggle_decoy,visual_tool_routing_transfer_post_repair,argument_mismatch,exact,1,1,strict_gain
oblique_code_guard_v7,post_repair_badge_t64_notice_decoy,visual_argument_transfer_post_repair_code,argument_mismatch,exact,1,1,strict_gain
oblique_code_guard_v7,post_repair_chip_l90_person_decoy,visual_argument_transfer_post_repair_code,argument_mismatch,argument_mismatch,0,0,unchanged
oblique_code_guard_v7,post_repair_field_b12_stale_selection_decoy,visual_tool_routing_transfer_post_repair,no_tool_call,exact,1,1,strict_gain
oblique_code_guard_v7,post_repair_node_k21_chart_decoy,visual_argument_transfer_post_repair_code,exact,exact,0,0,unchanged
oblique_code_guard_v7,post_repair_review_tile_table_decoy,visual_argument_transfer_post_repair_noncode,exact,exact,0,0,unchanged
oblique_code_guard_v7,post_repair_status_pill_note_decoy,visual_argument_transfer_post_repair_noncode,no_tool_call,argument_mismatch,0,0,unchanged
oblique_code_guard_v7,post_repair_warning_toast_email_decoy,visual_argument_transfer_post_repair_noncode,no_tool_call,exact,1,1,strict_gain
