profile_label,case_id,family,failure_mode,executor_equivalence_match,expected_tool,expected_target_query,actual_tool,actual_target_query
h2q_h2e_route_arbitration,h2q_result_tile_blocked_value_badge_decoy,h2q_surface_alias_value_decoy,argument_mismatch,False,extract_layout,result tile,extract_layout,Blocked badge
h2q_h2e_route_arbitration,h2q_state_panel_closed_value_tag_decoy,h2q_surface_alias_value_decoy,argument_mismatch,False,extract_layout,state panel,extract_layout,Closed
h2q_h2e_route_arbitration,h2q_priority_badge_critical_stale_status_decoy,h2q_value_bearing_stale_decoy,executable_paraphrase,True,extract_layout,priority badge Critical,extract_layout,Critical priority badge
h2q_h2e_route_arbitration,h2q_owner_field_amina_archived_owner_decoy,h2q_value_bearing_stale_decoy,argument_mismatch,False,extract_layout,owner field Amina,extract_layout,owner field
h2q_h2e_route_arbitration,h2q_archive_panel_error_notice_banner_decoy,h2q_contextual_alias_decoy_overlap,argument_mismatch,False,extract_layout,error notice,extract_layout,archived exception panel
h2q_h2e_route_arbitration,h2q_result_tile_stale_selection_hint,h2q_stale_surface_alias,wrong_tool,False,extract_layout,result tile,refine_selection,
h2q_h2e_route_arbitration,h2q_state_panel_stale_selection_hint,h2q_stale_surface_alias,wrong_tool,False,extract_layout,state panel,refine_selection,
h2q_h2n_scoped_target_query_normalization,h2q_result_tile_blocked_value_badge_decoy,h2q_surface_alias_value_decoy,argument_mismatch,False,extract_layout,result tile,extract_layout,result comment
h2q_h2n_scoped_target_query_normalization,h2q_state_panel_closed_value_tag_decoy,h2q_surface_alias_value_decoy,argument_mismatch,False,extract_layout,state panel,extract_layout,Closed
h2q_h2n_scoped_target_query_normalization,h2q_priority_badge_critical_stale_status_decoy,h2q_value_bearing_stale_decoy,executable_paraphrase,True,extract_layout,priority badge Critical,extract_layout,Critical priority badge
h2q_h2n_scoped_target_query_normalization,h2q_owner_field_amina_archived_owner_decoy,h2q_value_bearing_stale_decoy,argument_mismatch,False,extract_layout,owner field Amina,extract_layout,owner field
h2q_h2n_scoped_target_query_normalization,h2q_archive_panel_error_notice_banner_decoy,h2q_contextual_alias_decoy_overlap,argument_mismatch,False,extract_layout,error notice,extract_layout,error banner
h2q_h2n_scoped_target_query_normalization,h2q_mode_field_manual_switch_decoy,h2q_contextual_alias_decoy_overlap,argument_mismatch,False,extract_layout,mode field,extract_layout,mode switch
h2q_h2n_scoped_target_query_normalization,h2q_result_tile_stale_selection_hint,h2q_stale_surface_alias,wrong_tool,False,extract_layout,result tile,refine_selection,
h2q_h2n_scoped_target_query_normalization,h2q_state_panel_stale_selection_hint,h2q_stale_surface_alias,wrong_tool,False,extract_layout,state panel,refine_selection,
h2q_h2o_value_bearing_target_query_synthesis,h2q_result_tile_blocked_value_badge_decoy,h2q_surface_alias_value_decoy,argument_mismatch,False,extract_layout,result tile,extract_layout,result comment
h2q_h2o_value_bearing_target_query_synthesis,h2q_state_panel_closed_value_tag_decoy,h2q_surface_alias_value_decoy,argument_mismatch,False,extract_layout,state panel,extract_layout,Closed
h2q_h2o_value_bearing_target_query_synthesis,h2q_archive_panel_error_notice_banner_decoy,h2q_contextual_alias_decoy_overlap,argument_mismatch,False,extract_layout,error notice,extract_layout,error banner
h2q_h2o_value_bearing_target_query_synthesis,h2q_mode_field_manual_switch_decoy,h2q_contextual_alias_decoy_overlap,argument_mismatch,False,extract_layout,mode field,extract_layout,mode switch
h2q_h2o_value_bearing_target_query_synthesis,h2q_result_tile_stale_selection_hint,h2q_stale_surface_alias,wrong_tool,False,extract_layout,result tile,refine_selection,
h2q_h2o_value_bearing_target_query_synthesis,h2q_state_panel_stale_selection_hint,h2q_stale_surface_alias,wrong_tool,False,extract_layout,state panel,refine_selection,
h2q_h2p_contextual_surface_alias_routing,h2q_result_tile_blocked_value_badge_decoy,h2q_surface_alias_value_decoy,argument_mismatch,False,extract_layout,result tile,extract_layout,result comment
h2q_h2p_contextual_surface_alias_routing,h2q_archive_panel_error_notice_banner_decoy,h2q_contextual_alias_decoy_overlap,argument_mismatch,False,extract_layout,error notice,extract_layout,error banner
h2q_h2p_contextual_surface_alias_routing,h2q_mode_field_manual_switch_decoy,h2q_contextual_alias_decoy_overlap,argument_mismatch,False,extract_layout,mode field,extract_layout,mode switch
h2q_h2p_contextual_surface_alias_routing,h2q_result_tile_stale_selection_hint,h2q_stale_surface_alias,wrong_tool,False,extract_layout,result tile,refine_selection,
h2q_h2p_contextual_surface_alias_routing,h2q_state_panel_stale_selection_hint,h2q_stale_surface_alias,wrong_tool,False,extract_layout,state panel,refine_selection,
