case_id,family,source_failure_mode,source_exact_match,source_executable_match,baseline_exact_match,expected_call_count,source_actual_call_count,case_path
h2v_metric_panel_quoted_not_label_note,h2v_quoted_negation_context,argument_alias_or_decoy_risk,False,False,,1,,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_packets/20260513T_h2v_semantic_negation_dry_run_v1/cases/h2v_metric_panel_quoted_not_label_note.json
h2v_summary_tile_quoted_not_label_caption,h2v_quoted_negation_context,argument_alias_or_decoy_risk,False,False,,1,,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_packets/20260513T_h2v_semantic_negation_dry_run_v1/cases/h2v_summary_tile_quoted_not_label_caption.json
h2v_status_panel_do_not_use_note,h2v_instructional_negation_context,argument_alias_or_decoy_risk,False,False,,1,,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_packets/20260513T_h2v_semantic_negation_dry_run_v1/cases/h2v_status_panel_do_not_use_note.json
h2v_owner_field_do_not_use_memo,h2v_instructional_negation_context,argument_alias_or_decoy_risk,False,False,,1,,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_packets/20260513T_h2v_semantic_negation_dry_run_v1/cases/h2v_owner_field_do_not_use_memo.json
h2v_review_tile_stale_caption_old_not_tile,h2v_stale_example_negation_context,argument_alias_or_decoy_risk,False,False,,1,,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_packets/20260513T_h2v_semantic_negation_dry_run_v1/cases/h2v_review_tile_stale_caption_old_not_tile.json
h2v_risk_lane_stale_example_not_lane,h2v_stale_example_negation_context,argument_alias_or_decoy_risk,False,False,,1,,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_packets/20260513T_h2v_semantic_negation_dry_run_v1/cases/h2v_risk_lane_stale_example_not_lane.json
h2v_not_ready_badge_genuine_value,h2v_genuine_negated_target,argument_alias_or_decoy_risk,False,False,,1,,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_packets/20260513T_h2v_semantic_negation_dry_run_v1/cases/h2v_not_ready_badge_genuine_value.json
h2v_not_applicable_chip_genuine_value,h2v_genuine_negated_target,argument_alias_or_decoy_risk,False,False,,1,,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_packets/20260513T_h2v_semantic_negation_dry_run_v1/cases/h2v_not_applicable_chip_genuine_value.json
h2v_not_approved_toggle_genuine_value,h2v_genuine_negated_target,argument_alias_or_decoy_risk,False,False,,1,,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_packets/20260513T_h2v_semantic_negation_dry_run_v1/cases/h2v_not_approved_toggle_genuine_value.json
h2v_exception_notice_clean_control,h2v_clean_negation_control,argument_alias_or_decoy_risk,False,False,,1,,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_packets/20260513T_h2v_semantic_negation_dry_run_v1/cases/h2v_exception_notice_clean_control.json
