system_id,failure_mode,count
mlx_gemma4_e2b_reasoner_only,exact,8
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive,argument_mismatch,2
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive,exact,1
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive,no_tool_call,4
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive,wrong_tool,1
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog,argument_mismatch,3
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog,exact,3
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog,wrong_tool,2
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_argument_hints,argument_mismatch,1
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_argument_hints,exact,6
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_argument_hints,executable_paraphrase,1
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_split_selector_hints,argument_mismatch,1
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_split_selector_hints,exact,5
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_split_selector_hints,executable_paraphrase,1
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_split_selector_hints,wrong_tool,1
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_schema_field_hints,exact,6
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_schema_field_hints,executable_paraphrase,2
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_schema_literal_targets,exact,5
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_schema_literal_targets,executable_paraphrase,2
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_schema_literal_targets,wrong_tool,1
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_literal_guard,argument_mismatch,2
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_literal_guard,exact,3
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_literal_guard,executable_paraphrase,1
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_literal_guard,no_tool_call,1
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_literal_guard,wrong_tool,1
