label,case_id,family,baseline_failure_mode,candidate_failure_mode,delta_exact_match,delta_executor_equivalence_match,transition
contracted,component_value_owner_field_stale_selection_decoy,visual_tool_routing_component_value,no_tool_call,argument_mismatch,0,0,unchanged
contracted,component_value_phase_tile_ticket_decoy,visual_argument_transfer_component_value_nonpill,exact,wrong_tool,-1,-1,regression
contracted,component_value_priority_chip_table_decoy,visual_argument_transfer_component_value_nonpill,executable_paraphrase,exact,1,0,strict_gain
contracted,component_value_result_pill_log_decoy,visual_argument_transfer_component_value_pill,exact,wrong_tool,-1,-1,regression
contracted,component_value_risk_badge_stale_selection_decoy,visual_tool_routing_component_value,exact,argument_mismatch,-1,-1,regression
contracted,component_value_severity_pill_chart_decoy,visual_argument_transfer_component_value_pill,exact,wrong_tool,-1,-1,regression
contracted,component_value_state_pill_note_decoy,visual_argument_transfer_component_value_pill,exact,wrong_tool,-1,-1,regression
contracted,component_value_status_badge_email_decoy,visual_argument_transfer_component_value_nonpill,no_tool_call,wrong_tool,0,0,unchanged
argument_hints_v2,component_value_owner_field_stale_selection_decoy,visual_tool_routing_component_value,no_tool_call,exact,1,1,strict_gain
argument_hints_v2,component_value_phase_tile_ticket_decoy,visual_argument_transfer_component_value_nonpill,exact,argument_mismatch,-1,-1,regression
argument_hints_v2,component_value_priority_chip_table_decoy,visual_argument_transfer_component_value_nonpill,executable_paraphrase,executable_paraphrase,0,0,unchanged
argument_hints_v2,component_value_result_pill_log_decoy,visual_argument_transfer_component_value_pill,exact,exact,0,0,unchanged
argument_hints_v2,component_value_risk_badge_stale_selection_decoy,visual_tool_routing_component_value,exact,exact,0,0,unchanged
argument_hints_v2,component_value_severity_pill_chart_decoy,visual_argument_transfer_component_value_pill,exact,exact,0,0,unchanged
argument_hints_v2,component_value_state_pill_note_decoy,visual_argument_transfer_component_value_pill,exact,exact,0,0,unchanged
argument_hints_v2,component_value_status_badge_email_decoy,visual_argument_transfer_component_value_nonpill,no_tool_call,exact,1,1,strict_gain
hybrid_label_guard_v8,component_value_owner_field_stale_selection_decoy,visual_tool_routing_component_value,no_tool_call,exact,1,1,strict_gain
hybrid_label_guard_v8,component_value_phase_tile_ticket_decoy,visual_argument_transfer_component_value_nonpill,exact,exact,0,0,unchanged
hybrid_label_guard_v8,component_value_priority_chip_table_decoy,visual_argument_transfer_component_value_nonpill,executable_paraphrase,argument_mismatch,0,-1,regression
hybrid_label_guard_v8,component_value_result_pill_log_decoy,visual_argument_transfer_component_value_pill,exact,executable_paraphrase,-1,0,regression
hybrid_label_guard_v8,component_value_risk_badge_stale_selection_decoy,visual_tool_routing_component_value,exact,exact,0,0,unchanged
hybrid_label_guard_v8,component_value_severity_pill_chart_decoy,visual_argument_transfer_component_value_pill,exact,exact,0,0,unchanged
hybrid_label_guard_v8,component_value_state_pill_note_decoy,visual_argument_transfer_component_value_pill,exact,exact,0,0,unchanged
hybrid_label_guard_v8,component_value_status_badge_email_decoy,visual_argument_transfer_component_value_nonpill,no_tool_call,exact,1,1,strict_gain
component_value_guard_v9,component_value_owner_field_stale_selection_decoy,visual_tool_routing_component_value,no_tool_call,argument_mismatch,0,0,unchanged
component_value_guard_v9,component_value_phase_tile_ticket_decoy,visual_argument_transfer_component_value_nonpill,exact,exact,0,0,unchanged
component_value_guard_v9,component_value_priority_chip_table_decoy,visual_argument_transfer_component_value_nonpill,executable_paraphrase,argument_mismatch,0,-1,regression
component_value_guard_v9,component_value_result_pill_log_decoy,visual_argument_transfer_component_value_pill,exact,argument_mismatch,-1,-1,regression
component_value_guard_v9,component_value_risk_badge_stale_selection_decoy,visual_tool_routing_component_value,exact,exact,0,0,unchanged
component_value_guard_v9,component_value_severity_pill_chart_decoy,visual_argument_transfer_component_value_pill,exact,exact,0,0,unchanged
component_value_guard_v9,component_value_state_pill_note_decoy,visual_argument_transfer_component_value_pill,exact,argument_mismatch,-1,-1,regression
component_value_guard_v9,component_value_status_badge_email_decoy,visual_argument_transfer_component_value_nonpill,no_tool_call,exact,1,1,strict_gain
no_call_control_rescue_v10,component_value_owner_field_stale_selection_decoy,visual_tool_routing_component_value,no_tool_call,exact,1,1,strict_gain
no_call_control_rescue_v10,component_value_phase_tile_ticket_decoy,visual_argument_transfer_component_value_nonpill,exact,exact,0,0,unchanged
no_call_control_rescue_v10,component_value_priority_chip_table_decoy,visual_argument_transfer_component_value_nonpill,executable_paraphrase,executable_paraphrase,0,0,unchanged
no_call_control_rescue_v10,component_value_result_pill_log_decoy,visual_argument_transfer_component_value_pill,exact,exact,0,0,unchanged
no_call_control_rescue_v10,component_value_risk_badge_stale_selection_decoy,visual_tool_routing_component_value,exact,exact,0,0,unchanged
no_call_control_rescue_v10,component_value_severity_pill_chart_decoy,visual_argument_transfer_component_value_pill,exact,exact,0,0,unchanged
no_call_control_rescue_v10,component_value_state_pill_note_decoy,visual_argument_transfer_component_value_pill,exact,exact,0,0,unchanged
no_call_control_rescue_v10,component_value_status_badge_email_decoy,visual_argument_transfer_component_value_nonpill,no_tool_call,exact,1,1,strict_gain
oblique_code_guard_v7,component_value_owner_field_stale_selection_decoy,visual_tool_routing_component_value,no_tool_call,exact,1,1,strict_gain
oblique_code_guard_v7,component_value_phase_tile_ticket_decoy,visual_argument_transfer_component_value_nonpill,exact,argument_mismatch,-1,-1,regression
oblique_code_guard_v7,component_value_priority_chip_table_decoy,visual_argument_transfer_component_value_nonpill,executable_paraphrase,argument_mismatch,0,-1,regression
oblique_code_guard_v7,component_value_result_pill_log_decoy,visual_argument_transfer_component_value_pill,exact,exact,0,0,unchanged
oblique_code_guard_v7,component_value_risk_badge_stale_selection_decoy,visual_tool_routing_component_value,exact,exact,0,0,unchanged
oblique_code_guard_v7,component_value_severity_pill_chart_decoy,visual_argument_transfer_component_value_pill,exact,exact,0,0,unchanged
oblique_code_guard_v7,component_value_state_pill_note_decoy,visual_argument_transfer_component_value_pill,exact,exact,0,0,unchanged
oblique_code_guard_v7,component_value_status_badge_email_decoy,visual_argument_transfer_component_value_nonpill,no_tool_call,argument_mismatch,0,0,unchanged
oblique_code_hints_v6,component_value_owner_field_stale_selection_decoy,visual_tool_routing_component_value,no_tool_call,no_tool_call,0,0,unchanged
oblique_code_hints_v6,component_value_phase_tile_ticket_decoy,visual_argument_transfer_component_value_nonpill,exact,argument_mismatch,-1,-1,regression
