case_id,family,source_failure_mode,baseline_replay_exact_match,candidate_replay_exact_match,delta_exact_match,baseline_replay_executable_match,candidate_replay_executable_match,delta_executable_match,baseline_replay_executor_equivalence_match,candidate_replay_executor_equivalence_match,delta_executor_equivalence_match,baseline_replay_failure_mode,candidate_replay_failure_mode,baseline_actual_call_count,candidate_actual_call_count,delta_actual_call_count
h1y_alert_s92_negated_toggle_decoy,h1y_route_code_label,argument_alias_or_decoy_risk,False,True,1,False,True,1,False,True,1,argument_mismatch,exact,1,1,0
h1y_badge_c08_table_value_decoy,h1y_route_code_label,argument_alias_or_decoy_risk,True,True,0,True,True,0,True,True,0,exact,exact,1,1,0
h1y_escalation_contact_field_saved_summary_decoy,h1y_route_stale_field,wrong_tool_or_stale_selection_risk,False,True,1,False,True,1,False,True,1,wrong_tool,exact,1,1,0
h1y_lifecycle_state_tag_audit_value_decoy,h1y_route_nonstandard_class,argument_alias_or_decoy_risk,False,True,1,False,True,1,False,True,1,argument_mismatch,exact,1,1,0
h1y_operation_mode_toggle_note_value_decoy,h1y_route_nonstandard_class,argument_alias_or_decoy_risk,True,True,0,True,True,0,True,True,0,exact,exact,1,1,0
h1y_responsible_party_field_old_owner_memo_decoy,h1y_route_stale_field,wrong_tool_or_stale_selection_risk,False,True,1,False,True,1,False,True,1,wrong_tool,exact,1,1,0
h1y_result_badge_comment_value_holdout,h1y_preserve_surface_value,argument_alias_or_decoy_risk,True,True,0,True,True,0,True,True,0,exact,exact,1,1,0
h1y_review_owner_field_previous_table_decoy,h1y_route_stale_field,wrong_tool_or_stale_selection_risk,False,True,1,False,True,1,False,True,1,wrong_tool,exact,1,1,0
h1y_status_pill_summary_value_holdout,h1y_preserve_surface_value,argument_alias_or_decoy_risk,True,True,0,True,True,0,True,True,0,exact,exact,1,1,0
h1y_warning_tile_note_activation_decoy,h1y_activation_no_call,wrong_tool_or_stale_selection_risk,True,True,0,True,True,0,True,True,0,exact,exact,1,1,0
