label,case_id,family,baseline_failure_mode,candidate_failure_mode,delta_exact_match,delta_executor_equivalence_match,transition
contracted,transfer_repeat_audit_card_email_decoy,visual_argument_transfer_repeat,exact,argument_mismatch,-1,-1,regression
contracted,transfer_repeat_consent_alert_toggle_decoy,visual_tool_routing_transfer_repeat,exact,wrong_tool,-1,-1,regression
contracted,transfer_repeat_latency_chip_person_decoy,visual_argument_transfer_repeat,no_tool_call,argument_mismatch,0,0,unchanged
contracted,transfer_repeat_missing_field_old_selection_decoy,visual_tool_routing_transfer_repeat,wrong_tool,argument_mismatch,0,0,unchanged
contracted,transfer_repeat_priority_tag_chart_decoy,visual_argument_transfer_repeat,no_tool_call,argument_mismatch,0,0,unchanged
contracted,transfer_repeat_warning_toast_note_decoy,visual_argument_transfer_repeat,no_tool_call,wrong_tool,0,0,unchanged
role_catalog_v1,transfer_repeat_audit_card_email_decoy,visual_argument_transfer_repeat,exact,exact,0,0,unchanged
role_catalog_v1,transfer_repeat_consent_alert_toggle_decoy,visual_tool_routing_transfer_repeat,exact,exact,0,0,unchanged
role_catalog_v1,transfer_repeat_latency_chip_person_decoy,visual_argument_transfer_repeat,no_tool_call,exact,1,1,strict_gain
role_catalog_v1,transfer_repeat_missing_field_old_selection_decoy,visual_tool_routing_transfer_repeat,wrong_tool,wrong_tool,0,0,unchanged
role_catalog_v1,transfer_repeat_priority_tag_chart_decoy,visual_argument_transfer_repeat,no_tool_call,no_tool_call,0,0,unchanged
role_catalog_v1,transfer_repeat_warning_toast_note_decoy,visual_argument_transfer_repeat,no_tool_call,exact,1,1,strict_gain
argument_hints_v2,transfer_repeat_audit_card_email_decoy,visual_argument_transfer_repeat,exact,exact,0,0,unchanged
argument_hints_v2,transfer_repeat_consent_alert_toggle_decoy,visual_tool_routing_transfer_repeat,exact,exact,0,0,unchanged
argument_hints_v2,transfer_repeat_latency_chip_person_decoy,visual_argument_transfer_repeat,no_tool_call,exact,1,1,strict_gain
argument_hints_v2,transfer_repeat_missing_field_old_selection_decoy,visual_tool_routing_transfer_repeat,wrong_tool,executable_paraphrase,0,1,executor_gain_without_strict
argument_hints_v2,transfer_repeat_priority_tag_chart_decoy,visual_argument_transfer_repeat,no_tool_call,exact,1,1,strict_gain
argument_hints_v2,transfer_repeat_warning_toast_note_decoy,visual_argument_transfer_repeat,no_tool_call,exact,1,1,strict_gain
schema_field_hints_v4,transfer_repeat_audit_card_email_decoy,visual_argument_transfer_repeat,exact,exact,0,0,unchanged
schema_field_hints_v4,transfer_repeat_consent_alert_toggle_decoy,visual_tool_routing_transfer_repeat,exact,exact,0,0,unchanged
schema_field_hints_v4,transfer_repeat_latency_chip_person_decoy,visual_argument_transfer_repeat,no_tool_call,exact,1,1,strict_gain
schema_field_hints_v4,transfer_repeat_missing_field_old_selection_decoy,visual_tool_routing_transfer_repeat,wrong_tool,wrong_tool,0,0,unchanged
schema_field_hints_v4,transfer_repeat_priority_tag_chart_decoy,visual_argument_transfer_repeat,no_tool_call,argument_mismatch,0,0,unchanged
schema_field_hints_v4,transfer_repeat_warning_toast_note_decoy,visual_argument_transfer_repeat,no_tool_call,exact,1,1,strict_gain
schema_literal_targets_v5,transfer_repeat_audit_card_email_decoy,visual_argument_transfer_repeat,exact,exact,0,0,unchanged
schema_literal_targets_v5,transfer_repeat_consent_alert_toggle_decoy,visual_tool_routing_transfer_repeat,exact,exact,0,0,unchanged
schema_literal_targets_v5,transfer_repeat_latency_chip_person_decoy,visual_argument_transfer_repeat,no_tool_call,exact,1,1,strict_gain
schema_literal_targets_v5,transfer_repeat_missing_field_old_selection_decoy,visual_tool_routing_transfer_repeat,wrong_tool,executable_paraphrase,0,1,executor_gain_without_strict
schema_literal_targets_v5,transfer_repeat_priority_tag_chart_decoy,visual_argument_transfer_repeat,no_tool_call,exact,1,1,strict_gain
schema_literal_targets_v5,transfer_repeat_warning_toast_note_decoy,visual_argument_transfer_repeat,no_tool_call,exact,1,1,strict_gain
