case_id,family,source_failure_mode,baseline_exact_match,expected_call_count,source_actual_call_count,status,replay_failure_mode,replay_exact_match,replay_executable_match,replay_executor_equivalence_match
h2t_current_selection_review_tile_refine_guard,h2t_current_selection_guard,wrong_tool_or_stale_selection_risk,,1,,exact,exact,True,True,True
h2t_current_selection_status_panel_refine_guard,h2t_current_selection_guard,wrong_tool_or_stale_selection_risk,,1,,exact,exact,True,True,True
h2t_result_drawer_low_score_badge_decoy,h2t_low_score_surface_request,argument_alias_or_decoy_risk,,1,,exact,exact,True,True,True
h2t_risk_lane_high_chip_decoy,h2t_low_score_surface_request,argument_alias_or_decoy_risk,,1,,exact,exact,True,True,True
h2t_stage_column_review_tag_decoy,h2t_low_score_surface_request,argument_alias_or_decoy_risk,,1,,exact,exact,True,True,True
h2t_metric_panel_negation_scope_note,h2t_negation_scope_guard,argument_alias_or_decoy_risk,,1,,non_exact,argument_mismatch,False,False,False
h2t_summary_tile_negation_scope_caption,h2t_negation_scope_guard,argument_alias_or_decoy_risk,,1,,non_exact,argument_mismatch,False,False,False
h2t_escalated_value_not_badge_component,h2t_value_is_target_guard,argument_alias_or_decoy_risk,,1,,exact,exact,True,True,True
h2t_result_badge_live_clean_control,h2t_clean_route_control,argument_alias_or_decoy_risk,,1,,exact,exact,True,True,True
h2t_owner_field_clean_control,h2t_clean_route_control,argument_alias_or_decoy_risk,,1,,exact,exact,True,True,True
