profile_label,case_id,family,intervention_kind,from_tool,from_arguments,to_tool,to_arguments,prompt_state_label
h2j_target_query_normalization_no_stale_gate,h2m_result_badge_blocked_contextual_value,h2m_less_direct_value_bearing_target,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2m-result-badge-blocked"",""target_query"":""result chip""}",extract_layout,"{""image_id"":""img-h2m-result-badge-blocked"",""target_query"":""result badge""}",result badge
h2j_target_query_normalization_no_stale_gate,h2m_state_tag_closed_contextual_value,h2m_less_direct_value_bearing_target,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2m-state-tag-closed"",""target_query"":""Closed state tag""}",extract_layout,"{""image_id"":""img-h2m-state-tag-closed"",""target_query"":""state tag""}",state tag
h2j_target_query_normalization_no_stale_gate,h2m_priority_badge_critical_contextual_value,h2m_less_direct_value_bearing_target,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2m-priority-badge-critical"",""target_query"":""priority badge critical""}",extract_layout,"{""image_id"":""img-h2m-priority-badge-critical"",""target_query"":""priority badge""}",priority badge
h2j_target_query_normalization_no_stale_gate,h2m_error_notice_contextual_alias,h2m_contextual_alias_is_target,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2m-error-notice"",""target_query"":""archive panel""}",extract_layout,"{""image_id"":""img-h2m-error-notice"",""target_query"":""error notice""}",error notice
h2j_target_query_normalization_no_stale_gate,h2m_mode_field_contextual_regression_guard,h2m_h2k_regression_guard_less_direct,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2m-mode-field-short"",""target_query"":""mode switch""}",extract_layout,"{""image_id"":""img-h2m-mode-field-short"",""target_query"":""mode field""}",mode field
h2j_target_query_normalization,h2m_result_badge_blocked_contextual_value,h2m_less_direct_value_bearing_target,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2m-result-badge-blocked"",""target_query"":""result chip""}",extract_layout,"{""image_id"":""img-h2m-result-badge-blocked"",""target_query"":""result badge""}",result badge
h2j_target_query_normalization,h2m_state_tag_closed_contextual_value,h2m_less_direct_value_bearing_target,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2m-state-tag-closed"",""target_query"":""Closed state tag""}",extract_layout,"{""image_id"":""img-h2m-state-tag-closed"",""target_query"":""state tag""}",state tag
h2j_target_query_normalization,h2m_priority_badge_critical_contextual_value,h2m_less_direct_value_bearing_target,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2m-priority-badge-critical"",""target_query"":""priority badge critical""}",extract_layout,"{""image_id"":""img-h2m-priority-badge-critical"",""target_query"":""priority badge""}",priority badge
h2j_target_query_normalization,h2m_error_notice_contextual_alias,h2m_contextual_alias_is_target,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2m-error-notice"",""target_query"":""archive panel""}",extract_layout,"{""image_id"":""img-h2m-error-notice"",""target_query"":""error notice""}",error notice
h2j_target_query_normalization,h2m_mode_field_contextual_regression_guard,h2m_h2k_regression_guard_less_direct,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2m-mode-field-short"",""target_query"":""mode switch""}",extract_layout,"{""image_id"":""img-h2m-mode-field-short"",""target_query"":""mode field""}",mode field
