system_id,workflow_id,role_family,h1_stressors,episode_count,failure_candidate_count,failure_modes,real_world_readiness_avg,strict_interface_avg,recovered_execution_avg,controller_repair_avg,controller_fallback_avg,argument_repair_avg,raw_planning_clean_rate_avg,episodes
mlx_gemma4_e2b_reasoner_only,executive_visual_dashboard_review,executive_assistant,visual_argument_copying;visual_readback_region_literal,1,0,,0.9942,1.0,1.0,0.0,0.0,0.0,1.0,kwa_exec_live_visual_dashboard_brief
mlx_gemma4_e2b_reasoner_only,executive_visual_referent_review,executive_assistant,visual_latest_filter_literal;visual_referent_carryover,1,0,,0.9181,1.0,1.0,0.0,0.0,0.0,1.0,kwa_exec_live_visual_dashboard_referent_hold_v3
mlx_gemma4_e2b_reasoner_only,finance_billing_patch_hold,finance,api_canonicalization;cli_diff_review_only;approval_safe_stop,1,0,,0.9687,1.0,1.0,0.0,0.0,0.0,1.0,kwa_finance_live_diff_review_hold_v5
mlx_gemma4_e2b_reasoner_only,finance_visual_invoice_review,finance,api_invoice_lock_hold_update;cli_invoice_lock_hyphen_query;visual_evidence,1,0,,0.9687,1.0,1.0,0.0,0.0,0.0,1.0,kwa_finance_live_invoice_lock_direction_hold_v4
mlx_gemma4_e2b_reasoner_only,jobs_phone_patch_resume,job_application_ops,api_form_issue_fetch;cli_phone_patch_latest_only;visual_referent_carryover,1,0,,0.9826,1.0,1.0,0.0,0.0,0.0,1.0,kwa_jobs_live_phone_patch_resume_hold_v4
mlx_gemma4_e2b_reasoner_only,jobs_visual_constraint_override,job_application_ops,visual_form_target_literal;approval_safe_stop,1,0,,0.9623,1.0,1.0,0.0,0.0,0.0,1.0,kwa_jobs_live_visual_constraint_override_hold_v2
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive,executive_visual_dashboard_review,executive_assistant,visual_argument_copying;visual_readback_region_literal,1,0,,0.9942,1.0,1.0,0.0,0.0,0.0,1.0,kwa_exec_live_visual_dashboard_brief
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive,executive_visual_referent_review,executive_assistant,visual_latest_filter_literal;visual_referent_carryover,1,0,,0.9181,1.0,1.0,0.0,0.0,0.0,1.0,kwa_exec_live_visual_dashboard_referent_hold_v3
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive,finance_billing_patch_hold,finance,api_canonicalization;cli_diff_review_only;approval_safe_stop,1,0,,0.9687,1.0,1.0,0.0,0.0,0.0,1.0,kwa_finance_live_diff_review_hold_v5
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive,finance_visual_invoice_review,finance,api_invoice_lock_hold_update;cli_invoice_lock_hyphen_query;visual_evidence,1,0,,0.9687,1.0,1.0,0.0,0.0,0.0,1.0,kwa_finance_live_invoice_lock_direction_hold_v4
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive,jobs_phone_patch_resume,job_application_ops,api_form_issue_fetch;cli_phone_patch_latest_only;visual_referent_carryover,1,0,,0.9826,1.0,1.0,0.0,0.0,0.0,1.0,kwa_jobs_live_phone_patch_resume_hold_v4
