case_id,family,source_failure_mode,baseline_replay_exact_match,candidate_replay_exact_match,delta_exact_match,baseline_replay_executable_match,candidate_replay_executable_match,delta_executable_match,baseline_replay_executor_equivalence_match,candidate_replay_executor_equivalence_match,delta_executor_equivalence_match,baseline_replay_failure_mode,candidate_replay_failure_mode,baseline_actual_call_count,candidate_actual_call_count,delta_actual_call_count
h2f_alert_t47_negated_switch_decoy,h2f_route_code_label,argument_alias_or_decoy_risk,True,True,0,True,True,0,True,True,0,exact,exact,1,1,0
h2f_badge_m31_summary_value_decoy,h2f_route_code_label,argument_alias_or_decoy_risk,True,True,0,True,True,0,True,True,0,exact,exact,1,1,0
h2f_error_notice_history_activation_decoy,h2f_activation_panel_notice,wrong_tool_or_stale_selection_risk,True,True,0,True,True,0,True,True,0,exact,exact,1,1,0
h2f_mode_switch_note_value_decoy,h2f_route_nonstandard_class,argument_alias_or_decoy_risk,False,False,0,False,False,0,False,False,0,argument_mismatch,argument_mismatch,1,1,0
h2f_owner_field_previous_memo_decoy,h2f_route_stale_field,wrong_tool_or_stale_selection_risk,True,True,0,True,True,0,True,True,0,exact,exact,1,1,0
h2f_resolution_badge_log_result_decoy,h2f_route_component_class_transfer,argument_alias_or_decoy_risk,False,False,0,False,True,1,False,True,1,argument_mismatch,executable_paraphrase,1,1,0
h2f_result_tile_comment_value_decoy,h2f_route_component_class_transfer,argument_alias_or_decoy_risk,False,False,0,False,False,0,False,False,0,argument_mismatch,argument_mismatch,1,1,0
h2f_reviewer_field_saved_summary_decoy,h2f_route_stale_field,wrong_tool_or_stale_selection_risk,True,True,0,True,True,0,True,True,0,exact,exact,1,1,0
h2f_state_marker_history_value_decoy,h2f_route_nonstandard_class,argument_alias_or_decoy_risk,False,False,0,False,False,0,False,False,0,argument_mismatch,argument_mismatch,1,1,0
h2f_warning_panel_note_activation_decoy,h2f_activation_panel_notice,wrong_tool_or_stale_selection_risk,True,True,0,True,True,0,True,True,0,exact,exact,1,1,0
