comparison_label,case_id,family,baseline_failure_mode,candidate_failure_mode,baseline_executor_equivalence_match,candidate_executor_equivalence_match
h2v_h2w_vs_h2u,h2v_not_applicable_chip_genuine_value,h2v_genuine_negated_target,argument_mismatch,exact,False,True
h2v_h2w_vs_h2u,h2v_not_approved_toggle_genuine_value,h2v_genuine_negated_target,executable_paraphrase,exact,True,True
h2v_h2w_vs_h2u,h2v_not_ready_badge_genuine_value,h2v_genuine_negated_target,argument_mismatch,exact,False,True
h2v_h2w_vs_h2u,h2v_review_tile_stale_caption_old_not_tile,h2v_stale_example_negation_context,argument_mismatch,exact,False,True
h2v_h2w_vs_h2u,h2v_risk_lane_stale_example_not_lane,h2v_stale_example_negation_context,argument_mismatch,exact,False,True
h2v_h2w_vs_h2u,h2v_summary_tile_quoted_not_label_caption,h2v_quoted_negation_context,no_tool_call,exact,False,True
h2v_h2w_vs_h2r,h2v_metric_panel_quoted_not_label_note,h2v_quoted_negation_context,argument_mismatch,exact,False,True
h2v_h2w_vs_h2r,h2v_not_applicable_chip_genuine_value,h2v_genuine_negated_target,argument_mismatch,exact,False,True
h2v_h2w_vs_h2r,h2v_not_approved_toggle_genuine_value,h2v_genuine_negated_target,executable_paraphrase,exact,True,True
h2v_h2w_vs_h2r,h2v_not_ready_badge_genuine_value,h2v_genuine_negated_target,argument_mismatch,exact,False,True
h2v_h2w_vs_h2r,h2v_review_tile_stale_caption_old_not_tile,h2v_stale_example_negation_context,argument_mismatch,exact,False,True
h2v_h2w_vs_h2r,h2v_risk_lane_stale_example_not_lane,h2v_stale_example_negation_context,argument_mismatch,exact,False,True
h2v_h2w_vs_h2r,h2v_summary_tile_quoted_not_label_caption,h2v_quoted_negation_context,no_tool_call,exact,False,True
h2v_h2w_vs_h2j,h2v_metric_panel_quoted_not_label_note,h2v_quoted_negation_context,argument_mismatch,exact,False,True
h2v_h2w_vs_h2j,h2v_not_applicable_chip_genuine_value,h2v_genuine_negated_target,argument_mismatch,exact,False,True
h2v_h2w_vs_h2j,h2v_not_approved_toggle_genuine_value,h2v_genuine_negated_target,executable_paraphrase,exact,True,True
h2v_h2w_vs_h2j,h2v_not_ready_badge_genuine_value,h2v_genuine_negated_target,argument_mismatch,exact,False,True
h2v_h2w_vs_h2j,h2v_review_tile_stale_caption_old_not_tile,h2v_stale_example_negation_context,argument_mismatch,exact,False,True
h2v_h2w_vs_h2j,h2v_risk_lane_stale_example_not_lane,h2v_stale_example_negation_context,argument_mismatch,exact,False,True
h2v_h2w_vs_h2j,h2v_summary_tile_quoted_not_label_caption,h2v_quoted_negation_context,no_tool_call,exact,False,True
