comparison,case_id,family,source_failure_mode,baseline_replay_exact_match,candidate_replay_exact_match,delta_exact_match,baseline_replay_executable_match,candidate_replay_executable_match,delta_executable_match,baseline_replay_executor_equivalence_match,candidate_replay_executor_equivalence_match,delta_executor_equivalence_match,baseline_replay_failure_mode,candidate_replay_failure_mode,baseline_actual_call_count,candidate_actual_call_count,delta_actual_call_count
contracted vs no directive,visual_form_error_with_prior_selection_decoy,visual_tool_routing,argument_mismatch,False,True,1,False,True,1,False,True,1,argument_mismatch,exact,1,1,0
contracted vs no directive,visual_metric_panel_vs_table_selector,visual_argument_copying,argument_mismatch,False,True,1,False,True,1,False,True,1,argument_mismatch,exact,1,1,0
role catalog vs no directive,visual_form_error_with_prior_selection_decoy,visual_tool_routing,argument_mismatch,False,True,1,False,True,1,False,True,1,argument_mismatch,exact,1,1,0
role catalog vs no directive,visual_metric_panel_vs_table_selector,visual_argument_copying,argument_mismatch,False,False,0,False,False,0,False,False,0,argument_mismatch,argument_mismatch,1,1,0
argument hints vs no directive,visual_form_error_with_prior_selection_decoy,visual_tool_routing,argument_mismatch,False,True,1,False,True,1,False,True,1,argument_mismatch,exact,1,1,0
argument hints vs no directive,visual_metric_panel_vs_table_selector,visual_argument_copying,argument_mismatch,False,False,0,False,False,0,False,False,0,argument_mismatch,argument_mismatch,1,1,0
schema-field hints vs no directive,visual_form_error_with_prior_selection_decoy,visual_tool_routing,argument_mismatch,False,True,1,False,True,1,False,True,1,argument_mismatch,exact,1,1,0
schema-field hints vs no directive,visual_metric_panel_vs_table_selector,visual_argument_copying,argument_mismatch,False,False,0,False,True,1,False,True,1,argument_mismatch,executable_paraphrase,1,1,0
schema literal targets vs no directive,visual_form_error_with_prior_selection_decoy,visual_tool_routing,argument_mismatch,False,False,0,False,False,0,False,False,0,argument_mismatch,wrong_tool,1,1,0
schema literal targets vs no directive,visual_metric_panel_vs_table_selector,visual_argument_copying,argument_mismatch,False,False,0,False,True,1,False,True,1,argument_mismatch,executable_paraphrase,1,1,0
