profile_label,case_id,family,intervention_kind,from_tool,from_arguments,to_tool,to_arguments,preserved_target_query,blocked_label,prompt_state_label,reason
h2v_h2j_target_query_normalization,h2v_metric_panel_quoted_not_label_note,h2v_quoted_negation_context,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2v-metric-panel-quoted-note"",""target_query"":""metric panel""}",extract_layout,"{""image_id"":""img-h2v-metric-panel-quoted-note"",""target_query"":""audit note""}",,audit note,audit note,
h2v_h2j_target_query_normalization,h2v_review_tile_stale_caption_old_not_tile,h2v_stale_example_negation_context,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2v-review-tile-stale-caption"",""target_query"":""review tile""}",extract_layout,"{""image_id"":""img-h2v-review-tile-stale-caption"",""target_query"":""stale caption""}",,stale caption,stale caption,
h2v_h2j_target_query_normalization,h2v_risk_lane_stale_example_not_lane,h2v_stale_example_negation_context,visual_stale_selection_gate,refine_selection,"{""filter_query"":""High"",""selection_id"":""img-h2v-risk-lane-stale-example""}",extract_layout,"{""image_id"":""img-h2v-risk-lane-stale-example"",""target_query"":""example note""}",,,,
h2v_h2r_composed_route_gating,h2v_metric_panel_quoted_not_label_note,h2v_quoted_negation_context,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2v-metric-panel-quoted-note"",""target_query"":""metric panel""}",extract_layout,"{""image_id"":""img-h2v-metric-panel-quoted-note"",""target_query"":""audit note""}",,audit note,audit note,
h2v_h2r_composed_route_gating,h2v_review_tile_stale_caption_old_not_tile,h2v_stale_example_negation_context,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2v-review-tile-stale-caption"",""target_query"":""review tile""}",extract_layout,"{""image_id"":""img-h2v-review-tile-stale-caption"",""target_query"":""stale caption""}",,stale caption,stale caption,
h2v_h2r_composed_route_gating,h2v_risk_lane_stale_example_not_lane,h2v_stale_example_negation_context,visual_stale_selection_gate,refine_selection,"{""filter_query"":""High"",""selection_id"":""img-h2v-risk-lane-stale-example""}",extract_layout,"{""image_id"":""img-h2v-risk-lane-stale-example"",""target_query"":""example note""}",,,,
h2v_h2u_negation_guard,h2v_metric_panel_quoted_not_label_note,h2v_quoted_negation_context,visual_target_query_normalization_blocked,extract_layout,"{""image_id"":""img-h2v-metric-panel-quoted-note"",""target_query"":""metric panel""}",,{},metric panel,audit note,audit note,negation_scope_exact_layout_label
h2v_h2u_negation_guard,h2v_metric_panel_quoted_not_label_note,h2v_quoted_negation_context,visual_composed_route_gating_blocked,extract_layout,"{""image_id"":""img-h2v-metric-panel-quoted-note"",""target_query"":""metric panel""}",,{},metric panel,audit note,,negation_scope_exact_layout_label
h2v_h2u_negation_guard,h2v_review_tile_stale_caption_old_not_tile,h2v_stale_example_negation_context,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2v-review-tile-stale-caption"",""target_query"":""review tile""}",extract_layout,"{""image_id"":""img-h2v-review-tile-stale-caption"",""target_query"":""stale caption""}",,stale caption,stale caption,
h2v_h2u_negation_guard,h2v_risk_lane_stale_example_not_lane,h2v_stale_example_negation_context,visual_stale_selection_gate,refine_selection,"{""filter_query"":""High"",""selection_id"":""img-h2v-risk-lane-stale-example""}",extract_layout,"{""image_id"":""img-h2v-risk-lane-stale-example"",""target_query"":""example note""}",,,,
