profile_label,case_id,family,failure_mode,executor_equivalence_match,expected_tool,expected_arguments,actual_tool,actual_arguments,actual_region_ids
no_directive,h1o_code_alert_s92_negated_toggle_decoy,h1o_code_negation_preservation,executable_paraphrase,True,extract_layout,"{""image_id"": ""img-h1o-code-alert-s92"", ""target_query"": ""alert s92""}",extract_layout,"{""image_id"": ""img-h1o-code-alert-s92"", ""target_query"": ""alert""}",h1o-alert-s92-9122
no_directive,h1o_code_badge_c08_note_decoy,h1o_code_negation_preservation,no_tool_call,False,extract_layout,"{""image_id"": ""img-h1o-code-badge-c08"", ""target_query"": ""badge c08""}",,{},
no_directive,h1p_compact_state_tag_log_value_decoy,h1p_component_value_compact,argument_mismatch,False,extract_layout,"{""image_id"": ""img-h1p-compact-state-tag"", ""target_query"": ""state tag""}",extract_layout,"{""image_id"": ""img-h1p-compact-state-tag"", ""target_query"": ""state tag component""}",
no_directive,h1p_surface_mode_toggle_note_value_decoy,h1p_component_value_surface,no_tool_call,False,extract_layout,"{""image_id"": ""img-h1p-surface-mode-toggle"", ""target_query"": ""mode toggle""}",,{},
component_label_guard_v11,component_value_result_pill_log_decoy,visual_argument_transfer_component_value_pill,executable_paraphrase,True,extract_layout,"{""image_id"": ""img-component-result-pill"", ""target_query"": ""result pill""}",extract_layout,"{""image_id"": ""img-component-result-pill"", ""target_query"": ""pill""}",component-result-pill-8502
component_label_guard_v11,h1o_code_alert_s92_negated_toggle_decoy,h1o_code_negation_preservation,executable_paraphrase,True,extract_layout,"{""image_id"": ""img-h1o-code-alert-s92"", ""target_query"": ""alert s92""}",extract_layout,"{""image_id"": ""img-h1o-code-alert-s92"", ""target_query"": ""alert""}",h1o-alert-s92-9122
component_label_guard_v11,h1o_code_badge_c08_note_decoy,h1o_code_negation_preservation,executable_paraphrase,True,extract_layout,"{""image_id"": ""img-h1o-code-badge-c08"", ""target_query"": ""badge c08""}",extract_layout,"{""image_id"": ""img-h1o-code-badge-c08"", ""target_query"": ""escalated badge""}",h1o-badge-c08-9132
component_label_guard_v11,h1p_compact_state_tag_log_value_decoy,h1p_component_value_compact,argument_mismatch,False,extract_layout,"{""image_id"": ""img-h1p-compact-state-tag"", ""target_query"": ""state tag""}",extract_layout,"{""image_id"": ""img-h1p-compact-state-tag"", ""target_query"": ""state pill""}",
component_label_guard_v11,h1p_surface_mode_toggle_note_value_decoy,h1p_component_value_surface,argument_mismatch,False,extract_layout,"{""image_id"": ""img-h1p-surface-mode-toggle"", ""target_query"": ""mode toggle""}",extract_layout,"{""image_id"": ""img-h1p-surface-mode-toggle"", ""target_query"": ""Manual""}","h1p-mode-note-9351,h1p-mode-toggle-9352,h1p-mode-table-9353"
component_value_guard_v9,component_value_result_pill_log_decoy,visual_argument_transfer_component_value_pill,argument_mismatch,False,extract_layout,"{""image_id"": ""img-component-result-pill"", ""target_query"": ""result pill""}",extract_layout,"{""image_id"": ""img-component-result-pill"", ""target_query"": ""approved""}","component-log-8501,component-result-pill-8502,component-review-8503"
component_value_guard_v9,h1o_code_alert_s92_negated_toggle_decoy,h1o_code_negation_preservation,executable_paraphrase,True,extract_layout,"{""image_id"": ""img-h1o-code-alert-s92"", ""target_query"": ""alert s92""}",extract_layout,"{""image_id"": ""img-h1o-code-alert-s92"", ""target_query"": ""alert""}",h1o-alert-s92-9122
