comparison,case_id,family,source_failure_mode,baseline_replay_exact_match,candidate_replay_exact_match,delta_exact_match,baseline_replay_executable_match,candidate_replay_executable_match,delta_executable_match,baseline_replay_failure_mode,candidate_replay_failure_mode,baseline_actual_call_count,candidate_actual_call_count,delta_actual_call_count
canonical JSON vs no directive,api_form_issue_fetch,api_canonicalization,argument_mismatch,False,False,0,,,,argument_mismatch,argument_mismatch,1,1,0
canonical JSON vs no directive,api_invoice_lock_hold_update,api_canonicalization,argument_mismatch,False,False,0,,,,argument_mismatch,no_tool_call,1,0,-1
canonical JSON vs no directive,cli_invoice_lock_hyphen_query,cli_canonicalization,argument_mismatch,False,False,0,,,,argument_mismatch,argument_mismatch,1,1,0
canonical JSON vs no directive,cli_phone_patch_latest_only,cli_patch_copying,argument_mismatch,False,False,0,,,,argument_mismatch,no_tool_call,1,0,-1
canonical JSON vs contracted,api_form_issue_fetch,api_canonicalization,argument_mismatch,True,False,-1,,,,exact,argument_mismatch,1,1,0
canonical JSON vs contracted,api_invoice_lock_hold_update,api_canonicalization,argument_mismatch,True,False,-1,,,,exact,no_tool_call,1,0,-1
canonical JSON vs contracted,cli_invoice_lock_hyphen_query,cli_canonicalization,argument_mismatch,True,False,-1,,,,exact,argument_mismatch,1,1,0
canonical JSON vs contracted,cli_phone_patch_latest_only,cli_patch_copying,argument_mismatch,True,False,-1,,,,exact,no_tool_call,1,0,-1
visual initiation vs no directive,visual_form_target_literal,visual_argument_copying,no_tool_call,False,False,0,False,True,1,no_tool_call,executable_paraphrase,0,1,1
visual initiation vs no directive,visual_latest_filter_literal,visual_referent_carryover,no_tool_call,False,False,0,,,,no_tool_call,wrong_tool,0,1,1
visual initiation vs no directive,visual_readback_region_literal,visual_referent_carryover,no_tool_call,False,True,1,,,,no_tool_call,exact,0,1,1
visual initiation vs contracted,visual_form_target_literal,visual_argument_copying,no_tool_call,False,False,0,True,True,0,executable_paraphrase,executable_paraphrase,1,1,0
visual initiation vs contracted,visual_latest_filter_literal,visual_referent_carryover,no_tool_call,True,False,-1,,,,exact,wrong_tool,1,1,0
visual initiation vs contracted,visual_readback_region_literal,visual_referent_carryover,no_tool_call,True,True,0,,,,exact,exact,1,1,0
