run_id,task_id,variant_id,track,architecture,backend,thinking_enabled,language_stressor,schema_stressor,context_stressor,efficiency_stressor,failure_summary,answer_match,arg_exact,avoidable_retries,completion_tokens,controller_repair_count,evidence_hit_rate,exact_match,final_state_match,hallucinated_tool_rate,interface_reliability_score,latency_ms,malformed_call_rate,mrr,ndcg,prompt_tokens,recall_at_k,recovery_correct,steps_taken,success,token_budget_used,tool_exact
20260409T134141Z_monolith_think_003_policy_reasoning_think_003_policy_reasoning_clean,think_003_policy_reasoning,think_003_policy_reasoning_clean,thinking,monolith,mlx,False,,,,,none,1.0,,0,4,0,,1.0,,0.0,,15026,0.0,,,225,,,0,1.0,,
20260409T134141Z_monolith_think_003_policy_reasoning_think_003_policy_reasoning_language_fr,think_003_policy_reasoning,think_003_policy_reasoning_language_fr,thinking,monolith,mlx,False,fr,,,,none,1.0,,0,4,0,,1.0,,0.0,,425,0.0,,,228,,,0,1.0,,
20260409T134142Z_monolith_think_003_policy_reasoning_think_003_policy_reasoning_context_stale_preference,think_003_policy_reasoning,think_003_policy_reasoning_context_stale_preference,thinking,monolith,mlx,False,,,stale_preference,,none,1.0,,0,4,0,,1.0,,0.0,,429,0.0,,,239,,,0,1.0,,
20260409T134142Z_monolith_think_003_policy_reasoning_think_003_policy_reasoning_efficiency_dim_256,think_003_policy_reasoning,think_003_policy_reasoning_efficiency_dim_256,thinking,monolith,mlx,False,,,,dim_256,none,1.0,,0,4,0,,1.0,,0.0,,432,0.0,,,225,,,0,1.0,,
20260409T134144Z_monolith_think_006_screenshot_security_think_006_screenshot_security_clean,think_006_screenshot_security,think_006_screenshot_security_clean,thinking,monolith,mlx,False,,,,,none,1.0,,0,26,0,,1.0,,0.0,,1371,0.0,,,382,,,0,1.0,,
20260409T134145Z_monolith_think_006_screenshot_security_think_006_screenshot_security_language_fr,think_006_screenshot_security,think_006_screenshot_security_language_fr,thinking,monolith,mlx,False,fr,,,,"failed, answer_mismatch, image_grounding_miss",0.0,,0,5,0,,0.0,,0.0,,1116,0.0,,,385,,,0,0.0,,
20260409T134146Z_monolith_think_006_screenshot_security_think_006_screenshot_security_context_stale_preference,think_006_screenshot_security,think_006_screenshot_security_context_stale_preference,thinking,monolith,mlx,False,,,stale_preference,,none,1.0,,0,6,0,,1.0,,0.0,,1126,0.0,,,396,,,0,1.0,,
20260409T134147Z_monolith_think_006_screenshot_security_think_006_screenshot_security_efficiency_dim_256,think_006_screenshot_security,think_006_screenshot_security_efficiency_dim_256,thinking,monolith,mlx,False,,,,dim_256,none,1.0,,0,26,0,,1.0,,0.0,,1364,0.0,,,382,,,0,1.0,,
20260409T134148Z_monolith_think_007_doc_image_summary_think_007_doc_image_summary_clean,think_007_doc_image_summary,think_007_doc_image_summary_clean,thinking,monolith,mlx,False,,,,,none,1.0,,0,3,0,,1.0,,0.0,,1049,0.0,,,379,,,0,1.0,,
20260409T134149Z_monolith_think_007_doc_image_summary_think_007_doc_image_summary_language_fr,think_007_doc_image_summary,think_007_doc_image_summary_language_fr,thinking,monolith,mlx,False,fr,,,,none,1.0,,0,3,0,,1.0,,0.0,,1035,0.0,,,382,,,0,1.0,,
20260409T134150Z_monolith_think_007_doc_image_summary_think_007_doc_image_summary_context_stale_preference,think_007_doc_image_summary,think_007_doc_image_summary_context_stale_preference,thinking,monolith,mlx,False,,,stale_preference,,none,1.0,,0,4,0,,1.0,,0.0,,1076,0.0,,,393,,,0,1.0,,
20260409T134151Z_monolith_think_007_doc_image_summary_think_007_doc_image_summary_efficiency_dim_256,think_007_doc_image_summary,think_007_doc_image_summary_efficiency_dim_256,thinking,monolith,mlx,False,,,,dim_256,none,1.0,,0,3,0,,1.0,,0.0,,1017,0.0,,,379,,,0,1.0,,
20260409T134211Z_monolith_tool_001_calendar_search_tool_001_calendar_search_clean,tool_001_calendar_search,tool_001_calendar_search_clean,tool_routing,monolith,mlx,False,,,,,none,,1.0,0,83,1,,,,0.0,0.9999999999999999,17791,0.0,,,659,,1.0,1,1.0,,1.0
20260409T134213Z_monolith_tool_001_calendar_search_tool_001_calendar_search_language_code_switch,tool_001_calendar_search,tool_001_calendar_search_language_code_switch,tool_routing,monolith,mlx,False,code_switch,,,,none,,1.0,0,83,1,,,,0.0,0.9999999999999999,2104,0.0,,,667,,1.0,1,1.0,,1.0
20260409T134215Z_monolith_tool_001_calendar_search_tool_001_calendar_search_schema_renamed_fields,tool_001_calendar_search,tool_001_calendar_search_schema_renamed_fields,tool_routing,monolith,mlx,False,,renamed_fields,,,none,,1.0,0,78,1,,,,0.0,0.9999999999999999,2021,0.0,,,668,,1.0,1,1.0,,1.0
20260409T134217Z_monolith_tool_001_calendar_search_tool_001_calendar_search_context_irrelevant_tool_output,tool_001_calendar_search,tool_001_calendar_search_context_irrelevant_tool_output,tool_routing,monolith,mlx,False,,,irrelevant_tool_output,,none,,1.0,0,83,1,,,,0.0,0.9999999999999999,2133,0.0,,,701,,1.0,1,1.0,,1.0
20260409T134220Z_monolith_tool_010_validator_ready_tool_010_validator_ready_clean,tool_010_validator_ready,tool_010_validator_ready_clean,tool_routing,monolith,mlx,False,,,,,none,,1.0,0,82,1,,,,0.0,0.9999999999999999,2269,0.0,,,790,,1.0,1,1.0,,1.0
20260409T134222Z_monolith_tool_010_validator_ready_tool_010_validator_ready_language_code_switch,tool_010_validator_ready,tool_010_validator_ready_language_code_switch,tool_routing,monolith,mlx,False,code_switch,,,,none,,1.0,0,75,1,,,,0.0,0.9999999999999999,2118,0.0,,,798,,1.0,1,1.0,,1.0
20260409T134223Z_monolith_tool_010_validator_ready_tool_010_validator_ready_schema_renamed_fields,tool_010_validator_ready,tool_010_validator_ready_schema_renamed_fields,tool_routing,monolith,mlx,False,,renamed_fields,,,malformed_call,,1.0,1,54,1,,,,0.0,0.7499999999999999,1721,1.0,,,726,,0.0,1,1.0,,1.0
20260409T134226Z_monolith_tool_010_validator_ready_tool_010_validator_ready_context_irrelevant_tool_output,tool_010_validator_ready,tool_010_validator_ready_context_irrelevant_tool_output,tool_routing,monolith,mlx,False,,,irrelevant_tool_output,,none,,1.0,0,82,1,,,,0.0,0.9999999999999999,2295,0.0,,,832,,1.0,1,1.0,,1.0
20260409T134245Z_hybrid_retr_003_incident_multimodal_retr_003_incident_multimodal_clean,retr_003_incident_multimodal,retr_003_incident_multimodal_clean,retrieval,hybrid,mlx,False,,,,,none,1.0,,0,6,0,1.0,,,0.0,,17281,0.0,1.0,1.0,474,1.0,,0,1.0,2,
20260409T134246Z_hybrid_retr_003_incident_multimodal_retr_003_incident_multimodal_language_fr,retr_003_incident_multimodal,retr_003_incident_multimodal_language_fr,retrieval,hybrid,mlx,False,fr,,,,none,1.0,,0,11,0,1.0,,,0.0,,1295,0.0,1.0,1.0,477,1.0,,0,1.0,2,
20260409T134247Z_hybrid_retr_003_incident_multimodal_retr_003_incident_multimodal_context_long_history,retr_003_incident_multimodal,retr_003_incident_multimodal_context_long_history,retrieval,hybrid,mlx,False,,,long_history,,none,1.0,,0,9,0,1.0,,,0.0,,1276,0.0,1.0,1.0,510,1.0,,0,1.0,2,
20260409T134248Z_hybrid_retr_003_incident_multimodal_retr_003_incident_multimodal_efficiency_top_k_3,retr_003_incident_multimodal,retr_003_incident_multimodal_efficiency_top_k_3,retrieval,hybrid,mlx,False,,,,top_k_3,none,1.0,,0,6,0,1.0,,,0.0,,1175,0.0,1.0,1.0,474,1.0,,0,1.0,2,
20260409T134249Z_hybrid_retr_010_rollout_mode_retr_010_rollout_mode_clean,retr_010_rollout_mode,retr_010_rollout_mode_clean,retrieval,hybrid,mlx,False,,,,,none,1.0,,0,14,0,1.0,,,0.0,,503,0.0,1.0,1.0,197,1.0,,0,1.0,2,
