comparison_label,case_id,family,baseline_failure_mode,candidate_failure_mode,baseline_executor_equivalence_match,candidate_executor_equivalence_match
h3a_combined_vs_h2z_combined,h3_finance_forecast_tile_leftover_evidence,h3_finance_stale_selection_paraphrase,wrong_tool,exact,False,True
h3a_combined_vs_h2z_combined,h3_finance_renewal_lane_retired_view,h3_finance_stale_selection_paraphrase,wrong_tool,exact,False,True
h3a_combined_vs_h2z_combined,h3_research_claim_panel_carryover_selection,h3_research_stale_selection_paraphrase,wrong_tool,exact,False,True
h3a_combined_vs_h2z_combined,h3_research_evidence_badge_retired_selection,h3_research_stale_selection_paraphrase,wrong_tool,exact,False,True
h3a_combined_vs_h2z_combined,h3_support_inactive_alert_banner,h3_support_negated_component_syntax,argument_mismatch,exact,False,True
h3a_stale_vs_h2z_combined,h3_finance_forecast_tile_leftover_evidence,h3_finance_stale_selection_paraphrase,wrong_tool,exact,False,True
h3a_stale_vs_h2z_combined,h3_finance_renewal_lane_retired_view,h3_finance_stale_selection_paraphrase,wrong_tool,exact,False,True
h3a_stale_vs_h2z_combined,h3_research_claim_panel_carryover_selection,h3_research_stale_selection_paraphrase,wrong_tool,exact,False,True
h3a_stale_vs_h2z_combined,h3_research_evidence_badge_retired_selection,h3_research_stale_selection_paraphrase,wrong_tool,exact,False,True
h3a_negative_vs_h2z_combined,h3_support_inactive_alert_banner,h3_support_negated_component_syntax,argument_mismatch,exact,False,True
h3a_combined_vs_stale,h3_support_inactive_alert_banner,h3_support_negated_component_syntax,argument_mismatch,exact,False,True
h3a_combined_vs_negative,h3_finance_forecast_tile_leftover_evidence,h3_finance_stale_selection_paraphrase,wrong_tool,exact,False,True
h3a_combined_vs_negative,h3_finance_renewal_lane_retired_view,h3_finance_stale_selection_paraphrase,wrong_tool,exact,False,True
h3a_combined_vs_negative,h3_research_claim_panel_carryover_selection,h3_research_stale_selection_paraphrase,wrong_tool,exact,False,True
h3a_combined_vs_negative,h3_research_evidence_badge_retired_selection,h3_research_stale_selection_paraphrase,wrong_tool,exact,False,True
