system_id,system_label,case_id,family,exact_match,executable_match,executor_target_match,strict_tool_match,strict_argument_match,expected_tools,actual_tools,expected_arguments,actual_arguments,expected_target_region_ids,actual_target_region_ids,failure_mode,exactness_diagnosis,research_interpretation,next_action
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_schema_field_hints,catalog schema fields,visual_form_error_vs_message_author,visual_argument_copying,True,True,True,True,True,extract_layout,extract_layout,"[{""image_id"": ""img-hard-form-author"", ""target_query"": ""validation error""}]","[{""image_id"": ""img-hard-form-author"", ""target_query"": ""validation error""}]",hard-form-author-502,hard-form-author-502,exact,exact_contract_match,strict_protocol_success,preserve as control
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_schema_field_hints,catalog schema fields,visual_form_error_with_prior_selection_decoy,visual_tool_routing,True,True,True,True,True,extract_layout,extract_layout,"[{""image_id"": ""img-hard-form-decoy"", ""target_query"": ""validation error""}]","[{""image_id"": ""img-hard-form-decoy"", ""target_query"": ""validation error""}]",hard-form-decoy-602,hard-form-decoy-602,exact,exact_contract_match,strict_protocol_success,preserve as control
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_schema_field_hints,catalog schema fields,visual_latest_filter_existing_selection,visual_referent_carryover,True,True,True,True,True,refine_selection,refine_selection,"[{""filter_query"": ""latest"", ""selection_id"": ""sel-hard-errors""}]","[{""filter_query"": ""latest"", ""selection_id"": ""sel-hard-errors""}]",hard-form-priority-702,hard-form-priority-702,exact,exact_contract_match,strict_protocol_success,preserve as control
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_schema_field_hints,catalog schema fields,visual_remaining_filter_existing_selection,visual_referent_carryover,True,True,True,True,True,refine_selection,refine_selection,"[{""filter_query"": ""remaining"", ""selection_id"": ""sel-hard-remaining""}]","[{""filter_query"": ""remaining"", ""selection_id"": ""sel-hard-remaining""}]",hard-form-queue-802,hard-form-queue-802,exact,exact_contract_match,strict_protocol_success,preserve as control
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_schema_field_hints,catalog schema fields,visual_region_readback_after_layout_result,visual_region_readback,True,True,True,True,True,read_region_text,read_region_text,"[{""image_id"": ""img-hard-callout-readback"", ""region_id"": ""hard-callout-901""}]","[{""image_id"": ""img-hard-callout-readback"", ""region_id"": ""hard-callout-901""}]",hard-callout-901,hard-callout-901,exact,exact_contract_match,strict_protocol_success,preserve as control
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_schema_field_hints,catalog schema fields,visual_metric_panel_vs_table_selector,visual_argument_copying,False,True,True,True,False,extract_layout,extract_layout,"[{""image_id"": ""img-hard-metric-table"", ""target_query"": ""dashboard metric""}]","[{""image_id"": ""img-hard-metric-table"", ""target_query"": ""metric panel""}]",hard-metric-1001,hard-metric-1001,executable_paraphrase,executable_selector_alias,benchmark_label_artifact_candidate,add executor-equivalence scoring before tuning another target_query wording profile
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_schema_field_hints,catalog schema fields,visual_callout_warning_with_user_decoy,visual_argument_copying,False,True,True,True,False,extract_layout,extract_layout,"[{""image_id"": ""img-hard-callout-decoy"", ""target_query"": ""slide callout""}]","[{""image_id"": ""img-hard-callout-decoy"", ""target_query"": ""callout warning""}]",hard-callout-decoy-1102,hard-callout-decoy-1102,executable_paraphrase,executable_selector_alias,benchmark_label_artifact_candidate,add executor-equivalence scoring before tuning another target_query wording profile
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_schema_field_hints,catalog schema fields,visual_selection_id_opaque_copy_with_filter,visual_referent_carryover,True,True,True,True,True,refine_selection,refine_selection,"[{""filter_query"": ""blocked"", ""selection_id"": ""sel-opaque-77""}]","[{""filter_query"": ""blocked"", ""selection_id"": ""sel-opaque-77""}]",hard-opaque-1202,hard-opaque-1202,exact,exact_contract_match,strict_protocol_success,preserve as control
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_schema_literal_targets,catalog schema target literals,visual_form_error_vs_message_author,visual_argument_copying,True,True,True,True,True,extract_layout,extract_layout,"[{""image_id"": ""img-hard-form-author"", ""target_query"": ""validation error""}]","[{""image_id"": ""img-hard-form-author"", ""target_query"": ""validation error""}]",hard-form-author-502,hard-form-author-502,exact,exact_contract_match,strict_protocol_success,preserve as control
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_schema_literal_targets,catalog schema target literals,visual_form_error_with_prior_selection_decoy,visual_tool_routing,False,False,False,False,False,extract_layout,refine_selection,"[{""image_id"": ""img-hard-form-decoy"", ""target_query"": ""validation error""}]","[{""filter_query"": ""validation error"", ""selection_id"": ""sel-stale""}]",hard-form-decoy-602,,wrong_tool,wrong_tool_executor_failure,true_harness_failure,treat as routing failure; check stale selection and allowed-tool priority
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_schema_literal_targets,catalog schema target literals,visual_latest_filter_existing_selection,visual_referent_carryover,True,True,True,True,True,refine_selection,refine_selection,"[{""filter_query"": ""latest"", ""selection_id"": ""sel-hard-errors""}]","[{""filter_query"": ""latest"", ""selection_id"": ""sel-hard-errors""}]",hard-form-priority-702,hard-form-priority-702,exact,exact_contract_match,strict_protocol_success,preserve as control
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_schema_literal_targets,catalog schema target literals,visual_remaining_filter_existing_selection,visual_referent_carryover,True,True,True,True,True,refine_selection,refine_selection,"[{""filter_query"": ""remaining"", ""selection_id"": ""sel-hard-remaining""}]","[{""filter_query"": ""remaining"", ""selection_id"": ""sel-hard-remaining""}]",hard-form-queue-802,hard-form-queue-802,exact,exact_contract_match,strict_protocol_success,preserve as control
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_schema_literal_targets,catalog schema target literals,visual_region_readback_after_layout_result,visual_region_readback,True,True,True,True,True,read_region_text,read_region_text,"[{""image_id"": ""img-hard-callout-readback"", ""region_id"": ""hard-callout-901""}]","[{""image_id"": ""img-hard-callout-readback"", ""region_id"": ""hard-callout-901""}]",hard-callout-901,hard-callout-901,exact,exact_contract_match,strict_protocol_success,preserve as control
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_schema_literal_targets,catalog schema target literals,visual_metric_panel_vs_table_selector,visual_argument_copying,False,True,True,True,False,extract_layout,extract_layout,"[{""image_id"": ""img-hard-metric-table"", ""target_query"": ""dashboard metric""}]","[{""image_id"": ""img-hard-metric-table"", ""target_query"": ""metric panel""}]",hard-metric-1001,hard-metric-1001,executable_paraphrase,executable_selector_alias,benchmark_label_artifact_candidate,add executor-equivalence scoring before tuning another target_query wording profile
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_schema_literal_targets,catalog schema target literals,visual_callout_warning_with_user_decoy,visual_argument_copying,False,True,True,True,False,extract_layout,extract_layout,"[{""image_id"": ""img-hard-callout-decoy"", ""target_query"": ""slide callout""}]","[{""image_id"": ""img-hard-callout-decoy"", ""target_query"": ""slide callout warning""}]",hard-callout-decoy-1102,hard-callout-decoy-1102,executable_paraphrase,executable_selector_alias,benchmark_label_artifact_candidate,add executor-equivalence scoring before tuning another target_query wording profile
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_schema_literal_targets,catalog schema target literals,visual_selection_id_opaque_copy_with_filter,visual_referent_carryover,True,True,True,True,True,refine_selection,refine_selection,"[{""filter_query"": ""blocked"", ""selection_id"": ""sel-opaque-77""}]","[{""filter_query"": ""blocked"", ""selection_id"": ""sel-opaque-77""}]",hard-opaque-1202,hard-opaque-1202,exact,exact_contract_match,strict_protocol_success,preserve as control
