profile_label,case_id,family,intervention_kind,from_tool,from_arguments,to_tool,to_arguments,prompt_state_label
h2j_target_query_normalization_no_stale_gate,h2k_mode_toggle_negated_consent_toggle_decoy,h2k_negated_same_component_decoy,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2k-mode-toggle"",""target_query"":""mode toggle Manual""}",extract_layout,"{""image_id"":""img-h2k-mode-toggle"",""target_query"":""mode toggle""}",mode toggle
h2j_target_query_normalization_no_stale_gate,h2k_result_badge_negated_result_tile_decoy,h2k_negated_same_component_decoy,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2k-result-badge"",""target_query"":""result badge Blocked""}",extract_layout,"{""image_id"":""img-h2k-result-badge"",""target_query"":""result badge""}",result badge
h2j_target_query_normalization_no_stale_gate,h2k_error_banner_archived_error_notice_decoy,h2k_transfer_regression_guard,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2k-error-banner"",""target_query"":""error notice""}",extract_layout,"{""image_id"":""img-h2k-error-banner"",""target_query"":""error banner""}",error banner
h2j_target_query_normalization_no_stale_gate,h2k_state_tag_before_reading_state_marker_decoy,h2k_before_reading_decoy,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2k-state-tag"",""target_query"":""state tag Closed""}",extract_layout,"{""image_id"":""img-h2k-state-tag"",""target_query"":""state tag""}",state tag
h2j_target_query_normalization_no_stale_gate,h2k_mode_field_before_reading_mode_switch_decoy,h2k_before_reading_decoy,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2k-mode-field"",""target_query"":""mode toggle""}",extract_layout,"{""image_id"":""img-h2k-mode-field"",""target_query"":""mode field""}",mode field
h2j_target_query_normalization,h2k_mode_toggle_negated_consent_toggle_decoy,h2k_negated_same_component_decoy,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2k-mode-toggle"",""target_query"":""mode toggle Manual""}",extract_layout,"{""image_id"":""img-h2k-mode-toggle"",""target_query"":""mode toggle""}",mode toggle
h2j_target_query_normalization,h2k_result_badge_negated_result_tile_decoy,h2k_negated_same_component_decoy,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2k-result-badge"",""target_query"":""result badge Blocked""}",extract_layout,"{""image_id"":""img-h2k-result-badge"",""target_query"":""result badge""}",result badge
h2j_target_query_normalization,h2k_error_banner_archived_error_notice_decoy,h2k_transfer_regression_guard,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2k-error-banner"",""target_query"":""error notice""}",extract_layout,"{""image_id"":""img-h2k-error-banner"",""target_query"":""error banner""}",error banner
h2j_target_query_normalization,h2k_state_tag_before_reading_state_marker_decoy,h2k_before_reading_decoy,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2k-state-tag"",""target_query"":""state tag Closed""}",extract_layout,"{""image_id"":""img-h2k-state-tag"",""target_query"":""state tag""}",state tag
h2j_target_query_normalization,h2k_mode_field_before_reading_mode_switch_decoy,h2k_before_reading_decoy,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2k-mode-field"",""target_query"":""mode toggle""}",extract_layout,"{""image_id"":""img-h2k-mode-field"",""target_query"":""mode field""}",mode field
