label,case_id,family,exact_match,executable_match,executor_target_match,expected_call_satisfies_execution,expected_call_classification,replay_classification,expected_calls,actual_calls,expected_execution,actual_execution
no_directive,transfer_error_banner_note_decoy,visual_argument_transfer,False,True,True,False,expected_call_returns_empty_region_selection,nonexact_executor_target_success,"[{""name"":""extract_layout"",""arguments"":{""image_id"":""img-transfer-error-banner"",""target_query"":""validation error""}}]","[{""name"":""extract_layout"",""arguments"":{""image_id"":""img-transfer-error-banner"",""target_query"":""error banner""}}]","{""region_ids"":[""transfer-banner-3202""]}","[{""selected_tool"":""extract_layout"",""arguments"":{""image_id"":""img-transfer-error-banner"",""target_query"":""error banner""},""validator_result"":""pass"",""region_ids"":[""transfer-banner-3202""],""region_id"":""transfer-banner-3202"",""error"":null}]"
no_directive,transfer_form_error_old_selection_chip_decoy,visual_tool_routing_transfer,False,False,False,True,expected_call_reaches_executor_target,executor_target_miss,"[{""name"":""extract_layout"",""arguments"":{""image_id"":""img-transfer-form-chip"",""target_query"":""validation error""}}]","[{""name"":""extract_layout"",""arguments"":{""image_id"":""img-transfer-form-chip"",""target_query"":""visible validation error""}}]","{""region_ids"":[""transfer-form-3402""]}","[{""selected_tool"":""extract_layout"",""arguments"":{""image_id"":""img-transfer-form-chip"",""target_query"":""visible validation error""},""validator_result"":""pass"",""region_ids"":[],""region_id"":"""",""error"":null}]"
no_directive,transfer_queue_badge_person_decoy,visual_argument_transfer,False,True,True,False,expected_call_invalid_empty_region_id,nonexact_executor_target_success,"[{""name"":""read_region_text"",""arguments"":{""image_id"":""img-transfer-queue-badge"",""region_id"":""""}}]","[{""name"":""extract_layout"",""arguments"":{""image_id"":""img-transfer-queue-badge"",""target_query"":""queue badge""}}]","{""region_ids"":[""transfer-queue-3302""]}","[{""selected_tool"":""extract_layout"",""arguments"":{""image_id"":""img-transfer-queue-badge"",""target_query"":""queue badge""},""validator_result"":""pass"",""region_ids"":[""transfer-queue-3302""],""region_id"":""transfer-queue-3302"",""error"":null}]"
no_directive,transfer_review_tile_notice_table_decoy,visual_argument_transfer,False,False,False,False,expected_call_returns_empty_region_selection,no_tool_call,"[{""name"":""extract_layout"",""arguments"":{""image_id"":""img-transfer-review-tile"",""target_query"":""invoice totals table""}}]",[],"{""region_ids"":[""transfer-tile-3001""]}",[]
no_directive,transfer_signature_warning_checkbox_decoy,visual_tool_routing_transfer,False,False,False,False,expected_call_invalid_empty_region_id,executor_target_miss,"[{""name"":""read_region_text"",""arguments"":{""image_id"":""img-transfer-signature-warning"",""region_id"":""""}}]","[{""name"":""extract_layout"",""arguments"":{""image_id"":""img-transfer-signature-warning"",""target_query"":""signature warning text""}}]","{""region_ids"":[""transfer-signature-3502""]}","[{""selected_tool"":""extract_layout"",""arguments"":{""image_id"":""img-transfer-signature-warning"",""target_query"":""signature warning text""},""validator_result"":""pass"",""region_ids"":[],""region_id"":"""",""error"":null}]"
no_directive,transfer_status_pill_chart_decoy,visual_argument_transfer,False,False,False,False,expected_call_invalid_empty_region_id,no_tool_call,"[{""name"":""read_region_text"",""arguments"":{""image_id"":""img-transfer-status-pill"",""region_id"":""""}}]",[],"{""region_ids"":[""transfer-pill-3101""]}",[]
contracted,transfer_error_banner_note_decoy,visual_argument_transfer,True,False,False,False,expected_call_returns_empty_region_selection,exact_against_nonoracle_expected_call,"[{""name"":""extract_layout"",""arguments"":{""image_id"":""img-transfer-error-banner"",""target_query"":""validation error""}}]","[{""name"":""extract_layout"",""arguments"":{""image_id"":""img-transfer-error-banner"",""target_query"":""validation error""}}]","{""region_ids"":[""transfer-banner-3202""]}","[{""selected_tool"":""extract_layout"",""arguments"":{""image_id"":""img-transfer-error-banner"",""target_query"":""validation error""},""validator_result"":""pass"",""region_ids"":[],""region_id"":"""",""error"":null}]"
contracted,transfer_form_error_old_selection_chip_decoy,visual_tool_routing_transfer,True,True,True,True,expected_call_reaches_executor_target,exact_and_executor_target_success,"[{""name"":""extract_layout"",""arguments"":{""image_id"":""img-transfer-form-chip"",""target_query"":""validation error""}}]","[{""name"":""extract_layout"",""arguments"":{""image_id"":""img-transfer-form-chip"",""target_query"":""validation error""}}]","{""region_ids"":[""transfer-form-3402""]}","[{""selected_tool"":""extract_layout"",""arguments"":{""image_id"":""img-transfer-form-chip"",""target_query"":""validation error""},""validator_result"":""pass"",""region_ids"":[""transfer-form-3402""],""region_id"":""transfer-form-3402"",""error"":null}]"
contracted,transfer_queue_badge_person_decoy,visual_argument_transfer,True,False,False,False,expected_call_invalid_empty_region_id,exact_against_nonoracle_expected_call,"[{""name"":""read_region_text"",""arguments"":{""image_id"":""img-transfer-queue-badge"",""region_id"":""""}}]","[{""name"":""read_region_text"",""arguments"":{""image_id"":""img-transfer-queue-badge"",""region_id"":""""}}]","{""region_ids"":[""transfer-queue-3302""]}","[{""selected_tool"":""read_region_text"",""arguments"":{""image_id"":""img-transfer-queue-badge"",""region_id"":""""},""validator_result"":""fail"",""region_ids"":[],""region_id"":"""",""error"":""'Region not found: '""}]"
contracted,transfer_review_tile_notice_table_decoy,visual_argument_transfer,True,False,False,False,expected_call_returns_empty_region_selection,exact_against_nonoracle_expected_call,"[{""name"":""extract_layout"",""arguments"":{""image_id"":""img-transfer-review-tile"",""target_query"":""invoice totals table""}}]","[{""name"":""extract_layout"",""arguments"":{""image_id"":""img-transfer-review-tile"",""target_query"":""invoice totals table""}}]","{""region_ids"":[""transfer-tile-3001""]}","[{""selected_tool"":""extract_layout"",""arguments"":{""image_id"":""img-transfer-review-tile"",""target_query"":""invoice totals table""},""validator_result"":""pass"",""region_ids"":[],""region_id"":"""",""error"":null}]"
contracted,transfer_signature_warning_checkbox_decoy,visual_tool_routing_transfer,True,False,False,False,expected_call_invalid_empty_region_id,exact_against_nonoracle_expected_call,"[{""name"":""read_region_text"",""arguments"":{""image_id"":""img-transfer-signature-warning"",""region_id"":""""}}]","[{""name"":""read_region_text"",""arguments"":{""image_id"":""img-transfer-signature-warning"",""region_id"":""""}}]","{""region_ids"":[""transfer-signature-3502""]}","[{""selected_tool"":""read_region_text"",""arguments"":{""image_id"":""img-transfer-signature-warning"",""region_id"":""""},""validator_result"":""fail"",""region_ids"":[],""region_id"":"""",""error"":""'Region not found: '""}]"
contracted,transfer_status_pill_chart_decoy,visual_argument_transfer,False,False,False,False,expected_call_invalid_empty_region_id,executor_target_miss,"[{""name"":""read_region_text"",""arguments"":{""image_id"":""img-transfer-status-pill"",""region_id"":""""}}]","[{""name"":""extract_layout"",""arguments"":{""image_id"":""img-transfer-status-pill"",""target_query"":""small status pill that marks the customer as blocked""}}]","{""region_ids"":[""transfer-pill-3101""]}","[{""selected_tool"":""extract_layout"",""arguments"":{""image_id"":""img-transfer-status-pill"",""target_query"":""small status pill that marks the customer as blocked""},""validator_result"":""pass"",""region_ids"":[],""region_id"":"""",""error"":null}]"
role_catalog_v1,transfer_error_banner_note_decoy,visual_argument_transfer,False,True,True,False,expected_call_returns_empty_region_selection,nonexact_executor_target_success,"[{""name"":""extract_layout"",""arguments"":{""image_id"":""img-transfer-error-banner"",""target_query"":""validation error""}}]","[{""name"":""extract_layout"",""arguments"":{""image_id"":""img-transfer-error-banner"",""target_query"":""error banner""}}]","{""region_ids"":[""transfer-banner-3202""]}","[{""selected_tool"":""extract_layout"",""arguments"":{""image_id"":""img-transfer-error-banner"",""target_query"":""error banner""},""validator_result"":""pass"",""region_ids"":[""transfer-banner-3202""],""region_id"":""transfer-banner-3202"",""error"":null}]"
role_catalog_v1,transfer_form_error_old_selection_chip_decoy,visual_tool_routing_transfer,True,True,True,True,expected_call_reaches_executor_target,exact_and_executor_target_success,"[{""name"":""extract_layout"",""arguments"":{""image_id"":""img-transfer-form-chip"",""target_query"":""validation error""}}]","[{""name"":""extract_layout"",""arguments"":{""image_id"":""img-transfer-form-chip"",""target_query"":""validation error""}}]","{""region_ids"":[""transfer-form-3402""]}","[{""selected_tool"":""extract_layout"",""arguments"":{""image_id"":""img-transfer-form-chip"",""target_query"":""validation error""},""validator_result"":""pass"",""region_ids"":[""transfer-form-3402""],""region_id"":""transfer-form-3402"",""error"":null}]"
role_catalog_v1,transfer_queue_badge_person_decoy,visual_argument_transfer,False,True,True,False,expected_call_invalid_empty_region_id,nonexact_executor_target_success,"[{""name"":""read_region_text"",""arguments"":{""image_id"":""img-transfer-queue-badge"",""region_id"":""""}}]","[{""name"":""extract_layout"",""arguments"":{""image_id"":""img-transfer-queue-badge"",""target_query"":""queue badge""}}]","{""region_ids"":[""transfer-queue-3302""]}","[{""selected_tool"":""extract_layout"",""arguments"":{""image_id"":""img-transfer-queue-badge"",""target_query"":""queue badge""},""validator_result"":""pass"",""region_ids"":[""transfer-queue-3302""],""region_id"":""transfer-queue-3302"",""error"":null}]"
