profile_label,slice,case_id,family,intervention_kind,from_tool,from_arguments,to_tool,to_arguments,preserved_target_query,blocked_label,prompt_state_label,reason
h2t_h2w_semantic_target_preservation,h2t,h2t_result_drawer_low_score_badge_decoy,h2t_low_score_surface_request,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2t-result-drawer-blocked"",""target_query"":""result badge c08""}",extract_layout,"{""image_id"":""img-h2t-result-drawer-blocked"",""target_query"":""result drawer""}",,result drawer,result drawer,
h2t_h2w_semantic_target_preservation,h2t,h2t_risk_lane_high_chip_decoy,h2t_low_score_surface_request,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2t-risk-lane-high"",""target_query"":""risk lane High""}",extract_layout,"{""image_id"":""img-h2t-risk-lane-high"",""target_query"":""risk lane""}",,risk lane,risk lane,
h2t_h2w_semantic_target_preservation,h2t,h2t_stage_column_review_tag_decoy,h2t_low_score_surface_request,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2t-stage-column-review"",""target_query"":""stage column Review""}",extract_layout,"{""image_id"":""img-h2t-stage-column-review"",""target_query"":""stage column""}",,stage column,stage column,
h2t_h2w_semantic_target_preservation,h2t,h2t_metric_panel_negation_scope_note,h2t_negation_scope_guard,visual_semantic_target_preservation,extract_layout,"{""image_id"":""img-h2t-metric-panel-negation-scope"",""target_query"":""metric panel""}",extract_layout,"{""image_id"":""img-h2t-metric-panel-negation-scope"",""target_query"":""metric panel""}",metric panel,training note,metric panel,semantic_label_preserved_over_stale_context
h2t_h2w_semantic_target_preservation,h2t,h2t_metric_panel_negation_scope_note,h2t_negation_scope_guard,visual_composed_route_gating_blocked,extract_layout,"{""image_id"":""img-h2t-metric-panel-negation-scope"",""target_query"":""metric panel""}",,{},metric panel,training note,,negation_scope_exact_layout_label
h2t_h2w_semantic_target_preservation,h2t,h2t_summary_tile_negation_scope_caption,h2t_negation_scope_guard,visual_semantic_target_preservation,extract_layout,"{""image_id"":""img-h2t-summary-tile-negation-scope"",""target_query"":""summary tile""}",extract_layout,"{""image_id"":""img-h2t-summary-tile-negation-scope"",""target_query"":""summary tile""}",summary tile,caption,summary tile,semantic_label_preserved_over_stale_context
h2t_h2w_semantic_target_preservation,h2t,h2t_summary_tile_negation_scope_caption,h2t_negation_scope_guard,visual_composed_route_gating_blocked,extract_layout,"{""image_id"":""img-h2t-summary-tile-negation-scope"",""target_query"":""summary tile""}",,{},summary tile,caption,,negation_scope_exact_layout_label
h2t_h2w_semantic_target_preservation,h2t,h2t_escalated_value_not_badge_component,h2t_value_is_target_guard,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2t-escalated-value"",""target_query"":""Escalated value""}",extract_layout,"{""image_id"":""img-h2t-escalated-value"",""target_query"":""Escalated value cell""}",,Escalated value cell,Escalated value cell,
h2s_h2w_semantic_target_preservation,h2s,h2s_review_tile_waiting_chip_note_decoys,h2s_surface_alias_same_value_decoy,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2s-review-tile-waiting"",""target_query"":""Waiting review chip""}",extract_layout,"{""image_id"":""img-h2s-review-tile-waiting"",""target_query"":""review note""}",,review note,review note,
h2s_h2w_semantic_target_preservation,h2s,h2s_review_tile_waiting_chip_note_decoys,h2s_surface_alias_same_value_decoy,visual_composed_route_gating,extract_layout,"{""image_id"":""img-h2s-review-tile-waiting"",""target_query"":""review note""}",extract_layout,"{""image_id"":""img-h2s-review-tile-waiting"",""target_query"":""review tile""}",,,,requested_surface_over_deprioritized_decoy
h2s_h2w_semantic_target_preservation,h2s,h2s_signal_panel_green_tag_marker_decoys,h2s_surface_alias_same_value_decoy,visual_composed_route_gating,extract_layout,"{""image_id"":""img-h2s-signal-panel-green"",""target_query"":""Green signal tag""}",extract_layout,"{""image_id"":""img-h2s-signal-panel-green"",""target_query"":""signal panel""}",,,,requested_surface_over_deprioritized_decoy
h2s_h2w_semantic_target_preservation,h2s,h2s_severity_pill_critical_archived_badge_decoy,h2s_value_bearing_stale_decoy,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2s-severity-pill-critical"",""target_query"":""Critical severity pill""}",extract_layout,"{""image_id"":""img-h2s-severity-pill-critical"",""target_query"":""severity pill Critical""}",,severity pill Critical,severity pill Critical,
h2s_h2w_semantic_target_preservation,h2s,h2s_reviewer_field_malik_old_owner_decoy,h2s_value_bearing_stale_decoy,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2s-reviewer-field-malik"",""target_query"":""Malik reviewer field""}",extract_layout,"{""image_id"":""img-h2s-reviewer-field-malik"",""target_query"":""reviewer field Malik""}",,reviewer field Malik,reviewer field Malik,
h2s_h2w_semantic_target_preservation,h2s,h2s_timeout_exception_notice_banner_log_decoys,h2s_contextual_alias_decoy_overlap,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2s-timeout-exception-notice"",""target_query"":""archived runbook card""}",extract_layout,"{""image_id"":""img-h2s-timeout-exception-notice"",""target_query"":""timeout banner""}",,timeout banner,timeout banner,
h2s_h2w_semantic_target_preservation,h2s,h2s_timeout_exception_notice_banner_log_decoys,h2s_contextual_alias_decoy_overlap,visual_composed_route_gating,extract_layout,"{""image_id"":""img-h2s-timeout-exception-notice"",""target_query"":""timeout banner""}",extract_layout,"{""image_id"":""img-h2s-timeout-exception-notice"",""target_query"":""timeout exception notice""}",,,,requested_surface_over_deprioritized_decoy
h2s_h2w_semantic_target_preservation,h2s,h2s_delivery_field_paused_toggle_switch_decoys,h2s_contextual_alias_decoy_overlap,visual_semantic_target_preservation,extract_layout,"{""image_id"":""img-h2s-delivery-field-paused"",""target_query"":""delivery field""}",extract_layout,"{""image_id"":""img-h2s-delivery-field-paused"",""target_query"":""delivery field""}",delivery field,paused toggle,delivery field,semantic_label_preserved_over_stale_context
h2s_h2w_semantic_target_preservation,h2s,h2s_result_panel_waiting_stale_selection_hint,h2s_stale_surface_alias,visual_composed_route_gating,refine_selection,"{""filter_query"":""Waiting"",""selection_id"":""sel-archive-result-chip""}",extract_layout,"{""image_id"":""img-h2s-result-panel-stale-selection"",""target_query"":""result panel""}",,,,stale_selection_to_requested_surface
h2s_h2w_semantic_target_preservation,h2s,h2s_status_tile_ready_stale_selection_hint,h2s_stale_surface_alias,visual_composed_route_gating,refine_selection,"{""filter_query"":""Ready"",""selection_id"":""sel-old-status-tag""}",extract_layout,"{""image_id"":""img-h2s-status-tile-stale-selection"",""target_query"":""status tile""}",,,,stale_selection_to_requested_surface
h2s_h2w_semantic_target_preservation,h2s,h2s_approval_panel_pending_negated_badge_note,h2s_negated_decoy_guard,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2s-approval-panel-pending"",""target_query"":""panel Pending""}",extract_layout,"{""image_id"":""img-h2s-approval-panel-pending"",""target_query"":""approval note""}",,approval note,approval note,
h2s_h2w_semantic_target_preservation,h2s,h2s_approval_panel_pending_negated_badge_note,h2s_negated_decoy_guard,visual_composed_route_gating,extract_layout,"{""image_id"":""img-h2s-approval-panel-pending"",""target_query"":""approval note""}",extract_layout,"{""image_id"":""img-h2s-approval-panel-pending"",""target_query"":""approval panel""}",,,,requested_surface_over_deprioritized_decoy
h2q_h2w_semantic_target_preservation,h2q,h2q_result_tile_blocked_value_badge_decoy,h2q_surface_alias_value_decoy,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2q-result-tile-blocked"",""target_query"":""Blocked badge""}",extract_layout,"{""image_id"":""img-h2q-result-tile-blocked"",""target_query"":""result comment""}",,result comment,result comment,
h2q_h2w_semantic_target_preservation,h2q,h2q_result_tile_blocked_value_badge_decoy,h2q_surface_alias_value_decoy,visual_composed_route_gating,extract_layout,"{""image_id"":""img-h2q-result-tile-blocked"",""target_query"":""result comment""}",extract_layout,"{""image_id"":""img-h2q-result-tile-blocked"",""target_query"":""result tile""}",,,,requested_surface_over_deprioritized_decoy
h2q_h2w_semantic_target_preservation,h2q,h2q_state_panel_closed_value_tag_decoy,h2q_surface_alias_value_decoy,visual_contextual_surface_alias_routing,extract_layout,"{""image_id"":""img-h2q-state-panel-closed"",""target_query"":""Closed""}",extract_layout,"{""image_id"":""img-h2q-state-panel-closed"",""target_query"":""state panel""}",,,,contextual_surface_alias_recoverable
h2q_h2w_semantic_target_preservation,h2q,h2q_priority_badge_critical_stale_status_decoy,h2q_value_bearing_stale_decoy,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2q-priority-badge-critical"",""target_query"":""Critical priority badge""}",extract_layout,"{""image_id"":""img-h2q-priority-badge-critical"",""target_query"":""priority badge Critical""}",,priority badge Critical,priority badge Critical,
h2q_h2w_semantic_target_preservation,h2q,h2q_owner_field_amina_archived_owner_decoy,h2q_value_bearing_stale_decoy,visual_semantic_target_preservation,extract_layout,"{""image_id"":""img-h2q-owner-field-amina"",""target_query"":""owner field Amina""}",extract_layout,"{""image_id"":""img-h2q-owner-field-amina"",""target_query"":""owner field Amina""}",owner field Amina,owner field,owner field Amina,semantic_label_preserved_over_stale_context
h2q_h2w_semantic_target_preservation,h2q,h2q_owner_field_amina_archived_owner_decoy,h2q_value_bearing_stale_decoy,visual_stale_selection_gate,refine_selection,"{""filter_query"":""latest"",""selection_id"":""amina""}",extract_layout,"{""image_id"":""img-h2q-owner-field-amina"",""target_query"":""owner field Amina""}",,,,
h2q_h2w_semantic_target_preservation,h2q,h2q_archive_panel_error_notice_banner_decoy,h2q_contextual_alias_decoy_overlap,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2q-error-notice"",""target_query"":""archived exception panel""}",extract_layout,"{""image_id"":""img-h2q-error-notice"",""target_query"":""error banner""}",,error banner,error banner,
h2q_h2w_semantic_target_preservation,h2q,h2q_archive_panel_error_notice_banner_decoy,h2q_contextual_alias_decoy_overlap,visual_composed_route_gating,extract_layout,"{""image_id"":""img-h2q-error-notice"",""target_query"":""error banner""}",extract_layout,"{""image_id"":""img-h2q-error-notice"",""target_query"":""error notice""}",,,,requested_surface_over_deprioritized_decoy
h2q_h2w_semantic_target_preservation,h2q,h2q_mode_field_manual_switch_decoy,h2q_contextual_alias_decoy_overlap,visual_semantic_target_preservation,extract_layout,"{""image_id"":""img-h2q-mode-field"",""target_query"":""mode field""}",extract_layout,"{""image_id"":""img-h2q-mode-field"",""target_query"":""mode field""}",mode field,mode switch,mode field,semantic_label_preserved_over_stale_context
h2q_h2w_semantic_target_preservation,h2q,h2q_result_tile_stale_selection_hint,h2q_stale_surface_alias,visual_composed_route_gating,refine_selection,"{""filter_query"":""Blocked"",""selection_id"":""sel-archived-result-badge""}",extract_layout,"{""image_id"":""img-h2q-result-tile-stale-selection"",""target_query"":""result tile""}",,,,stale_selection_to_requested_surface
h2q_h2w_semantic_target_preservation,h2q,h2q_state_panel_stale_selection_hint,h2q_stale_surface_alias,visual_composed_route_gating,refine_selection,"{""filter_query"":""Closed"",""selection_id"":""sel-archived-state-tag""}",extract_layout,"{""image_id"":""img-h2q-state-panel-stale-selection"",""target_query"":""state panel""}",,,,stale_selection_to_requested_surface
h2m_h2w_semantic_target_preservation,h2m,h2m_result_badge_blocked_contextual_value,h2m_less_direct_value_bearing_target,visual_value_bearing_target_query_synthesis,extract_layout,"{""image_id"":""img-h2m-result-badge-blocked"",""target_query"":""result chip""}",extract_layout,"{""image_id"":""img-h2m-result-badge-blocked"",""target_query"":""result badge Blocked""}",,result badge,result badge,value_bearing_label_recoverable
h2m_h2w_semantic_target_preservation,h2m,h2m_state_tag_closed_contextual_value,h2m_less_direct_value_bearing_target,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2m-state-tag-closed"",""target_query"":""Closed state tag""}",extract_layout,"{""image_id"":""img-h2m-state-tag-closed"",""target_query"":""state tag Closed""}",,state tag Closed,state tag Closed,
h2m_h2w_semantic_target_preservation,h2m,h2m_mode_toggle_manual_contextual_value,h2m_less_direct_value_bearing_target,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2m-mode-toggle-manual"",""target_query"":""mode toggle""}",extract_layout,"{""image_id"":""img-h2m-mode-toggle-manual"",""target_query"":""mode toggle Manual""}",,mode toggle Manual,mode toggle Manual,
h2m_h2w_semantic_target_preservation,h2m,h2m_priority_badge_critical_contextual_value,h2m_less_direct_value_bearing_target,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2m-priority-badge-critical"",""target_query"":""priority badge critical""}",extract_layout,"{""image_id"":""img-h2m-priority-badge-critical"",""target_query"":""priority badge Critical""}",,priority badge Critical,priority badge Critical,
h2m_h2w_semantic_target_preservation,h2m,h2m_error_notice_contextual_alias,h2m_contextual_alias_is_target,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2m-error-notice"",""target_query"":""archive panel""}",extract_layout,"{""image_id"":""img-h2m-error-notice"",""target_query"":""error notice""}",,error notice,error notice,
h2m_h2w_semantic_target_preservation,h2m,h2m_result_tile_contextual_alias,h2m_contextual_alias_is_target,visual_contextual_surface_alias_routing,extract_layout,"{""image_id"":""img-h2m-result-tile"",""target_query"":""Blocked""}",extract_layout,"{""image_id"":""img-h2m-result-tile"",""target_query"":""result tile""}",,,,contextual_surface_alias_recoverable
h2m_h2w_semantic_target_preservation,h2m,h2m_mode_field_contextual_regression_guard,h2m_h2k_regression_guard_less_direct,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2m-mode-field-short"",""target_query"":""mode switch""}",extract_layout,"{""image_id"":""img-h2m-mode-field-short"",""target_query"":""mode field""}",,mode field,mode field,
h2k_h2w_semantic_target_preservation,h2k,h2k_mode_toggle_negated_consent_toggle_decoy,h2k_negated_same_component_decoy,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2k-mode-toggle"",""target_query"":""mode toggle Manual""}",extract_layout,"{""image_id"":""img-h2k-mode-toggle"",""target_query"":""mode toggle""}",,mode toggle,mode toggle,
