profile_label,case_id,family,failure_mode,executor_equivalence_match,expected_tool,expected_target_query,actual_tool,actual_target_query
h2v_h2j_target_query_normalization,h2v_metric_panel_quoted_not_label_note,h2v_quoted_negation_context,argument_mismatch,False,extract_layout,metric panel,extract_layout,audit note
h2v_h2j_target_query_normalization,h2v_summary_tile_quoted_not_label_caption,h2v_quoted_negation_context,no_tool_call,False,extract_layout,summary tile,,
h2v_h2j_target_query_normalization,h2v_review_tile_stale_caption_old_not_tile,h2v_stale_example_negation_context,argument_mismatch,False,extract_layout,review tile,extract_layout,stale caption
h2v_h2j_target_query_normalization,h2v_risk_lane_stale_example_not_lane,h2v_stale_example_negation_context,argument_mismatch,False,extract_layout,risk lane,extract_layout,example note
h2v_h2j_target_query_normalization,h2v_not_ready_badge_genuine_value,h2v_genuine_negated_target,argument_mismatch,False,extract_layout,status badge Not ready,extract_layout,Not ready
h2v_h2j_target_query_normalization,h2v_not_applicable_chip_genuine_value,h2v_genuine_negated_target,argument_mismatch,False,extract_layout,reason chip Not applicable,extract_layout,Not applicable
h2v_h2j_target_query_normalization,h2v_not_approved_toggle_genuine_value,h2v_genuine_negated_target,executable_paraphrase,True,extract_layout,approval toggle Not approved,extract_layout,Not approved toggle
h2v_h2r_composed_route_gating,h2v_metric_panel_quoted_not_label_note,h2v_quoted_negation_context,argument_mismatch,False,extract_layout,metric panel,extract_layout,audit note
h2v_h2r_composed_route_gating,h2v_summary_tile_quoted_not_label_caption,h2v_quoted_negation_context,no_tool_call,False,extract_layout,summary tile,,
h2v_h2r_composed_route_gating,h2v_review_tile_stale_caption_old_not_tile,h2v_stale_example_negation_context,argument_mismatch,False,extract_layout,review tile,extract_layout,stale caption
h2v_h2r_composed_route_gating,h2v_risk_lane_stale_example_not_lane,h2v_stale_example_negation_context,argument_mismatch,False,extract_layout,risk lane,extract_layout,example note
h2v_h2r_composed_route_gating,h2v_not_ready_badge_genuine_value,h2v_genuine_negated_target,argument_mismatch,False,extract_layout,status badge Not ready,extract_layout,Not ready
h2v_h2r_composed_route_gating,h2v_not_applicable_chip_genuine_value,h2v_genuine_negated_target,argument_mismatch,False,extract_layout,reason chip Not applicable,extract_layout,Not applicable
h2v_h2r_composed_route_gating,h2v_not_approved_toggle_genuine_value,h2v_genuine_negated_target,executable_paraphrase,True,extract_layout,approval toggle Not approved,extract_layout,Not approved toggle
h2v_h2u_negation_guard,h2v_summary_tile_quoted_not_label_caption,h2v_quoted_negation_context,no_tool_call,False,extract_layout,summary tile,,
h2v_h2u_negation_guard,h2v_review_tile_stale_caption_old_not_tile,h2v_stale_example_negation_context,argument_mismatch,False,extract_layout,review tile,extract_layout,stale caption
h2v_h2u_negation_guard,h2v_risk_lane_stale_example_not_lane,h2v_stale_example_negation_context,argument_mismatch,False,extract_layout,risk lane,extract_layout,example note
h2v_h2u_negation_guard,h2v_not_ready_badge_genuine_value,h2v_genuine_negated_target,argument_mismatch,False,extract_layout,status badge Not ready,extract_layout,Not ready
h2v_h2u_negation_guard,h2v_not_applicable_chip_genuine_value,h2v_genuine_negated_target,argument_mismatch,False,extract_layout,reason chip Not applicable,extract_layout,Not applicable
h2v_h2u_negation_guard,h2v_not_approved_toggle_genuine_value,h2v_genuine_negated_target,executable_paraphrase,True,extract_layout,approval toggle Not approved,extract_layout,Not approved toggle
