profile_label,case_id,family,intervention_kind,from_tool,from_arguments,to_tool,to_arguments,preserved_target_query,requested_label,requested_region_id,prompt_state_label,blocked_label,reason
h2y_h2u_negation_guard,h2y_action_banner_quoted_not_banner_note,h2y_quoted_stale_negation_context,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2y-action-banner-quote"",""target_query"":""action banner""}",extract_layout,"{""image_id"":""img-h2y-action-banner-quote"",""target_query"":""prior note""}",,,,prior note,,
h2y_h2u_negation_guard,h2y_resolution_marker_old_quote_not_marker,h2y_quoted_stale_negation_context,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2y-resolution-marker-quote"",""target_query"":""resolution marker""}",extract_layout,"{""image_id"":""img-h2y-resolution-marker-quote"",""target_query"":""audit memo""}",,,,audit memo,,
h2y_h2u_negation_guard,h2y_vendor_chip_do_not_use_table,h2y_instructional_negation_context,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2y-vendor-chip-table"",""target_query"":""vendor chip Beta""}",extract_layout,"{""image_id"":""img-h2y-vendor-chip-table"",""target_query"":""vendor chip""}",,,,vendor chip,,
h2y_h2u_no_controller_fallback,h2y_action_banner_quoted_not_banner_note,h2y_quoted_stale_negation_context,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2y-action-banner-quote"",""target_query"":""action banner""}",extract_layout,"{""image_id"":""img-h2y-action-banner-quote"",""target_query"":""prior note""}",,,,prior note,,
h2y_h2u_no_controller_fallback,h2y_resolution_marker_old_quote_not_marker,h2y_quoted_stale_negation_context,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2y-resolution-marker-quote"",""target_query"":""resolution marker""}",extract_layout,"{""image_id"":""img-h2y-resolution-marker-quote"",""target_query"":""audit memo""}",,,,audit memo,,
h2y_h2u_no_controller_fallback,h2y_vendor_chip_do_not_use_table,h2y_instructional_negation_context,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2y-vendor-chip-table"",""target_query"":""vendor chip Beta""}",extract_layout,"{""image_id"":""img-h2y-vendor-chip-table"",""target_query"":""vendor chip""}",,,,vendor chip,,
h2y_h2w_semantic_target_preservation,h2y_action_banner_quoted_not_banner_note,h2y_quoted_stale_negation_context,visual_semantic_target_preservation,extract_layout,"{""image_id"":""img-h2y-action-banner-quote"",""target_query"":""action banner""}",extract_layout,"{""image_id"":""img-h2y-action-banner-quote"",""target_query"":""action banner""}",action banner,,,action banner,prior note,semantic_label_preserved_over_stale_context
h2y_h2w_semantic_target_preservation,h2y_resolution_marker_old_quote_not_marker,h2y_quoted_stale_negation_context,visual_semantic_target_preservation,extract_layout,"{""image_id"":""img-h2y-resolution-marker-quote"",""target_query"":""resolution marker""}",extract_layout,"{""image_id"":""img-h2y-resolution-marker-quote"",""target_query"":""resolution marker""}",resolution marker,,,resolution marker,audit memo,semantic_label_preserved_over_stale_context
h2y_h2w_semantic_target_preservation,h2y_vendor_chip_do_not_use_table,h2y_instructional_negation_context,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2y-vendor-chip-table"",""target_query"":""vendor chip Beta""}",extract_layout,"{""image_id"":""img-h2y-vendor-chip-table"",""target_query"":""vendor chip""}",,,,vendor chip,,
h2y_h2w_semantic_target_preservation,h2y_not_replied_status_pill_value_before_component,h2y_genuine_negated_target_value,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2y-not-replied-status-pill"",""target_query"":""not replied""}",extract_layout,"{""image_id"":""img-h2y-not-replied-status-pill"",""target_query"":""status pill not replied""}",,,,status pill not replied,,
