wave,tool_prompt_contract_id,tool_catalog_profile_id,exact_match_rate,executable_match_rate,delta_exact_vs_no_directive,probe_gate,recommendation,promotion_decision,promotion_reason,next_use
v1,schema_anchor_v1,,0.125,0.0,0.125,probe_improved_vs_no_directive,weak_exact_gain,hold_for_exact_probe_replay,probe gain is too weak for H1 promotion without a stricter replay discriminator,test through exact-probe live replay before any H1 spend
v1,literal_argument_guard_v1,,0.0,1.0,0.0,probe_improved_vs_no_directive,visual_executable_gain_only,hold_for_exact_probe_replay,"executable recovery exists, but exact JSON/tool-call fidelity did not improve","use in visual replay only, not as a general H1 candidate"
v1,tool_required_parallel_v1,,0.0,1.0,0.0,probe_improved_vs_no_directive,visual_executable_gain_only,hold_for_exact_probe_replay,"executable recovery exists, but exact JSON/tool-call fidelity did not improve","use in visual replay only, not as a general H1 candidate"
v2,schema_literal_tool_required_v2,,0.125,0.0,0.125,probe_improved_vs_no_directive,weak_exact_gain,hold_for_exact_probe_replay,probe gain is too weak for H1 promotion without a stricter replay discriminator,test through exact-probe live replay before any H1 spend
v2,visual_next_call_state_v2,,0.0,1.0,0.0,probe_improved_vs_no_directive,visual_executable_gain_only,hold_for_exact_probe_replay,"executable recovery exists, but exact JSON/tool-call fidelity did not improve","use in visual replay only, not as a general H1 candidate"
v2,parallel_array_required_v2,,0.0,0.0,0.0,no_probe_improvement_vs_no_directive,no_probe_gain,reject_for_h1_promotion,no exact or executable probe gain over the no-directive baseline,replace with a sharper contract or a faithful live parallel workflow
v3,canonical_json_copy_v3,,0.125,0.0,0.125,probe_improved_vs_no_directive,weak_exact_gain,hold_for_exact_probe_replay,probe gain is too weak for H1 promotion without a stricter replay discriminator,test through exact-probe live replay before any H1 spend
v3,visual_tool_initiation_v3,,0.125,1.0,0.125,probe_improved_vs_no_directive,weak_exact_gain,hold_for_exact_probe_replay,probe gain is too weak for H1 promotion without a stricter replay discriminator,test through exact-probe live replay before any H1 spend
v3,parallel_two_call_array_v3,,0.0,0.0,0.0,no_probe_improvement_vs_no_directive,no_probe_gain,reject_for_h1_promotion,no exact or executable probe gain over the no-directive baseline,replace with a sharper contract or a faithful live parallel workflow
v4,visual_state_tool_selection_v4,,0.125,0.0,0.125,probe_improved_vs_no_directive,weak_exact_gain,hold_for_exact_probe_replay,probe gain is too weak for H1 promotion without a stricter replay discriminator,test through exact-probe live replay before any H1 spend
v5,visual_refine_selection_v5,,0.0,0.0,0.0,no_probe_improvement_vs_no_directive,no_probe_gain,reject_for_h1_promotion,no exact or executable probe gain over the no-directive baseline,replace with a sharper contract or a faithful live parallel workflow
v6,literal_argument_guard_v1,visual_role_catalog_v1,0.125,0.0,0.125,probe_improved_vs_no_directive,weak_exact_gain,hold_for_exact_probe_replay,probe gain is too weak for H1 promotion without a stricter replay discriminator,test through exact-probe live replay before any H1 spend
