run_id,episode_id,role_family,lane,workspace_id,benchmark_tags,artifact_quality_score,browser_workflow_score,strict_interface_score,recovered_execution_score,revision_responsiveness,memory_retention_score,escalation_correctness,collateral_damage_free,human_time_ratio,role_readiness_score
20260411T143059393528Z_episode_kwa_exec_board_prep_pack,kwa_exec_board_prep_pack,executive_assistant,replayable_core,exec-board-prep,"knowledge_work_arena,replayable_core,executive_assistant",0.9444,0.9683,1.0,1.0,0.9375,1.0,1.0,1.0,0.16,0.9794
20260411T143106069793Z_episode_kwa_exec_travel_conflict_resolution,kwa_exec_travel_conflict_resolution,executive_assistant,replayable_core,exec-travel-conflict,"knowledge_work_arena,replayable_core,executive_assistant",1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.16,0.9769
20260411T143120091404Z_episode_kwa_exec_inbox_triage,kwa_exec_inbox_triage,executive_assistant,replayable_core,exec-inbox-triage,"knowledge_work_arena,replayable_core,executive_assistant",1.0,0.9608,1.0,1.0,0.75,1.0,1.0,1.0,0.16,0.9725
20260411T143127484850Z_episode_kwa_exec_visual_dashboard_revision_hold_v2,kwa_exec_visual_dashboard_revision_hold_v2,executive_assistant,replayable_core,exec-visual-dashboard-revision-hold-v2,"knowledge_work_arena,replayable_core,executive_assistant,visual_ui_ops,visual_kwa,revision_pressure",0.875,0.9773,1.0,1.0,0.9375,1.0,1.0,1.0,0.16,0.9662
20260411T143154554439Z_episode_kwa_exec_visual_dashboard_referent_hold_v3,kwa_exec_visual_dashboard_referent_hold_v3,executive_assistant,replayable_core,exec-visual-dashboard-referent-hold-v3,"knowledge_work_arena,replayable_core,executive_assistant,visual_ui_ops,visual_kwa,revision_pressure,latest_filter",0.8421,0.9773,0.625,0.5,0.7292,0.6667,1.0,1.0,0.16,0.7697
20260411T143232664123Z_episode_kwa_jobs_tailored_packet,kwa_jobs_tailored_packet,job_application_ops,replayable_core,jobs-tailored-packet,"knowledge_work_arena,replayable_core,job_application_ops",1.0,0.9718,1.0,1.0,0.8125,1.0,1.0,1.0,0.16,0.9795
20260411T143235055528Z_episode_kwa_jobs_browser_form_fill,kwa_jobs_browser_form_fill,job_application_ops,replayable_core,jobs-browser-form,"knowledge_work_arena,replayable_core,job_application_ops",1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.16,0.9769
20260411T143252914643Z_episode_kwa_jobs_revise_after_feedback,kwa_jobs_revise_after_feedback,job_application_ops,replayable_core,jobs-revise-feedback,"knowledge_work_arena,replayable_core,job_application_ops",1.0,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,0.16,0.9942
20260411T143307627684Z_episode_kwa_jobs_visual_constraint_override_hold_v2,kwa_jobs_visual_constraint_override_hold_v2,job_application_ops,replayable_core,jobs-visual-constraint-override-hold-v2,"knowledge_work_arena,replayable_core,job_application_ops,visual_ui_ops,visual_kwa,latest_constraint",0.9,0.9773,0.6875,0.5,0.8125,1.0,1.0,0.5,0.16,0.778
20260411T143332935209Z_episode_kwa_jobs_visual_latest_issue_hold_v3,kwa_jobs_visual_latest_issue_hold_v3,job_application_ops,replayable_core,jobs-visual-latest-issue-hold-v3,"knowledge_work_arena,replayable_core,job_application_ops,visual_ui_ops,visual_kwa,referent_carryover",0.9,0.9773,0.625,0.5,0.8125,1.0,1.0,1.0,0.16,0.8139
20260411T143405338670Z_episode_kwa_finance_three_statement_model,kwa_finance_three_statement_model,finance,replayable_core,finance-three-statement,"knowledge_work_arena,replayable_core,finance",1.0,1.0,1.0,1.0,0.8125,1.0,1.0,1.0,0.0889,0.9826
