profile_label,case_id,family,intervention_kind,from_tool,from_arguments,to_tool,to_arguments,preserved_target_query,requested_label,requested_region_id,prompt_state_label,blocked_label,reason
h2t_h2w_semantic_target_preservation,h2t_result_drawer_low_score_badge_decoy,h2t_low_score_surface_request,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2t-result-drawer-blocked"",""target_query"":""result badge c08""}",extract_layout,"{""image_id"":""img-h2t-result-drawer-blocked"",""target_query"":""result drawer""}",,,,result drawer,,
h2t_h2w_semantic_target_preservation,h2t_risk_lane_high_chip_decoy,h2t_low_score_surface_request,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2t-risk-lane-high"",""target_query"":""risk lane High""}",extract_layout,"{""image_id"":""img-h2t-risk-lane-high"",""target_query"":""risk lane""}",,,,risk lane,,
h2t_h2w_semantic_target_preservation,h2t_stage_column_review_tag_decoy,h2t_low_score_surface_request,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2t-stage-column-review"",""target_query"":""stage column Review""}",extract_layout,"{""image_id"":""img-h2t-stage-column-review"",""target_query"":""stage column""}",,,,stage column,,
h2t_h2w_semantic_target_preservation,h2t_metric_panel_negation_scope_note,h2t_negation_scope_guard,visual_semantic_target_preservation,extract_layout,"{""image_id"":""img-h2t-metric-panel-negation-scope"",""target_query"":""metric panel""}",extract_layout,"{""image_id"":""img-h2t-metric-panel-negation-scope"",""target_query"":""metric panel""}",metric panel,,,metric panel,training note,semantic_label_preserved_over_stale_context
h2t_h2w_semantic_target_preservation,h2t_metric_panel_negation_scope_note,h2t_negation_scope_guard,visual_composed_route_gating_blocked,extract_layout,"{""image_id"":""img-h2t-metric-panel-negation-scope"",""target_query"":""metric panel""}",,{},metric panel,,,,training note,negation_scope_exact_layout_label
h2t_h2w_semantic_target_preservation,h2t_summary_tile_negation_scope_caption,h2t_negation_scope_guard,visual_semantic_target_preservation,extract_layout,"{""image_id"":""img-h2t-summary-tile-negation-scope"",""target_query"":""summary tile""}",extract_layout,"{""image_id"":""img-h2t-summary-tile-negation-scope"",""target_query"":""summary tile""}",summary tile,,,summary tile,caption,semantic_label_preserved_over_stale_context
h2t_h2w_semantic_target_preservation,h2t_summary_tile_negation_scope_caption,h2t_negation_scope_guard,visual_composed_route_gating_blocked,extract_layout,"{""image_id"":""img-h2t-summary-tile-negation-scope"",""target_query"":""summary tile""}",,{},summary tile,,,,caption,negation_scope_exact_layout_label
h2t_h2w_semantic_target_preservation,h2t_escalated_value_not_badge_component,h2t_value_is_target_guard,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2t-escalated-value"",""target_query"":""Escalated value""}",extract_layout,"{""image_id"":""img-h2t-escalated-value"",""target_query"":""Escalated value cell""}",,,,Escalated value cell,,
h2s_h2w_semantic_target_preservation,h2s_review_tile_waiting_chip_note_decoys,h2s_surface_alias_same_value_decoy,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2s-review-tile-waiting"",""target_query"":""Waiting review chip""}",extract_layout,"{""image_id"":""img-h2s-review-tile-waiting"",""target_query"":""review note""}",,,,review note,,
h2s_h2w_semantic_target_preservation,h2s_review_tile_waiting_chip_note_decoys,h2s_surface_alias_same_value_decoy,visual_composed_route_gating,extract_layout,"{""image_id"":""img-h2s-review-tile-waiting"",""target_query"":""review note""}",extract_layout,"{""image_id"":""img-h2s-review-tile-waiting"",""target_query"":""review tile""}",,review tile,h2s-review-tile-waiting-14002,,,requested_surface_over_deprioritized_decoy
