case_id,family,source_failure_mode,replay_failure_mode,replay_exact_match,replay_executable_match,replay_executor_equivalence_match,expected_call_count,replay_actual_call_count,output_dir
h3b_chargeback_panel_historical_bookmark,h3b_unseen_stale_origin_paraphrase,wrong_tool_or_stale_selection_risk,exact,True,True,True,1,1,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260519T_h3b_saturation_breaker_h3a_execute_v2/runs/h3b_chargeback_panel_historical_bookmark
h3b_exception_badge_decommissioned_pane,h3b_unseen_stale_origin_paraphrase,wrong_tool_or_stale_selection_risk,exact,True,True,True,1,1,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260519T_h3b_saturation_breaker_h3a_execute_v2/runs/h3b_exception_badge_decommissioned_pane
h3b_vendor_lane_orphaned_cursor,h3b_unseen_stale_origin_paraphrase,wrong_tool_or_stale_selection_risk,exact,True,True,True,1,1,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260519T_h3b_saturation_breaker_h3a_execute_v2/runs/h3b_vendor_lane_orphaned_cursor
h3b_policy_tile_frozen_snapshot,h3b_unseen_stale_origin_paraphrase,wrong_tool_or_stale_selection_risk,exact,True,True,True,1,1,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260519T_h3b_saturation_breaker_h3a_execute_v2/runs/h3b_policy_tile_frozen_snapshot
h3b_status_badge_suppressed_value,h3b_extended_negative_value_vocabulary,argument_alias_or_decoy_risk,argument_mismatch,False,False,False,1,1,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260519T_h3b_saturation_breaker_h3a_execute_v2/runs/h3b_status_badge_suppressed_value
h3b_access_toggle_withheld_value,h3b_extended_negative_value_vocabulary,argument_alias_or_decoy_risk,argument_mismatch,False,False,False,1,1,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260519T_h3b_saturation_breaker_h3a_execute_v2/runs/h3b_access_toggle_withheld_value
h3b_approval_chip_revoked_value,h3b_extended_negative_value_vocabulary,argument_alias_or_decoy_risk,executable_paraphrase,False,True,True,1,1,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260519T_h3b_saturation_breaker_h3a_execute_v2/runs/h3b_approval_chip_revoked_value
h3b_invoice_marker_voided_value,h3b_extended_negative_value_vocabulary,argument_alias_or_decoy_risk,argument_mismatch,False,False,False,1,1,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260519T_h3b_saturation_breaker_h3a_execute_v2/runs/h3b_invoice_marker_voided_value
h3b_first_match_note_then_decision_panel,h3b_state_order_flip,argument_alias_or_decoy_risk,exact,True,True,True,1,1,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260519T_h3b_saturation_breaker_h3a_execute_v2/runs/h3b_first_match_note_then_decision_panel
h3b_first_match_log_then_gate_banner,h3b_state_order_flip,argument_alias_or_decoy_risk,exact,True,True,True,1,1,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260519T_h3b_saturation_breaker_h3a_execute_v2/runs/h3b_first_match_log_then_gate_banner
h3b_first_match_table_then_owner_field,h3b_state_order_flip,argument_alias_or_decoy_risk,exact,True,True,True,1,1,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260519T_h3b_saturation_breaker_h3a_execute_v2/runs/h3b_first_match_table_then_owner_field
h3b_first_match_badge_then_stage_tile,h3b_state_order_flip,argument_alias_or_decoy_risk,argument_mismatch,False,False,False,1,1,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260519T_h3b_saturation_breaker_h3a_execute_v2/runs/h3b_first_match_badge_then_stage_tile
h3b_current_review_cluster_refine_to_panel,h3b_current_selection_stepwise_refine,wrong_tool_or_stale_selection_risk,executable_paraphrase,False,True,True,1,1,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260519T_h3b_saturation_breaker_h3a_execute_v2/runs/h3b_current_review_cluster_refine_to_panel
