profile_label,system_id,packet_dir,case_count,exact_success_count,exact_rate,executor_success_count,executor_rate
h2t_h2r_composed_route_gating,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_route_arbitration_residual_exactness_visual_stale_selection_gate_visual_value_bearing_target_query_synthesis_visual_contextual_surface_alias_routing_visual_composed_route_gating,results/tool_probe_replay_live/20260512T_h2t_overreach_independence_h2r_execute_v1,10,8,0.8,8,0.8
h2t_h2u_negation_guard,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_route_arbitration_residual_exactness_visual_stale_selection_gate_visual_value_bearing_target_query_synthesis_visual_contextual_surface_alias_routing_visual_composed_route_gating_visual_negation_guard,results/tool_probe_replay_live/20260513T_h2t_overreach_independence_h2u_execute_v2,10,10,1.0,10,1.0
h2s_h2r_composed_route_gating,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_route_arbitration_residual_exactness_visual_stale_selection_gate_visual_value_bearing_target_query_synthesis_visual_contextual_surface_alias_routing_visual_composed_route_gating,results/tool_probe_replay_live/20260512T_h2s_fresh_composed_holdout_h2r_execute_v1,10,10,1.0,10,1.0
h2s_h2u_negation_guard,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_route_arbitration_residual_exactness_visual_stale_selection_gate_visual_value_bearing_target_query_synthesis_visual_contextual_surface_alias_routing_visual_composed_route_gating_visual_negation_guard,results/tool_probe_replay_live/20260513T_h2u_negation_guard_on_h2s_execute_v1,10,10,1.0,10,1.0
h2q_h2r_composed_route_gating,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_route_arbitration_residual_exactness_visual_stale_selection_gate_visual_value_bearing_target_query_synthesis_visual_contextual_surface_alias_routing_visual_composed_route_gating,results/tool_probe_replay_live/20260512T_h2r_composed_route_gating_on_h2q_execute_v2,8,8,1.0,8,1.0
h2q_h2u_negation_guard,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_route_arbitration_residual_exactness_visual_stale_selection_gate_visual_value_bearing_target_query_synthesis_visual_contextual_surface_alias_routing_visual_composed_route_gating_visual_negation_guard,results/tool_probe_replay_live/20260513T_h2u_negation_guard_on_h2q_execute_v1,8,8,1.0,8,1.0
h2m_h2r_composed_route_gating,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_route_arbitration_residual_exactness_visual_stale_selection_gate_visual_value_bearing_target_query_synthesis_visual_contextual_surface_alias_routing_visual_composed_route_gating,results/tool_probe_replay_live/20260512T_h2r_composed_route_gating_on_h2m_execute_v1,8,8,1.0,8,1.0
h2m_h2u_negation_guard,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_route_arbitration_residual_exactness_visual_stale_selection_gate_visual_value_bearing_target_query_synthesis_visual_contextual_surface_alias_routing_visual_composed_route_gating_visual_negation_guard,results/tool_probe_replay_live/20260513T_h2u_negation_guard_on_h2m_execute_v1,8,8,1.0,8,1.0
h2k_h2r_composed_route_gating,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_route_arbitration_residual_exactness_visual_stale_selection_gate_visual_value_bearing_target_query_synthesis_visual_contextual_surface_alias_routing_visual_composed_route_gating,results/tool_probe_replay_live/20260512T_h2r_composed_route_gating_on_h2k_execute_v2,8,8,1.0,8,1.0
h2k_h2u_negation_guard,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_route_arbitration_residual_exactness_visual_stale_selection_gate_visual_value_bearing_target_query_synthesis_visual_contextual_surface_alias_routing_visual_composed_route_gating_visual_negation_guard,results/tool_probe_replay_live/20260513T_h2u_negation_guard_on_h2k_execute_v1,8,8,1.0,8,1.0
h2l_h2r_composed_route_gating,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_route_arbitration_residual_exactness_visual_stale_selection_gate_visual_value_bearing_target_query_synthesis_visual_contextual_surface_alias_routing_visual_composed_route_gating,results/tool_probe_replay_live/20260512T_h2r_composed_route_gating_on_h2l_execute_v2,8,8,1.0,8,1.0
h2l_h2u_negation_guard,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_route_arbitration_residual_exactness_visual_stale_selection_gate_visual_value_bearing_target_query_synthesis_visual_contextual_surface_alias_routing_visual_composed_route_gating_visual_negation_guard,results/tool_probe_replay_live/20260513T_h2u_negation_guard_on_h2l_execute_v1,8,8,1.0,8,1.0
h2f_h2r_composed_route_gating,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_route_arbitration_residual_exactness_visual_stale_selection_gate_visual_value_bearing_target_query_synthesis_visual_contextual_surface_alias_routing_visual_composed_route_gating,results/tool_probe_replay_live/20260512T_h2r_composed_route_gating_on_h2f_execute_v1,10,10,1.0,10,1.0
h2f_h2u_negation_guard,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_route_arbitration_residual_exactness_visual_stale_selection_gate_visual_value_bearing_target_query_synthesis_visual_contextual_surface_alias_routing_visual_composed_route_gating_visual_negation_guard,results/tool_probe_replay_live/20260513T_h2u_negation_guard_on_h2f_execute_v1,10,10,1.0,10,1.0
h2b_h2r_composed_route_gating,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_route_arbitration_residual_exactness_visual_stale_selection_gate_visual_value_bearing_target_query_synthesis_visual_contextual_surface_alias_routing_visual_composed_route_gating,results/tool_probe_replay_live/20260512T_h2r_composed_route_gating_on_h2b_execute_v1,5,5,1.0,5,1.0
h2b_h2u_negation_guard,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_route_arbitration_residual_exactness_visual_stale_selection_gate_visual_value_bearing_target_query_synthesis_visual_contextual_surface_alias_routing_visual_composed_route_gating_visual_negation_guard,results/tool_probe_replay_live/20260513T_h2u_negation_guard_on_h2b_execute_v1,5,5,1.0,5,1.0
h1x_h2r_composed_route_gating,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_route_arbitration_residual_exactness_visual_stale_selection_gate_visual_value_bearing_target_query_synthesis_visual_contextual_surface_alias_routing_visual_composed_route_gating,results/tool_probe_replay_live/20260512T_h2r_composed_route_gating_on_h1x_execute_v1,8,8,1.0,8,1.0
h1x_h2u_negation_guard,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_route_arbitration_residual_exactness_visual_stale_selection_gate_visual_value_bearing_target_query_synthesis_visual_contextual_surface_alias_routing_visual_composed_route_gating_visual_negation_guard,results/tool_probe_replay_live/20260513T_h2u_negation_guard_on_h1x_execute_v1,8,8,1.0,8,1.0
h1y_h2r_composed_route_gating,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_route_arbitration_residual_exactness_visual_stale_selection_gate_visual_value_bearing_target_query_synthesis_visual_contextual_surface_alias_routing_visual_composed_route_gating,results/tool_probe_replay_live/20260512T_h2r_composed_route_gating_on_h1y_execute_v1,10,10,1.0,10,1.0
h1y_h2u_negation_guard,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_route_arbitration_residual_exactness_visual_stale_selection_gate_visual_value_bearing_target_query_synthesis_visual_contextual_surface_alias_routing_visual_composed_route_gating_visual_negation_guard,results/tool_probe_replay_live/20260513T_h2u_negation_guard_on_h1y_execute_v1,10,10,1.0,10,1.0
h1o_h2r_composed_route_gating,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_route_arbitration_residual_exactness_visual_stale_selection_gate_visual_value_bearing_target_query_synthesis_visual_contextual_surface_alias_routing_visual_composed_route_gating,results/tool_probe_replay_live/20260512T_h2r_composed_route_gating_on_h1o_execute_v1,12,12,1.0,12,1.0
h1o_h2u_negation_guard,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_route_arbitration_residual_exactness_visual_stale_selection_gate_visual_value_bearing_target_query_synthesis_visual_contextual_surface_alias_routing_visual_composed_route_gating_visual_negation_guard,results/tool_probe_replay_live/20260513T_h2u_negation_guard_on_h1o_execute_v1,12,12,1.0,12,1.0
h1p_h2r_composed_route_gating,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_route_arbitration_residual_exactness_visual_stale_selection_gate_visual_value_bearing_target_query_synthesis_visual_contextual_surface_alias_routing_visual_composed_route_gating,results/tool_probe_replay_live/20260512T_h2r_composed_route_gating_on_h1p_execute_v1,12,12,1.0,12,1.0
h1p_h2u_negation_guard,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_route_arbitration_residual_exactness_visual_stale_selection_gate_visual_value_bearing_target_query_synthesis_visual_contextual_surface_alias_routing_visual_composed_route_gating_visual_negation_guard,results/tool_probe_replay_live/20260513T_h2u_negation_guard_on_h1p_execute_v1,12,12,1.0,12,1.0
