system_id,short_label,tool_prompt_contract_id,disable_tool_turn_directive,label,hypothesis,tags
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_canonical_json_copy,Gemma 4 MLX canonical JSON,canonical_json_copy_v3,True,Canonical JSON Copy v3,Live replay shows no-directive MLX often enters the tool protocol but drifts on canonical CLI/API arguments; tighter token-copy rules may reduce argument repair without leaking the planned call.,schema;arguments;canonicalization;json;cli;api
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_literal_guard,Gemma 4 MLX literal guard,literal_argument_guard_v1,True,Literal Argument Guard v1,No-directive rows often choose the right tool but drift on arguments; stronger literal-copy rules may reduce repair burden.,arguments;canonicalization;cli;api;visual
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_parallel_array_required,Gemma 4 MLX parallel array,parallel_array_required_v2,True,Parallel Array Required v2,The parallel probe collapsed to no tool call under no-directive prompting; explicit array-shape rules may recover parallel calls.,parallel;no_tool_call;json_array;multi_source
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_parallel_two_call_array,Gemma 4 MLX parallel two-call,parallel_two_call_array_v3,True,Parallel Two-Call Array v3,CLI-live parallel replay shows no-directive MLX asks the operator for inputs already present; explicit source-count and array-shape rules may preserve the two-call contract.,parallel;no_tool_call;json_array;multi_source;arguments
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_schema_anchor,Gemma 4 MLX schema anchor,schema_anchor_v1,True,Schema Anchor v1,No-directive CLI/API misses may improve if the model is reminded that tool names and fields are literal interface tokens.,schema;json;cli;api
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_schema_literal_tool_required,Gemma 4 MLX schema literal required,schema_literal_tool_required_v2,True,Schema Literal Tool-Required v2,The first wave split exact-copy and executable visual gains; a combined contract may preserve schema obedience while reducing no-call failures.,schema;arguments;no_tool_call;json;cli;api;visual
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_tool_required,Gemma 4 MLX tool required,tool_required_parallel_v1,True,Tool Required Parallel v1,No-directive visual and parallel cases may fail because the model exits the tool protocol; stronger tool-required wording should reduce no-call failures.,no_tool_call;parallel;visual
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_next_call_state,Gemma 4 MLX visual next call,visual_next_call_state_v2,True,Visual Next-Call State v2,No-directive visual failures are concentrated in no-call behavior after a visual referent exists; explicit state-transition wording may reduce that collapse.,visual;no_tool_call;state_machine;readback
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_state_tool_selection,Gemma 4 MLX visual state tool,visual_state_tool_selection_v4,True,Visual State Tool Selection v4,Wave three recovered visual tool initiation but still chose the wrong visual tool for a filter/refinement case; state-specific selection rules may preserve tool entry while improving exact visual replay.,visual;state_machine;tool_selection;no_tool_call;arguments
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_tool_initiation,Gemma 4 MLX visual initiation,visual_tool_initiation_v3,True,Visual Tool Initiation v3,CLI-live visual replay shows no-directive MLX often answers or defers instead of initiating the next visual tool call; a compact state-transition contract may recover tool entry before exact selector tuning.,visual;no_tool_call;state_machine;readback;arguments
