case_id,family,source_failure_mode,baseline_exact_match,expected_call_count,source_actual_call_count,status,replay_failure_mode,replay_exact_match,replay_executable_match,replay_executor_equivalence_match
h1o_activation_status_badge_email_decoy,h1o_activation_no_call,wrong_tool_or_stale_selection_risk,,1,,exact,exact,True,True,True
h1o_activation_owner_field_stale_selection_decoy,h1o_activation_no_call,wrong_tool_or_stale_selection_risk,,1,,exact,exact,True,True,True
h1o_activation_error_banner_previous_region_decoy,h1o_activation_no_call,wrong_tool_or_stale_selection_risk,,1,,non_exact,no_tool_call,False,False,False
h1o_activation_warning_tile_no_call_decoy,h1o_activation_no_call,wrong_tool_or_stale_selection_risk,,1,,exact,exact,True,True,True
h1o_code_node_j44_table_decoy,h1o_code_negation_preservation,argument_alias_or_decoy_risk,,1,,exact,exact,True,True,True
h1o_code_field_u17_old_selection_decoy,h1o_code_negation_preservation,argument_alias_or_decoy_risk,,1,,non_exact,argument_mismatch,False,False,False
h1o_code_alert_s92_negated_toggle_decoy,h1o_code_negation_preservation,argument_alias_or_decoy_risk,,1,,non_exact,executable_paraphrase,False,True,True
h1o_code_badge_c08_note_decoy,h1o_code_negation_preservation,argument_alias_or_decoy_risk,,1,,exact,exact,True,True,True
h1o_component_state_pill_value_decoy,h1o_component_value_boundary,argument_alias_or_decoy_risk,,1,,non_exact,argument_mismatch,False,False,False
h1o_component_priority_chip_value_decoy,h1o_component_value_boundary,argument_alias_or_decoy_risk,,1,,exact,exact,True,True,True
h1o_component_result_badge_value_decoy,h1o_component_value_boundary,argument_alias_or_decoy_risk,,1,,exact,exact,True,True,True
h1o_component_phase_tile_value_decoy,h1o_component_value_boundary,argument_alias_or_decoy_risk,,1,,non_exact,argument_mismatch,False,False,False
