profile_label,case_id,family,failure_mode,executor_equivalence_match,expected_tool,expected_target_query,actual_tool,actual_target_query
h2y_h2u_negation_guard,h2y_action_banner_quoted_not_banner_note,h2y_quoted_stale_negation_context,argument_mismatch,False,extract_layout,action banner,extract_layout,prior note
h2y_h2u_negation_guard,h2y_resolution_marker_old_quote_not_marker,h2y_quoted_stale_negation_context,argument_mismatch,False,extract_layout,resolution marker,extract_layout,audit memo
h2y_h2u_negation_guard,h2y_escalation_lane_stale_selection_not_lane,h2y_stale_selection_negation_context,wrong_tool,False,extract_layout,escalation lane,refine_selection,
h2y_h2u_negation_guard,h2y_exception_panel_stale_selection_not_panel,h2y_stale_selection_negation_context,wrong_tool,False,extract_layout,exception panel,refine_selection,
h2y_h2u_negation_guard,h2y_approval_field_stale_selection_not_field,h2y_stale_selection_negation_context,wrong_tool,False,extract_layout,approval field,refine_selection,
h2y_h2u_negation_guard,h2y_not_replied_status_pill_value_before_component,h2y_genuine_negated_target_value,argument_mismatch,False,extract_layout,status pill not replied,extract_layout,not replied
h2y_h2u_negation_guard,h2y_not_sent_delivery_tag_value_before_component,h2y_genuine_negated_target_value,argument_mismatch,False,extract_layout,delivery tag not sent,extract_layout,not sent
h2y_h2u_negation_guard,h2y_not_required_approval_marker_value_before_component,h2y_genuine_negated_target_value,argument_mismatch,False,extract_layout,approval marker not required,extract_layout,Not required
h2y_h2u_negation_guard,h2y_not_active_alert_banner_value_before_component,h2y_genuine_negated_target_value,argument_mismatch,False,extract_layout,alert banner not active,extract_layout,alert
h2y_h2u_negation_guard,h2y_not_escalated_risk_chip_value_before_component,h2y_genuine_negated_target_value,argument_mismatch,False,extract_layout,risk chip not escalated,extract_layout,risk chip
h2y_h2u_negation_guard,h2y_not_available_owner_field_value_before_component,h2y_genuine_negated_target_value,argument_mismatch,False,extract_layout,owner field not available,extract_layout,not available
h2y_h2u_negation_guard,h2y_not_started_phase_tile_value_before_component,h2y_genuine_negated_target_value,executable_paraphrase,True,extract_layout,phase tile not started,extract_layout,phase tile Not started
h2y_h2u_no_controller_fallback,h2y_action_banner_quoted_not_banner_note,h2y_quoted_stale_negation_context,argument_mismatch,False,extract_layout,action banner,extract_layout,prior note
h2y_h2u_no_controller_fallback,h2y_resolution_marker_old_quote_not_marker,h2y_quoted_stale_negation_context,argument_mismatch,False,extract_layout,resolution marker,extract_layout,audit memo
h2y_h2u_no_controller_fallback,h2y_escalation_lane_stale_selection_not_lane,h2y_stale_selection_negation_context,wrong_tool,False,extract_layout,escalation lane,refine_selection,
h2y_h2u_no_controller_fallback,h2y_exception_panel_stale_selection_not_panel,h2y_stale_selection_negation_context,wrong_tool,False,extract_layout,exception panel,refine_selection,
h2y_h2u_no_controller_fallback,h2y_approval_field_stale_selection_not_field,h2y_stale_selection_negation_context,wrong_tool,False,extract_layout,approval field,refine_selection,
h2y_h2u_no_controller_fallback,h2y_not_replied_status_pill_value_before_component,h2y_genuine_negated_target_value,argument_mismatch,False,extract_layout,status pill not replied,extract_layout,not replied
h2y_h2u_no_controller_fallback,h2y_not_sent_delivery_tag_value_before_component,h2y_genuine_negated_target_value,argument_mismatch,False,extract_layout,delivery tag not sent,extract_layout,not sent
h2y_h2u_no_controller_fallback,h2y_not_required_approval_marker_value_before_component,h2y_genuine_negated_target_value,argument_mismatch,False,extract_layout,approval marker not required,extract_layout,Not required
h2y_h2u_no_controller_fallback,h2y_not_active_alert_banner_value_before_component,h2y_genuine_negated_target_value,argument_mismatch,False,extract_layout,alert banner not active,extract_layout,alert
h2y_h2u_no_controller_fallback,h2y_not_escalated_risk_chip_value_before_component,h2y_genuine_negated_target_value,argument_mismatch,False,extract_layout,risk chip not escalated,extract_layout,risk chip
h2y_h2u_no_controller_fallback,h2y_not_available_owner_field_value_before_component,h2y_genuine_negated_target_value,argument_mismatch,False,extract_layout,owner field not available,extract_layout,not available
h2y_h2u_no_controller_fallback,h2y_not_started_phase_tile_value_before_component,h2y_genuine_negated_target_value,executable_paraphrase,True,extract_layout,phase tile not started,extract_layout,phase tile Not started
h2y_h2w_semantic_target_preservation,h2y_escalation_lane_stale_selection_not_lane,h2y_stale_selection_negation_context,wrong_tool,False,extract_layout,escalation lane,refine_selection,
h2y_h2w_semantic_target_preservation,h2y_exception_panel_stale_selection_not_panel,h2y_stale_selection_negation_context,wrong_tool,False,extract_layout,exception panel,refine_selection,
h2y_h2w_semantic_target_preservation,h2y_approval_field_stale_selection_not_field,h2y_stale_selection_negation_context,wrong_tool,False,extract_layout,approval field,refine_selection,
h2y_h2w_semantic_target_preservation,h2y_not_active_alert_banner_value_before_component,h2y_genuine_negated_target_value,argument_mismatch,False,extract_layout,alert banner not active,extract_layout,alert
h2y_h2w_no_controller_fallback,h2y_escalation_lane_stale_selection_not_lane,h2y_stale_selection_negation_context,wrong_tool,False,extract_layout,escalation lane,refine_selection,
h2y_h2w_no_controller_fallback,h2y_exception_panel_stale_selection_not_panel,h2y_stale_selection_negation_context,wrong_tool,False,extract_layout,exception panel,refine_selection,
h2y_h2w_no_controller_fallback,h2y_approval_field_stale_selection_not_field,h2y_stale_selection_negation_context,wrong_tool,False,extract_layout,approval field,refine_selection,
h2y_h2w_no_controller_fallback,h2y_not_active_alert_banner_value_before_component,h2y_genuine_negated_target_value,argument_mismatch,False,extract_layout,alert banner not active,extract_layout,alert
