case_id,family,source_failure_mode,baseline_exact_match,expected_call_count,source_actual_call_count,status,replay_failure_mode,replay_exact_match,replay_executable_match,replay_executor_equivalence_match
h2v_metric_panel_quoted_not_label_note,h2v_quoted_negation_context,argument_alias_or_decoy_risk,,1,,exact,exact,True,True,True
h2v_summary_tile_quoted_not_label_caption,h2v_quoted_negation_context,argument_alias_or_decoy_risk,,1,,exact,exact,True,True,True
h2v_status_panel_do_not_use_note,h2v_instructional_negation_context,argument_alias_or_decoy_risk,,1,,exact,exact,True,True,True
h2v_owner_field_do_not_use_memo,h2v_instructional_negation_context,argument_alias_or_decoy_risk,,1,,exact,exact,True,True,True
h2v_review_tile_stale_caption_old_not_tile,h2v_stale_example_negation_context,argument_alias_or_decoy_risk,,1,,exact,exact,True,True,True
h2v_risk_lane_stale_example_not_lane,h2v_stale_example_negation_context,argument_alias_or_decoy_risk,,1,,exact,exact,True,True,True
h2v_not_ready_badge_genuine_value,h2v_genuine_negated_target,argument_alias_or_decoy_risk,,1,,exact,exact,True,True,True
h2v_not_applicable_chip_genuine_value,h2v_genuine_negated_target,argument_alias_or_decoy_risk,,1,,exact,exact,True,True,True
h2v_not_approved_toggle_genuine_value,h2v_genuine_negated_target,argument_alias_or_decoy_risk,,1,,exact,exact,True,True,True
h2v_exception_notice_clean_control,h2v_clean_negation_control,argument_alias_or_decoy_risk,,1,,exact,exact,True,True,True
