profile_label,case_id,family,failure_mode,executor_equivalence_match,expected_tool,expected_arguments,actual_tool,actual_arguments,actual_region_ids,output_dir
no_directive,h1y_responsible_party_field_old_owner_memo_decoy,h1y_route_stale_field,no_tool_call,False,extract_layout,"{""image_id"": ""img-h1y-owner-field"", ""target_query"": ""owner field""}",,{},,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260510T_h1y_routed_residual_no_directive_execute_v1/runs/h1y_responsible_party_field_old_owner_memo_decoy
no_directive,h1y_escalation_contact_field_saved_summary_decoy,h1y_route_stale_field,no_tool_call,False,extract_layout,"{""image_id"": ""img-h1y-escalation-contact"", ""target_query"": ""owner field""}",,{},,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260510T_h1y_routed_residual_no_directive_execute_v1/runs/h1y_escalation_contact_field_saved_summary_decoy
no_directive,h1y_review_owner_field_previous_table_decoy,h1y_route_stale_field,no_tool_call,False,extract_layout,"{""image_id"": ""img-h1y-review-owner"", ""target_query"": ""owner field""}",,{},,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260510T_h1y_routed_residual_no_directive_execute_v1/runs/h1y_review_owner_field_previous_table_decoy
no_directive,h1y_lifecycle_state_tag_audit_value_decoy,h1y_route_nonstandard_class,argument_mismatch,False,extract_layout,"{""image_id"": ""img-h1y-state-tag"", ""target_query"": ""state tag""}",extract_layout,"{""image_id"": ""img-h1y-state-tag"", ""target_query"": ""lifecycle state tag component""}",,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260510T_h1y_routed_residual_no_directive_execute_v1/runs/h1y_lifecycle_state_tag_audit_value_decoy
no_directive,h1y_operation_mode_toggle_note_value_decoy,h1y_route_nonstandard_class,argument_mismatch,False,extract_layout,"{""image_id"": ""img-h1y-mode-toggle"", ""target_query"": ""mode toggle""}",extract_layout,"{""image_id"": ""img-h1y-mode-toggle"", ""target_query"": ""operation mode toggle component""}",,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260510T_h1y_routed_residual_no_directive_execute_v1/runs/h1y_operation_mode_toggle_note_value_decoy
no_directive,h1y_alert_s92_negated_toggle_decoy,h1y_route_code_label,argument_mismatch,False,extract_layout,"{""image_id"": ""img-h1y-alert-s92"", ""target_query"": ""alert s92""}",extract_layout,"{""image_id"": ""img-h1y-alert-s92"", ""target_query"": ""override toggle""}",h1y-alert-toggle-9851,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260510T_h1y_routed_residual_no_directive_execute_v1/runs/h1y_alert_s92_negated_toggle_decoy
no_directive,h1y_badge_c08_table_value_decoy,h1y_route_code_label,no_tool_call,False,extract_layout,"{""image_id"": ""img-h1y-badge-c08"", ""target_query"": ""badge c08""}",,{},,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260510T_h1y_routed_residual_no_directive_execute_v1/runs/h1y_badge_c08_table_value_decoy
no_directive,h1y_status_pill_summary_value_holdout,h1y_preserve_surface_value,argument_mismatch,False,extract_layout,"{""image_id"": ""img-h1y-status-pill"", ""target_query"": ""status pill""}",extract_layout,"{""image_id"": ""img-h1y-status-pill"", ""target_query"": ""status pill component""}",,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260510T_h1y_routed_residual_no_directive_execute_v1/runs/h1y_status_pill_summary_value_holdout
no_directive,h1y_result_badge_comment_value_holdout,h1y_preserve_surface_value,no_tool_call,False,extract_layout,"{""image_id"": ""img-h1y-result-badge"", ""target_query"": ""result badge""}",,{},,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260510T_h1y_routed_residual_no_directive_execute_v1/runs/h1y_result_badge_comment_value_holdout
no_directive,h1y_warning_tile_note_activation_decoy,h1y_activation_no_call,no_tool_call,False,extract_layout,"{""image_id"": ""img-h1y-warning-tile"", ""target_query"": ""warning tile""}",,{},,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260510T_h1y_routed_residual_no_directive_execute_v1/runs/h1y_warning_tile_note_activation_decoy
