case_id,family,source_failure_mode,baseline_replay_exact_match,candidate_replay_exact_match,delta_exact_match,baseline_replay_executable_match,candidate_replay_executable_match,delta_executable_match,baseline_replay_executor_equivalence_match,candidate_replay_executor_equivalence_match,delta_executor_equivalence_match,baseline_replay_failure_mode,candidate_replay_failure_mode,baseline_actual_call_count,candidate_actual_call_count,delta_actual_call_count
h2v_exception_notice_clean_control,h2v_clean_negation_control,argument_alias_or_decoy_risk,True,True,0,True,True,0,True,True,0,exact,exact,1,1,0
h2v_metric_panel_quoted_not_label_note,h2v_quoted_negation_context,argument_alias_or_decoy_risk,True,True,0,True,True,0,True,True,0,exact,exact,1,1,0
h2v_not_applicable_chip_genuine_value,h2v_genuine_negated_target,argument_alias_or_decoy_risk,False,True,1,False,True,1,False,True,1,argument_mismatch,exact,1,1,0
h2v_not_approved_toggle_genuine_value,h2v_genuine_negated_target,argument_alias_or_decoy_risk,False,True,1,True,True,0,True,True,0,executable_paraphrase,exact,1,1,0
h2v_not_ready_badge_genuine_value,h2v_genuine_negated_target,argument_alias_or_decoy_risk,False,True,1,False,True,1,False,True,1,argument_mismatch,exact,1,1,0
h2v_owner_field_do_not_use_memo,h2v_instructional_negation_context,argument_alias_or_decoy_risk,True,True,0,True,True,0,True,True,0,exact,exact,1,1,0
h2v_review_tile_stale_caption_old_not_tile,h2v_stale_example_negation_context,argument_alias_or_decoy_risk,False,True,1,False,True,1,False,True,1,argument_mismatch,exact,1,1,0
h2v_risk_lane_stale_example_not_lane,h2v_stale_example_negation_context,argument_alias_or_decoy_risk,False,True,1,False,True,1,False,True,1,argument_mismatch,exact,1,1,0
h2v_status_panel_do_not_use_note,h2v_instructional_negation_context,argument_alias_or_decoy_risk,True,True,0,True,True,0,True,True,0,exact,exact,1,1,0
h2v_summary_tile_quoted_not_label_caption,h2v_quoted_negation_context,argument_alias_or_decoy_risk,False,True,1,False,True,1,False,True,1,no_tool_call,exact,0,1,1
