run_id,episode_id,role_family,lane,workspace_id,benchmark_tags,artifact_quality_score,browser_workflow_score,strict_interface_score,recovered_execution_score,revision_responsiveness,memory_retention_score,escalation_correctness,collateral_damage_free,human_time_ratio,role_readiness_score
20260410T222131580262Z_episode_kwa_exec_board_prep_pack,kwa_exec_board_prep_pack,executive_assistant,replayable_core,exec-board-prep,"knowledge_work_arena,replayable_core,executive_assistant",1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.16,0.9537
20260410T222137642739Z_episode_kwa_exec_travel_conflict_resolution,kwa_exec_travel_conflict_resolution,executive_assistant,replayable_core,exec-travel-conflict,"knowledge_work_arena,replayable_core,executive_assistant",1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.16,0.9306
20260410T222150654661Z_episode_kwa_exec_inbox_triage,kwa_exec_inbox_triage,executive_assistant,replayable_core,exec-inbox-triage,"knowledge_work_arena,replayable_core,executive_assistant",1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.16,0.9306
20260410T222155214789Z_episode_kwa_exec_vendor_clarification,kwa_exec_vendor_clarification,executive_assistant,replayable_core,exec-vendor-clarify,"knowledge_work_arena,replayable_core,executive_assistant",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,1.0
20260410T222157038184Z_episode_kwa_jobs_tailored_packet,kwa_jobs_tailored_packet,job_application_ops,replayable_core,jobs-tailored-packet,"knowledge_work_arena,replayable_core,job_application_ops",1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.16,0.9306
20260410T222159199189Z_episode_kwa_jobs_browser_form_fill,kwa_jobs_browser_form_fill,job_application_ops,replayable_core,jobs-browser-form,"knowledge_work_arena,replayable_core,job_application_ops",1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.16,0.9306
20260410T222213453417Z_episode_kwa_jobs_revise_after_feedback,kwa_jobs_revise_after_feedback,job_application_ops,replayable_core,jobs-revise-feedback,"knowledge_work_arena,replayable_core,job_application_ops",1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.16,0.9537
20260410T222225377662Z_episode_kwa_jobs_tracker_followup,kwa_jobs_tracker_followup,job_application_ops,replayable_core,jobs-tracker-followup,"knowledge_work_arena,replayable_core,job_application_ops",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16,1.0
20260410T222237668326Z_episode_kwa_finance_three_statement_model,kwa_finance_three_statement_model,finance,replayable_core,finance-three-statement,"knowledge_work_arena,replayable_core,finance",1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.0889,0.9306
20260410T222245453096Z_episode_kwa_finance_comps_snapshot,kwa_finance_comps_snapshot,finance,replayable_core,finance-comps-snapshot,"knowledge_work_arena,replayable_core,finance",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0889,1.0
