profile_label,case_id,family,intervention_kind,from_tool,from_arguments,to_tool,to_arguments,prompt_state_label,value_bearing_label,display_value,surface_label,requested_label,requested_region_id,reason
h2t_h2j_target_query_normalization,h2t_result_drawer_low_score_badge_decoy,h2t_low_score_surface_request,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2t-result-drawer-blocked"",""target_query"":""result badge c08""}",extract_layout,"{""image_id"":""img-h2t-result-drawer-blocked"",""target_query"":""result drawer""}",result drawer,,,,,,
h2t_h2j_target_query_normalization,h2t_risk_lane_high_chip_decoy,h2t_low_score_surface_request,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2t-risk-lane-high"",""target_query"":""risk lane High""}",extract_layout,"{""image_id"":""img-h2t-risk-lane-high"",""target_query"":""risk lane""}",risk lane,,,,,,
h2t_h2j_target_query_normalization,h2t_stage_column_review_tag_decoy,h2t_low_score_surface_request,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2t-stage-column-review"",""target_query"":""stage column Review""}",extract_layout,"{""image_id"":""img-h2t-stage-column-review"",""target_query"":""stage column""}",stage column,,,,,,
h2t_h2j_target_query_normalization,h2t_metric_panel_negation_scope_note,h2t_negation_scope_guard,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2t-metric-panel-negation-scope"",""target_query"":""metric panel""}",extract_layout,"{""image_id"":""img-h2t-metric-panel-negation-scope"",""target_query"":""training note""}",training note,,,,,,
h2t_h2j_target_query_normalization,h2t_summary_tile_negation_scope_caption,h2t_negation_scope_guard,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2t-summary-tile-negation-scope"",""target_query"":""summary tile""}",extract_layout,"{""image_id"":""img-h2t-summary-tile-negation-scope"",""target_query"":""caption""}",caption,,,,,,
h2t_h2j_target_query_normalization,h2t_escalated_value_not_badge_component,h2t_value_is_target_guard,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2t-escalated-value"",""target_query"":""Escalated value""}",extract_layout,"{""image_id"":""img-h2t-escalated-value"",""target_query"":""Escalated value cell""}",Escalated value cell,,,,,,
h2t_h2o_value_bearing_synthesis,h2t_result_drawer_low_score_badge_decoy,h2t_low_score_surface_request,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2t-result-drawer-blocked"",""target_query"":""result badge c08""}",extract_layout,"{""image_id"":""img-h2t-result-drawer-blocked"",""target_query"":""result drawer""}",result drawer,,,,,,
h2t_h2o_value_bearing_synthesis,h2t_risk_lane_high_chip_decoy,h2t_low_score_surface_request,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2t-risk-lane-high"",""target_query"":""risk lane High""}",extract_layout,"{""image_id"":""img-h2t-risk-lane-high"",""target_query"":""risk lane""}",risk lane,,,,,,
h2t_h2o_value_bearing_synthesis,h2t_stage_column_review_tag_decoy,h2t_low_score_surface_request,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2t-stage-column-review"",""target_query"":""stage column Review""}",extract_layout,"{""image_id"":""img-h2t-stage-column-review"",""target_query"":""stage column""}",stage column,,,,,,
h2t_h2o_value_bearing_synthesis,h2t_metric_panel_negation_scope_note,h2t_negation_scope_guard,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2t-metric-panel-negation-scope"",""target_query"":""metric panel""}",extract_layout,"{""image_id"":""img-h2t-metric-panel-negation-scope"",""target_query"":""training note""}",training note,,,,,,
h2t_h2o_value_bearing_synthesis,h2t_summary_tile_negation_scope_caption,h2t_negation_scope_guard,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2t-summary-tile-negation-scope"",""target_query"":""summary tile""}",extract_layout,"{""image_id"":""img-h2t-summary-tile-negation-scope"",""target_query"":""caption""}",caption,,,,,,
h2t_h2o_value_bearing_synthesis,h2t_escalated_value_not_badge_component,h2t_value_is_target_guard,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2t-escalated-value"",""target_query"":""Escalated value""}",extract_layout,"{""image_id"":""img-h2t-escalated-value"",""target_query"":""Escalated value cell""}",Escalated value cell,,,,,,
h2t_h2p_contextual_surface_alias_routing,h2t_result_drawer_low_score_badge_decoy,h2t_low_score_surface_request,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2t-result-drawer-blocked"",""target_query"":""result badge c08""}",extract_layout,"{""image_id"":""img-h2t-result-drawer-blocked"",""target_query"":""result drawer""}",result drawer,,,,,,
h2t_h2p_contextual_surface_alias_routing,h2t_risk_lane_high_chip_decoy,h2t_low_score_surface_request,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2t-risk-lane-high"",""target_query"":""risk lane High""}",extract_layout,"{""image_id"":""img-h2t-risk-lane-high"",""target_query"":""risk lane""}",risk lane,,,,,,
h2t_h2p_contextual_surface_alias_routing,h2t_stage_column_review_tag_decoy,h2t_low_score_surface_request,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2t-stage-column-review"",""target_query"":""stage column Review""}",extract_layout,"{""image_id"":""img-h2t-stage-column-review"",""target_query"":""stage column""}",stage column,,,,,,
h2t_h2p_contextual_surface_alias_routing,h2t_metric_panel_negation_scope_note,h2t_negation_scope_guard,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2t-metric-panel-negation-scope"",""target_query"":""metric panel""}",extract_layout,"{""image_id"":""img-h2t-metric-panel-negation-scope"",""target_query"":""training note""}",training note,,,,,,
h2t_h2p_contextual_surface_alias_routing,h2t_summary_tile_negation_scope_caption,h2t_negation_scope_guard,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2t-summary-tile-negation-scope"",""target_query"":""summary tile""}",extract_layout,"{""image_id"":""img-h2t-summary-tile-negation-scope"",""target_query"":""caption""}",caption,,,,,,
h2t_h2p_contextual_surface_alias_routing,h2t_escalated_value_not_badge_component,h2t_value_is_target_guard,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2t-escalated-value"",""target_query"":""Escalated value""}",extract_layout,"{""image_id"":""img-h2t-escalated-value"",""target_query"":""Escalated value cell""}",Escalated value cell,,,,,,
h2t_h2r_composed_route_gating,h2t_result_drawer_low_score_badge_decoy,h2t_low_score_surface_request,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2t-result-drawer-blocked"",""target_query"":""result badge c08""}",extract_layout,"{""image_id"":""img-h2t-result-drawer-blocked"",""target_query"":""result drawer""}",result drawer,,,,,,
h2t_h2r_composed_route_gating,h2t_risk_lane_high_chip_decoy,h2t_low_score_surface_request,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2t-risk-lane-high"",""target_query"":""risk lane High""}",extract_layout,"{""image_id"":""img-h2t-risk-lane-high"",""target_query"":""risk lane""}",risk lane,,,,,,
h2t_h2r_composed_route_gating,h2t_stage_column_review_tag_decoy,h2t_low_score_surface_request,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2t-stage-column-review"",""target_query"":""stage column Review""}",extract_layout,"{""image_id"":""img-h2t-stage-column-review"",""target_query"":""stage column""}",stage column,,,,,,
h2t_h2r_composed_route_gating,h2t_metric_panel_negation_scope_note,h2t_negation_scope_guard,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2t-metric-panel-negation-scope"",""target_query"":""metric panel""}",extract_layout,"{""image_id"":""img-h2t-metric-panel-negation-scope"",""target_query"":""training note""}",training note,,,,,,
h2t_h2r_composed_route_gating,h2t_summary_tile_negation_scope_caption,h2t_negation_scope_guard,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2t-summary-tile-negation-scope"",""target_query"":""summary tile""}",extract_layout,"{""image_id"":""img-h2t-summary-tile-negation-scope"",""target_query"":""caption""}",caption,,,,,,
h2t_h2r_composed_route_gating,h2t_escalated_value_not_badge_component,h2t_value_is_target_guard,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2t-escalated-value"",""target_query"":""Escalated value""}",extract_layout,"{""image_id"":""img-h2t-escalated-value"",""target_query"":""Escalated value cell""}",Escalated value cell,,,,,,
