case_id,family,source_failure_mode,replay_failure_mode,replay_exact_match,replay_executable_match,replay_executor_equivalence_match,expected_call_count,replay_actual_call_count,output_dir
h2t_current_selection_review_tile_refine_guard,h2t_current_selection_guard,wrong_tool_or_stale_selection_risk,exact,True,True,True,1,1,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260512T_h2t_overreach_independence_h2e_execute_v1/runs/h2t_current_selection_review_tile_refine_guard
h2t_current_selection_status_panel_refine_guard,h2t_current_selection_guard,wrong_tool_or_stale_selection_risk,exact,True,True,True,1,1,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260512T_h2t_overreach_independence_h2e_execute_v1/runs/h2t_current_selection_status_panel_refine_guard
h2t_result_drawer_low_score_badge_decoy,h2t_low_score_surface_request,argument_alias_or_decoy_risk,argument_mismatch,False,False,False,1,1,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260512T_h2t_overreach_independence_h2e_execute_v1/runs/h2t_result_drawer_low_score_badge_decoy
h2t_risk_lane_high_chip_decoy,h2t_low_score_surface_request,argument_alias_or_decoy_risk,executable_paraphrase,False,True,True,1,1,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260512T_h2t_overreach_independence_h2e_execute_v1/runs/h2t_risk_lane_high_chip_decoy
h2t_stage_column_review_tag_decoy,h2t_low_score_surface_request,argument_alias_or_decoy_risk,executable_paraphrase,False,True,True,1,1,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260512T_h2t_overreach_independence_h2e_execute_v1/runs/h2t_stage_column_review_tag_decoy
h2t_metric_panel_negation_scope_note,h2t_negation_scope_guard,argument_alias_or_decoy_risk,exact,True,True,True,1,1,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260512T_h2t_overreach_independence_h2e_execute_v1/runs/h2t_metric_panel_negation_scope_note
h2t_summary_tile_negation_scope_caption,h2t_negation_scope_guard,argument_alias_or_decoy_risk,exact,True,True,True,1,1,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260512T_h2t_overreach_independence_h2e_execute_v1/runs/h2t_summary_tile_negation_scope_caption
h2t_escalated_value_not_badge_component,h2t_value_is_target_guard,argument_alias_or_decoy_risk,executable_paraphrase,False,True,True,1,1,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260512T_h2t_overreach_independence_h2e_execute_v1/runs/h2t_escalated_value_not_badge_component
h2t_result_badge_live_clean_control,h2t_clean_route_control,argument_alias_or_decoy_risk,exact,True,True,True,1,1,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260512T_h2t_overreach_independence_h2e_execute_v1/runs/h2t_result_badge_live_clean_control
h2t_owner_field_clean_control,h2t_clean_route_control,argument_alias_or_decoy_risk,exact,True,True,True,1,1,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260512T_h2t_overreach_independence_h2e_execute_v1/runs/h2t_owner_field_clean_control
