profile_label,case_id,family,intervention_kind,from_tool,from_arguments,to_tool,to_arguments,preserved_target_query,blocked_label,prompt_state_label,reason
h2v_h2j_target_query_normalization,h2v_metric_panel_quoted_not_label_note,h2v_quoted_negation_context,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2v-metric-panel-quoted-note"",""target_query"":""metric panel""}",extract_layout,"{""image_id"":""img-h2v-metric-panel-quoted-note"",""target_query"":""audit note""}",,audit note,audit note,
h2v_h2j_target_query_normalization,h2v_review_tile_stale_caption_old_not_tile,h2v_stale_example_negation_context,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2v-review-tile-stale-caption"",""target_query"":""review tile""}",extract_layout,"{""image_id"":""img-h2v-review-tile-stale-caption"",""target_query"":""stale caption""}",,stale caption,stale caption,
h2v_h2j_target_query_normalization,h2v_risk_lane_stale_example_not_lane,h2v_stale_example_negation_context,visual_stale_selection_gate,refine_selection,"{""filter_query"":""High"",""selection_id"":""img-h2v-risk-lane-stale-example""}",extract_layout,"{""image_id"":""img-h2v-risk-lane-stale-example"",""target_query"":""example note""}",,,,
h2v_h2r_composed_route_gating,h2v_metric_panel_quoted_not_label_note,h2v_quoted_negation_context,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2v-metric-panel-quoted-note"",""target_query"":""metric panel""}",extract_layout,"{""image_id"":""img-h2v-metric-panel-quoted-note"",""target_query"":""audit note""}",,audit note,audit note,
h2v_h2r_composed_route_gating,h2v_review_tile_stale_caption_old_not_tile,h2v_stale_example_negation_context,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2v-review-tile-stale-caption"",""target_query"":""review tile""}",extract_layout,"{""image_id"":""img-h2v-review-tile-stale-caption"",""target_query"":""stale caption""}",,stale caption,stale caption,
h2v_h2r_composed_route_gating,h2v_risk_lane_stale_example_not_lane,h2v_stale_example_negation_context,visual_stale_selection_gate,refine_selection,"{""filter_query"":""High"",""selection_id"":""img-h2v-risk-lane-stale-example""}",extract_layout,"{""image_id"":""img-h2v-risk-lane-stale-example"",""target_query"":""example note""}",,,,
h2v_h2u_negation_guard,h2v_metric_panel_quoted_not_label_note,h2v_quoted_negation_context,visual_target_query_normalization_blocked,extract_layout,"{""image_id"":""img-h2v-metric-panel-quoted-note"",""target_query"":""metric panel""}",,{},metric panel,audit note,audit note,negation_scope_exact_layout_label
h2v_h2u_negation_guard,h2v_metric_panel_quoted_not_label_note,h2v_quoted_negation_context,visual_composed_route_gating_blocked,extract_layout,"{""image_id"":""img-h2v-metric-panel-quoted-note"",""target_query"":""metric panel""}",,{},metric panel,audit note,,negation_scope_exact_layout_label
h2v_h2u_negation_guard,h2v_review_tile_stale_caption_old_not_tile,h2v_stale_example_negation_context,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2v-review-tile-stale-caption"",""target_query"":""review tile""}",extract_layout,"{""image_id"":""img-h2v-review-tile-stale-caption"",""target_query"":""stale caption""}",,stale caption,stale caption,
h2v_h2u_negation_guard,h2v_risk_lane_stale_example_not_lane,h2v_stale_example_negation_context,visual_stale_selection_gate,refine_selection,"{""filter_query"":""High"",""selection_id"":""img-h2v-risk-lane-stale-example""}",extract_layout,"{""image_id"":""img-h2v-risk-lane-stale-example"",""target_query"":""example note""}",,,,
h2v_h2w_semantic_target_preservation,h2v_metric_panel_quoted_not_label_note,h2v_quoted_negation_context,visual_semantic_target_preservation,extract_layout,"{""image_id"":""img-h2v-metric-panel-quoted-note"",""target_query"":""metric panel""}",extract_layout,"{""image_id"":""img-h2v-metric-panel-quoted-note"",""target_query"":""metric panel""}",metric panel,audit note,metric panel,semantic_label_preserved_over_stale_context
h2v_h2w_semantic_target_preservation,h2v_metric_panel_quoted_not_label_note,h2v_quoted_negation_context,visual_composed_route_gating_blocked,extract_layout,"{""image_id"":""img-h2v-metric-panel-quoted-note"",""target_query"":""metric panel""}",,{},metric panel,audit note,,negation_scope_exact_layout_label
h2v_h2w_semantic_target_preservation,h2v_summary_tile_quoted_not_label_caption,h2v_quoted_negation_context,visual_semantic_target_preservation,extract_layout,"{""image_id"":""img-h2v-summary-tile-quoted-caption"",""target_query"":""summary tile""}",extract_layout,"{""image_id"":""img-h2v-summary-tile-quoted-caption"",""target_query"":""summary tile""}",summary tile,caption,summary tile,semantic_label_preserved_over_stale_context
h2v_h2w_semantic_target_preservation,h2v_review_tile_stale_caption_old_not_tile,h2v_stale_example_negation_context,visual_semantic_target_preservation,extract_layout,"{""image_id"":""img-h2v-review-tile-stale-caption"",""target_query"":""review tile""}",extract_layout,"{""image_id"":""img-h2v-review-tile-stale-caption"",""target_query"":""review tile""}",review tile,stale caption,review tile,semantic_label_preserved_over_stale_context
h2v_h2w_semantic_target_preservation,h2v_risk_lane_stale_example_not_lane,h2v_stale_example_negation_context,visual_semantic_target_preservation,extract_layout,"{""image_id"":""img-h2v-risk-lane-stale-example"",""target_query"":""risk lane""}",extract_layout,"{""image_id"":""img-h2v-risk-lane-stale-example"",""target_query"":""risk lane""}",risk lane,example note,risk lane,semantic_label_preserved_over_stale_context
h2v_h2w_semantic_target_preservation,h2v_risk_lane_stale_example_not_lane,h2v_stale_example_negation_context,visual_stale_selection_gate,refine_selection,"{""filter_query"":""High"",""selection_id"":""img-h2v-risk-lane-stale-example""}",extract_layout,"{""image_id"":""img-h2v-risk-lane-stale-example"",""target_query"":""risk lane""}",,,,
h2v_h2w_semantic_target_preservation,h2v_not_ready_badge_genuine_value,h2v_genuine_negated_target,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2v-not-ready-badge"",""target_query"":""Not ready""}",extract_layout,"{""image_id"":""img-h2v-not-ready-badge"",""target_query"":""status badge Not ready""}",,status badge Not ready,status badge Not ready,
h2v_h2w_semantic_target_preservation,h2v_not_applicable_chip_genuine_value,h2v_genuine_negated_target,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2v-not-applicable-chip"",""target_query"":""Not applicable""}",extract_layout,"{""image_id"":""img-h2v-not-applicable-chip"",""target_query"":""reason chip Not applicable""}",,reason chip Not applicable,reason chip Not applicable,
h2v_h2w_semantic_target_preservation,h2v_not_approved_toggle_genuine_value,h2v_genuine_negated_target,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2v-not-approved-toggle"",""target_query"":""Not approved toggle""}",extract_layout,"{""image_id"":""img-h2v-not-approved-toggle"",""target_query"":""approval toggle Not approved""}",,approval toggle Not approved,approval toggle Not approved,
