profile_label,case_id,family,failure_mode,executor_equivalence_match,expected_tool,expected_target_query,actual_tool,actual_target_query
h2m_h2e_route_arbitration,h2m_result_badge_blocked_contextual_value,h2m_less_direct_value_bearing_target,argument_mismatch,False,extract_layout,result badge Blocked,extract_layout,result chip
h2m_h2e_route_arbitration,h2m_state_tag_closed_contextual_value,h2m_less_direct_value_bearing_target,executable_paraphrase,True,extract_layout,state tag Closed,extract_layout,Closed state tag
h2m_h2e_route_arbitration,h2m_mode_toggle_manual_contextual_value,h2m_less_direct_value_bearing_target,argument_mismatch,False,extract_layout,mode toggle Manual,extract_layout,mode toggle
h2m_h2e_route_arbitration,h2m_priority_badge_critical_contextual_value,h2m_less_direct_value_bearing_target,executable_paraphrase,True,extract_layout,priority badge Critical,extract_layout,priority badge critical
h2m_h2e_route_arbitration,h2m_error_notice_contextual_alias,h2m_contextual_alias_is_target,argument_mismatch,False,extract_layout,error notice,extract_layout,archive panel
h2m_h2e_route_arbitration,h2m_result_tile_contextual_alias,h2m_contextual_alias_is_target,argument_mismatch,False,extract_layout,result tile,extract_layout,Blocked
h2m_h2e_route_arbitration,h2m_mode_field_contextual_regression_guard,h2m_h2k_regression_guard_less_direct,argument_mismatch,False,extract_layout,mode field,extract_layout,mode switch
h2m_h2j_target_query_normalization,h2m_result_badge_blocked_contextual_value,h2m_less_direct_value_bearing_target,argument_mismatch,False,extract_layout,result badge Blocked,extract_layout,result badge
h2m_h2j_target_query_normalization,h2m_state_tag_closed_contextual_value,h2m_less_direct_value_bearing_target,argument_mismatch,False,extract_layout,state tag Closed,extract_layout,state tag
h2m_h2j_target_query_normalization,h2m_mode_toggle_manual_contextual_value,h2m_less_direct_value_bearing_target,argument_mismatch,False,extract_layout,mode toggle Manual,extract_layout,mode toggle
h2m_h2j_target_query_normalization,h2m_priority_badge_critical_contextual_value,h2m_less_direct_value_bearing_target,argument_mismatch,False,extract_layout,priority badge Critical,extract_layout,priority badge
h2m_h2j_target_query_normalization,h2m_result_tile_contextual_alias,h2m_contextual_alias_is_target,argument_mismatch,False,extract_layout,result tile,extract_layout,Blocked
h2m_h2n_scoped_target_query_normalization,h2m_result_badge_blocked_contextual_value,h2m_less_direct_value_bearing_target,argument_mismatch,False,extract_layout,result badge Blocked,extract_layout,result chip
h2m_h2n_scoped_target_query_normalization,h2m_state_tag_closed_contextual_value,h2m_less_direct_value_bearing_target,executable_paraphrase,True,extract_layout,state tag Closed,extract_layout,Closed state tag
h2m_h2n_scoped_target_query_normalization,h2m_mode_toggle_manual_contextual_value,h2m_less_direct_value_bearing_target,argument_mismatch,False,extract_layout,mode toggle Manual,extract_layout,mode toggle
h2m_h2n_scoped_target_query_normalization,h2m_priority_badge_critical_contextual_value,h2m_less_direct_value_bearing_target,executable_paraphrase,True,extract_layout,priority badge Critical,extract_layout,priority badge critical
h2m_h2n_scoped_target_query_normalization,h2m_result_tile_contextual_alias,h2m_contextual_alias_is_target,argument_mismatch,False,extract_layout,result tile,extract_layout,Blocked
h2m_h2o_value_bearing_target_query_synthesis,h2m_result_tile_contextual_alias,h2m_contextual_alias_is_target,argument_mismatch,False,extract_layout,result tile,extract_layout,Blocked
