profile_label,case_id,family,intervention_kind,from_tool,from_arguments,to_tool,to_arguments,preserved_target_query,requested_label,requested_region_id,prompt_state_label,blocked_label,reason
h3b_h2w_semantic_target_preservation,h3b_status_badge_suppressed_value,h3b_extended_negative_value_vocabulary,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h3b-status-suppressed"",""target_query"":""status badge Suppressed""}",extract_layout,"{""image_id"":""img-h3b-status-suppressed"",""target_query"":""status note""}",,,,status note,,
h3b_h2w_semantic_target_preservation,h3b_access_toggle_withheld_value,h3b_extended_negative_value_vocabulary,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h3b-access-withheld"",""target_query"":""access toggle Withheld""}",extract_layout,"{""image_id"":""img-h3b-access-withheld"",""target_query"":""access log""}",,,,access log,,
h3b_h2w_semantic_target_preservation,h3b_invoice_marker_voided_value,h3b_extended_negative_value_vocabulary,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h3b-invoice-voided"",""target_query"":""Voided""}",extract_layout,"{""image_id"":""img-h3b-invoice-voided"",""target_query"":""invoice table""}",,,,invoice table,,
h3b_h2w_semantic_target_preservation,h3b_first_match_note_then_decision_panel,h3b_state_order_flip,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h3b-decision-order"",""target_query"":""Approved note""}",extract_layout,"{""image_id"":""img-h3b-decision-order"",""target_query"":""decision panel""}",,,,decision panel,,
h3b_h2w_semantic_target_preservation,h3b_first_match_badge_then_stage_tile,h3b_state_order_flip,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h3b-stage-order"",""target_query"":""stage tile""}",extract_layout,"{""image_id"":""img-h3b-stage-order"",""target_query"":""stage badge""}",,,,stage badge,,
h3b_h2w_semantic_target_preservation,h4_latest_instruction_summary_to_escalation_banner,h4_latest_instruction_retention,visual_semantic_target_preservation,,{},extract_layout,"{""image_id"":""img-h4-latest-escalation"",""target_query"":""escalation banner""}",escalation banner,,,,,no_call_clear_visual_target
h3b_h2z_boundary_combined,h3b_status_badge_suppressed_value,h3b_extended_negative_value_vocabulary,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h3b-status-suppressed"",""target_query"":""status badge Suppressed""}",extract_layout,"{""image_id"":""img-h3b-status-suppressed"",""target_query"":""status note""}",,,,status note,,
h3b_h2z_boundary_combined,h3b_access_toggle_withheld_value,h3b_extended_negative_value_vocabulary,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h3b-access-withheld"",""target_query"":""access toggle Withheld""}",extract_layout,"{""image_id"":""img-h3b-access-withheld"",""target_query"":""access log""}",,,,access log,,
h3b_h2z_boundary_combined,h3b_invoice_marker_voided_value,h3b_extended_negative_value_vocabulary,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h3b-invoice-voided"",""target_query"":""Voided""}",extract_layout,"{""image_id"":""img-h3b-invoice-voided"",""target_query"":""invoice table""}",,,,invoice table,,
h3b_h2z_boundary_combined,h3b_first_match_note_then_decision_panel,h3b_state_order_flip,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h3b-decision-order"",""target_query"":""Approved note""}",extract_layout,"{""image_id"":""img-h3b-decision-order"",""target_query"":""decision panel""}",,,,decision panel,,
h3b_h2z_boundary_combined,h3b_first_match_badge_then_stage_tile,h3b_state_order_flip,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h3b-stage-order"",""target_query"":""stage tile""}",extract_layout,"{""image_id"":""img-h3b-stage-order"",""target_query"":""stage badge""}",,,,stage badge,,
h3b_h2z_boundary_combined,h4_latest_instruction_summary_to_escalation_banner,h4_latest_instruction_retention,visual_semantic_target_preservation,,{},extract_layout,"{""image_id"":""img-h4-latest-escalation"",""target_query"":""escalation banner""}",escalation banner,,,,,no_call_clear_visual_target
h3b_h3a_boundary_combined,h3b_status_badge_suppressed_value,h3b_extended_negative_value_vocabulary,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h3b-status-suppressed"",""target_query"":""status badge Suppressed""}",extract_layout,"{""image_id"":""img-h3b-status-suppressed"",""target_query"":""status note""}",,,,status note,,
h3b_h3a_boundary_combined,h3b_access_toggle_withheld_value,h3b_extended_negative_value_vocabulary,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h3b-access-withheld"",""target_query"":""access toggle Withheld""}",extract_layout,"{""image_id"":""img-h3b-access-withheld"",""target_query"":""access log""}",,,,access log,,
h3b_h3a_boundary_combined,h3b_invoice_marker_voided_value,h3b_extended_negative_value_vocabulary,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h3b-invoice-voided"",""target_query"":""Voided""}",extract_layout,"{""image_id"":""img-h3b-invoice-voided"",""target_query"":""invoice table""}",,,,invoice table,,
h3b_h3a_boundary_combined,h3b_first_match_note_then_decision_panel,h3b_state_order_flip,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h3b-decision-order"",""target_query"":""Approved note""}",extract_layout,"{""image_id"":""img-h3b-decision-order"",""target_query"":""decision panel""}",,,,decision panel,,
h3b_h3a_boundary_combined,h3b_first_match_badge_then_stage_tile,h3b_state_order_flip,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h3b-stage-order"",""target_query"":""stage tile""}",extract_layout,"{""image_id"":""img-h3b-stage-order"",""target_query"":""stage badge""}",,,,stage badge,,
