run_id,episode_id,role_family,lane,workspace_id,benchmark_tags,artifact_quality_score,browser_workflow_score,strict_interface_score,recovered_execution_score,revision_responsiveness,memory_retention_score,escalation_correctness,collateral_damage_free,human_time_ratio,role_readiness_score
20260412T184201129770Z_episode_kwa_exec_board_prep_pack,kwa_exec_board_prep_pack,executive_assistant,replayable_core,exec-board-prep,"knowledge_work_arena,replayable_core,executive_assistant",0.9444,0.9683,1.0,1.0,0.9375,1.0,1.0,1.0,0.16,0.9794
20260412T184207675530Z_episode_kwa_exec_travel_conflict_resolution,kwa_exec_travel_conflict_resolution,executive_assistant,replayable_core,exec-travel-conflict,"knowledge_work_arena,replayable_core,executive_assistant",1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.16,0.9769
20260412T184219781772Z_episode_kwa_exec_inbox_triage,kwa_exec_inbox_triage,executive_assistant,replayable_core,exec-inbox-triage,"knowledge_work_arena,replayable_core,executive_assistant",1.0,0.9608,1.0,1.0,0.75,1.0,1.0,1.0,0.16,0.9725
20260412T184223799298Z_episode_kwa_exec_visual_dashboard_revision_hold_v2,kwa_exec_visual_dashboard_revision_hold_v2,executive_assistant,replayable_core,exec-visual-dashboard-revision-hold-v2,"knowledge_work_arena,replayable_core,executive_assistant,visual_ui_ops,visual_kwa,revision_pressure",0.875,0.9773,1.0,1.0,0.9375,1.0,1.0,1.0,0.16,0.9662
20260412T184240477443Z_episode_kwa_exec_visual_dashboard_referent_hold_v3,kwa_exec_visual_dashboard_referent_hold_v3,executive_assistant,replayable_core,exec-visual-dashboard-referent-hold-v3,"knowledge_work_arena,replayable_core,executive_assistant,visual_ui_ops,visual_kwa,revision_pressure,latest_filter",0.8421,0.9773,1.0,1.0,0.7292,0.6667,1.0,1.0,0.16,0.9155
20260412T184259159916Z_episode_kwa_jobs_tailored_packet,kwa_jobs_tailored_packet,job_application_ops,replayable_core,jobs-tailored-packet,"knowledge_work_arena,replayable_core,job_application_ops",1.0,0.9718,1.0,1.0,0.8125,1.0,1.0,1.0,0.16,0.9795
20260412T184301078732Z_episode_kwa_jobs_browser_form_fill,kwa_jobs_browser_form_fill,job_application_ops,replayable_core,jobs-browser-form,"knowledge_work_arena,replayable_core,job_application_ops",1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.16,0.9769
20260412T184313140269Z_episode_kwa_jobs_revise_after_feedback,kwa_jobs_revise_after_feedback,job_application_ops,replayable_core,jobs-revise-feedback,"knowledge_work_arena,replayable_core,job_application_ops",1.0,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,0.16,0.9942
20260412T184323446608Z_episode_kwa_jobs_visual_constraint_override_hold_v2,kwa_jobs_visual_constraint_override_hold_v2,job_application_ops,replayable_core,jobs-visual-constraint-override-hold-v2,"knowledge_work_arena,replayable_core,job_application_ops,visual_ui_ops,visual_kwa,latest_constraint",0.9,0.9773,1.0,1.0,0.8125,1.0,1.0,1.0,0.16,0.9597
20260412T184337526902Z_episode_kwa_jobs_visual_latest_issue_hold_v3,kwa_jobs_visual_latest_issue_hold_v3,job_application_ops,replayable_core,jobs-visual-latest-issue-hold-v3,"knowledge_work_arena,replayable_core,job_application_ops,visual_ui_ops,visual_kwa,referent_carryover",0.9,0.9773,1.0,1.0,0.8125,1.0,1.0,1.0,0.16,0.9597
