label,case_id,family,baseline_failure_mode,candidate_failure_mode,delta_exact_match,delta_executor_equivalence_match,transition
contracted,transfer_oblique_alert_p55_toggle_decoy,visual_tool_routing_transfer_oblique,argument_mismatch,wrong_tool,0,0,unchanged
contracted,transfer_oblique_badge_m88_chart_decoy,visual_argument_transfer_oblique,no_tool_call,exact,1,1,strict_gain
contracted,transfer_oblique_cell_r42_notice_decoy,visual_argument_transfer_oblique,argument_mismatch,wrong_tool,0,0,unchanged
contracted,transfer_oblique_chip_z33_person_decoy,visual_argument_transfer_oblique,no_tool_call,wrong_tool,0,0,unchanged
contracted,transfer_oblique_field_e19_old_selection_decoy,visual_tool_routing_transfer_oblique,no_tool_call,argument_mismatch,0,0,unchanged
contracted,transfer_oblique_node_q17_table_decoy,visual_argument_transfer_oblique,argument_mismatch,argument_mismatch,0,0,unchanged
role_catalog_v1,transfer_oblique_alert_p55_toggle_decoy,visual_tool_routing_transfer_oblique,argument_mismatch,no_tool_call,0,0,unchanged
role_catalog_v1,transfer_oblique_badge_m88_chart_decoy,visual_argument_transfer_oblique,no_tool_call,no_tool_call,0,0,unchanged
role_catalog_v1,transfer_oblique_cell_r42_notice_decoy,visual_argument_transfer_oblique,argument_mismatch,no_tool_call,0,0,unchanged
role_catalog_v1,transfer_oblique_chip_z33_person_decoy,visual_argument_transfer_oblique,no_tool_call,exact,1,1,strict_gain
role_catalog_v1,transfer_oblique_field_e19_old_selection_decoy,visual_tool_routing_transfer_oblique,no_tool_call,exact,1,1,strict_gain
role_catalog_v1,transfer_oblique_node_q17_table_decoy,visual_argument_transfer_oblique,argument_mismatch,argument_mismatch,0,0,unchanged
argument_hints_v2,transfer_oblique_alert_p55_toggle_decoy,visual_tool_routing_transfer_oblique,argument_mismatch,argument_mismatch,0,0,unchanged
argument_hints_v2,transfer_oblique_badge_m88_chart_decoy,visual_argument_transfer_oblique,no_tool_call,exact,1,1,strict_gain
argument_hints_v2,transfer_oblique_cell_r42_notice_decoy,visual_argument_transfer_oblique,argument_mismatch,argument_mismatch,0,0,unchanged
argument_hints_v2,transfer_oblique_chip_z33_person_decoy,visual_argument_transfer_oblique,no_tool_call,exact,1,1,strict_gain
argument_hints_v2,transfer_oblique_field_e19_old_selection_decoy,visual_tool_routing_transfer_oblique,no_tool_call,exact,1,1,strict_gain
argument_hints_v2,transfer_oblique_node_q17_table_decoy,visual_argument_transfer_oblique,argument_mismatch,exact,1,1,strict_gain
schema_field_hints_v4,transfer_oblique_alert_p55_toggle_decoy,visual_tool_routing_transfer_oblique,argument_mismatch,no_tool_call,0,0,unchanged
schema_field_hints_v4,transfer_oblique_badge_m88_chart_decoy,visual_argument_transfer_oblique,no_tool_call,exact,1,1,strict_gain
schema_field_hints_v4,transfer_oblique_cell_r42_notice_decoy,visual_argument_transfer_oblique,argument_mismatch,argument_mismatch,0,0,unchanged
schema_field_hints_v4,transfer_oblique_chip_z33_person_decoy,visual_argument_transfer_oblique,no_tool_call,exact,1,1,strict_gain
schema_field_hints_v4,transfer_oblique_field_e19_old_selection_decoy,visual_tool_routing_transfer_oblique,no_tool_call,exact,1,1,strict_gain
schema_field_hints_v4,transfer_oblique_node_q17_table_decoy,visual_argument_transfer_oblique,argument_mismatch,argument_mismatch,0,0,unchanged
schema_literal_targets_v5,transfer_oblique_alert_p55_toggle_decoy,visual_tool_routing_transfer_oblique,argument_mismatch,argument_mismatch,0,0,unchanged
schema_literal_targets_v5,transfer_oblique_badge_m88_chart_decoy,visual_argument_transfer_oblique,no_tool_call,argument_mismatch,0,0,unchanged
schema_literal_targets_v5,transfer_oblique_cell_r42_notice_decoy,visual_argument_transfer_oblique,argument_mismatch,argument_mismatch,0,0,unchanged
schema_literal_targets_v5,transfer_oblique_chip_z33_person_decoy,visual_argument_transfer_oblique,no_tool_call,argument_mismatch,0,0,unchanged
schema_literal_targets_v5,transfer_oblique_field_e19_old_selection_decoy,visual_tool_routing_transfer_oblique,no_tool_call,no_tool_call,0,0,unchanged
schema_literal_targets_v5,transfer_oblique_node_q17_table_decoy,visual_argument_transfer_oblique,argument_mismatch,argument_mismatch,0,0,unchanged
oblique_code_hints_v6,transfer_oblique_alert_p55_toggle_decoy,visual_tool_routing_transfer_oblique,argument_mismatch,exact,1,1,strict_gain
oblique_code_hints_v6,transfer_oblique_badge_m88_chart_decoy,visual_argument_transfer_oblique,no_tool_call,exact,1,1,strict_gain
oblique_code_hints_v6,transfer_oblique_cell_r42_notice_decoy,visual_argument_transfer_oblique,argument_mismatch,exact,1,1,strict_gain
oblique_code_hints_v6,transfer_oblique_chip_z33_person_decoy,visual_argument_transfer_oblique,no_tool_call,exact,1,1,strict_gain
oblique_code_hints_v6,transfer_oblique_field_e19_old_selection_decoy,visual_tool_routing_transfer_oblique,no_tool_call,wrong_tool,0,0,unchanged
oblique_code_hints_v6,transfer_oblique_node_q17_table_decoy,visual_argument_transfer_oblique,argument_mismatch,exact,1,1,strict_gain
